,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,2.0,0.0,7.0,2.0,0.0,0.0,1.375,2.445841952609133
10,10,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,3.75,10.606601717798213
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,1.0,0.0,0.0,5.0,1.0,2.0
14,14,,2.0,0.0,,,2.0,1.0,0.0,1.0,1.0
15,15,1.0,2.0,1.0,0.0,0.0,3.0,1.0,3.0,1.375,1.1877349391654208
16,16,,,,,,,,,,
17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.125,0.3535533905932738
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.375,0.5175491695067657
21,21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.3535533905932738
22,22,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.4629100498862757
23,23,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.375,0.7440238091428449
24,24,0.0,0.0,0.0,0.0,1.0,7.0,0.0,3.0,1.375,2.5035688811888406
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.625,1.0606601717798212
28,28,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.75,1.3887301496588271
29,29,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,1.0606601717798212
30,30,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.75,1.4880476182856899
31,31,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.7559289460184544
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.75,1.0350983390135313
35,35,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.375,0.5175491695067657
36,36,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.75,1.164964745021435
37,37,,,,,,,,,,
38,38,0.0,1.0,7.0,2.0,0.0,0.0,2.0,0.0,1.5,2.390457218668787
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
42,42,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.4629100498862757
43,43,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.75,1.7525491637693282
44,44,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.9258200997725514
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.5,1.4142135623730951
50,50,,,,,,,,,,
51,51,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.75,0.8864052604279183
52,52,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.25,0.4629100498862757
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4629100498862757
57,57,2.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,1.125,2.100170061141308
58,58,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.625,0.5175491695067657
59,59,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,1.7728105208558367
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,13.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.25,4.5591352563522705
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.625,1.0606601717798212
70,70,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.625,1.0606601717798212
71,71,,,,,,,,,,
72,72,6.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.25,2.187627547301936
73,73,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.625,1.407885953173359
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.625,0.5175491695067657
78,78,,,,,,,,,,
79,79,1.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,1.0690449676496976
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,4.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.125,1.3562026818605375
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.875,1.3562026818605375
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.3535533905932738
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,0.0,2.0,4.0,0.0,2.0,0.0,0.0,1.0,1.125,1.4577379737113252
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.625,0.7440238091428449
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,0.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0,0.875,0.9910312089651149
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
