,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,1.0,0.0,0.16666666666666666,0.408248290463863
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,1.375,3.1594529363709247
10,10,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.375,1.0606601717798212
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,,,,,,,,,,
17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,1.0,2.0,1.0,0.0,0.0,1.0,3.0,1.0,1.125,0.9910312089651149
21,21,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.375,0.7440238091428449
22,22,0.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,0.875,1.1259916264596033
23,23,0.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,1.625,3.814914340921881
24,24,0.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,1.125,1.7268882005337975
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,10.0,1.0,8.0,2.0,5.0,1.0,4.0,7.0,4.75,3.370036032024414
28,28,4.0,1.0,0.0,43.0,3.0,39.0,3.0,4.0,12.125,17.907999010817164
29,29,3.0,1.0,12.0,25.0,2.0,0.0,2.0,2.0,5.875,8.57633787980461
30,30,1.0,5.0,34.0,9.0,0.0,0.0,2.0,6.0,7.125,11.319231422671772
31,31,10.0,11.0,41.0,1.0,1.0,0.0,1.0,2.0,8.375,13.876367371490689
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,15.0,0.0,33.0,2.0,0.0,0.0,3.0,1.0,6.75,11.732129267224137
35,35,6.0,12.0,9.0,0.0,0.0,0.0,3.0,0.0,3.75,4.743416490252569
36,36,4.0,25.0,3.0,0.0,0.0,0.0,1.0,6.0,4.875,8.425090080061036
37,37,,,,,,,,,,
38,38,3.0,9.0,7.0,2.0,1.0,0.0,0.0,2.0,3.0,3.295017884191656
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,0.0,3.0,7.0,0.0,0.0,0.0,2.0,0.0,1.5,2.5071326821120348
42,42,1.0,1.0,5.0,0.0,1.0,0.0,2.0,1.0,1.375,1.5979898086569353
43,43,0.0,4.0,3.0,1.0,0.0,1.0,0.0,5.0,1.75,1.9820624179302297
44,44,1.0,19.0,4.0,0.0,0.0,0.0,2.0,3.0,3.625,6.3905622377288305
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,4.0,30.0,4.0,6.0,0.0,1.0,8.0,1.0,6.75,9.779716618739888
50,50,,,,,,,,,,
51,51,4.0,17.0,9.0,3.0,5.0,2.0,7.0,0.0,5.875,5.303300858899107
52,52,2.0,21.0,12.0,1.0,24.0,2.0,3.0,2.0,8.375,9.425459443140461
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,1.0,15.0,2.0,1.0,8.0,0.0,0.0,3.0,3.75,5.230405611149374
57,57,6.0,21.0,6.0,2.0,32.0,1.0,1.0,0.0,8.625,11.636610945018067
58,58,6.0,0.0,7.0,2.0,20.0,3.0,2.0,1.0,5.125,6.468329437674439
59,59,2.0,26.0,9.0,15.0,2.0,1.0,0.0,0.0,6.875,9.357006542082326
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,1.0,4.0,1.0,2.0,9.0,0.0,0.0,1.0,2.25,3.011881234615431
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.5,0.7559289460184544
70,70,2.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,1.1952286093343936
71,71,,,,,,,,,,
72,72,5.0,0.0,6.0,2.0,13.0,0.0,1.0,0.0,3.375,4.533604683755678
73,73,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.875,3.563204817496262
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.449489742783178
78,78,,,,,,,,,,
79,79,7.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.375,2.326094212561969
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,6.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.5,2.138089935299395
84,84,,,,,,,,,,
85,85,,,,,,,,,,
