,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,12.0,0.0,0.0,9.0,0.0,0.0,2.625,4.926241685388278
10,10,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.375,0.7440238091428449
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,,1.0,0.0,,,0.0,6.0,0.0,1.4,2.6076809620810595
15,15,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.375,0.7440238091428449
16,16,,,,,,,,,,
17,17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.375,0.7440238091428449
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,11.0,0.0,7.0,11.0,1.0,14.0,23.0,8.0,9.375,7.347254103210454
21,21,5.0,0.0,1.0,0.0,3.0,0.0,12.0,8.0,3.625,4.438065859293728
22,22,1.0,2.0,0.0,1.0,0.0,5.0,5.0,3.0,2.125,2.03100960115899
23,23,0.0,0.0,1.0,0.0,3.0,4.0,0.0,17.0,3.125,5.817154434453817
24,24,0.0,0.0,1.0,2.0,0.0,8.0,13.0,19.0,5.375,7.249384210301688
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,0.0,0.0,1.0,1.0,0.0,22.0,7.0,3.0,4.25,7.55456342692472
28,28,1.0,0.0,2.0,18.0,0.0,3.0,0.0,13.0,4.625,6.926914382114366
29,29,0.0,1.0,1.0,6.0,1.0,3.0,2.0,7.0,2.625,2.559994419636775
30,30,2.0,0.0,0.0,45.0,1.0,6.0,0.0,42.0,12.0,19.559433237479777
31,31,0.0,0.0,1.0,17.0,4.0,7.0,0.0,13.0,5.25,6.584614100852293
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,30.0,0.0,0.0,16.0,23.0,1.0,2.0,34.0,13.25,14.350211546474547
35,35,22.0,0.0,11.0,4.0,1.0,2.0,0.0,22.0,7.75,9.483067616998808
36,36,9.0,2.0,1.0,0.0,2.0,2.0,1.0,3.0,2.5,2.7774602993176543
37,37,,,,,,,,,,
38,38,10.0,2.0,21.0,1.0,20.0,16.0,7.0,5.0,10.25,7.887603293414656
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,24.0,2.0,72.0,1.0,1.0,20.0,2.0,0.0,15.25,24.81215140093372
42,42,1.0,3.0,10.0,2.0,6.0,0.0,5.0,6.0,4.125,3.2705394924123103
43,43,1.0,2.0,64.0,5.0,0.0,7.0,7.0,48.0,16.75,24.737190047145038
44,44,8.0,2.0,5.0,3.0,2.0,13.0,2.0,3.0,4.75,3.9188190640986296
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,0.0,5.0,30.0,3.0,27.0,65.0,0.0,4.0,16.75,22.864507742037972
50,50,,,,,,,,,,
51,51,2.0,2.0,2.0,0.0,9.0,19.0,0.0,0.0,4.25,6.649382355849731
52,52,0.0,0.0,3.0,0.0,5.0,4.0,0.0,2.0,1.75,2.052872551885702
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,0.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,0.875,1.4577379737113252
57,57,3.0,3.0,10.0,0.0,15.0,14.0,3.0,3.0,6.375,5.755432216610669
58,58,20.0,5.0,0.0,11.0,24.0,1.0,6.0,13.0,10.0,8.68496237346895
59,59,1.0,0.0,6.0,6.0,20.0,20.0,11.0,5.0,8.625,7.781617532915083
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,26.0,0.0,27.0,4.0,36.0,10.0,8.0,15.0,15.75,12.65757819309388
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,1.0,0.0,14.0,36.0,4.0,26.0,8.0,2.0,11.375,13.190229067652421
70,70,1.0,0.0,16.0,40.0,3.0,3.0,3.0,4.0,8.75,13.562026818605375
71,71,,,,,,,,,,
72,72,27.0,1.0,0.0,4.0,9.0,14.0,5.0,5.0,8.125,8.822657519947473
73,73,18.0,1.0,0.0,32.0,1.0,18.0,0.0,4.0,9.25,11.985109809378349
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,21.0,0.0,3.0,5.0,13.0,4.0,0.0,3.0,6.125,7.259230577094832
78,78,,,,,,,,,,
79,79,8.0,0.0,1.0,1.0,1.0,0.0,0.0,7.0,2.25,3.2841611235921855
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,16.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,3.125,5.436319658424385
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,11.0,2.0,1.0,6.0,3.0,2.0,0.0,4.0,3.625,3.50255009141299
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,6.0,3.0,2.0,1.0,2.0,5.0,8.0,1.0,3.5,2.5634797778466227
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,4.0,1.0,9.0,2.0,23.0,1.0,0.0,1.0,5.125,7.772432970808708
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,10.0,0.0,7.0,2.0,19.0,28.0,14.0,5.0,10.625,9.379879682444912
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,22.0,0.0,10.0,1.0,4.0,3.0,1.0,16.0,7.125,8.114141095290721
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,1.0,4.0,4.0,5.0,3.0,4.0,6.0,1.0,3.5,1.7728105208558367
126,126,,,,,,,,,,
