,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.75,2.1213203435596424
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.5163977794943223
14,14,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
15,15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
16,16,,,,,,,,,,
17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.25,0.7071067811865476
21,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.375,1.0606601717798212
23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.875,2.4748737341529163
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.5,4.242640687119285
28,28,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.375,1.0606601717798212
29,29,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.75,2.1213203435596424
30,30,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,1.125,2.799872446074234
31,31,0.0,0.0,0.0,0.0,0.0,9.0,0.0,6.0,1.875,3.563204817496262
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,65.0,79.0,0.0,0.0,45.0,0.0,33.0,62.0,35.5,32.386064022309704
35,35,29.0,8.0,1.0,0.0,1.0,0.0,14.0,59.0,14.0,20.75709861365848
36,36,27.0,21.0,0.0,0.0,5.0,0.0,6.0,25.0,10.5,11.795883059053152
37,37,,,,,,,,,,
38,38,21.0,18.0,0.0,1.0,1.0,0.0,13.0,15.0,8.625,8.991066995317391
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,9.0,5.0,0.0,0.0,13.0,0.0,5.0,5.0,4.625,4.68851179556401
42,42,0.0,1.0,6.0,7.0,2.0,0.0,5.0,23.0,5.5,7.578164119928482
43,43,1.0,6.0,3.0,0.0,2.0,0.0,8.0,2.0,2.75,2.866057521105554
44,44,8.0,7.0,0.0,1.0,4.0,0.0,16.0,3.0,4.875,5.409977554746151
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,8.0,0.0,2.0,2.0,1.0,0.0,2.0,3.0,2.25,2.5495097567963922
50,50,,,,,,,,,,
51,51,2.0,0.0,0.0,21.0,22.0,1.0,0.0,14.0,7.5,9.827076298239907
52,52,0.0,0.0,18.0,7.0,0.0,1.0,0.0,22.0,6.0,9.023778112773575
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,31.0,0.0,6.0,5.0,0.0,19.0,8.0,2.0,8.875,10.829028448704765
57,57,10.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,3.3380918415851206
58,58,0.0,8.0,3.0,6.0,0.0,4.0,2.0,8.0,3.875,3.226563851175781
59,59,5.0,0.0,34.0,0.0,0.0,1.0,6.0,6.0,6.5,11.439280696667202
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,19.0,0.0,1.0,2.0,0.0,3.0,1.0,3.0,3.625,6.323143431644016
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,7.0,32.0,21.0,3.0,11.0,12.0,6.0,85.0,22.125,27.078919054180453
70,70,14.0,3.0,13.0,12.0,7.0,3.0,4.0,102.0,19.75,33.542084439870884
71,71,,,,,,,,,,
72,72,17.0,4.0,28.0,18.0,45.0,23.0,3.0,85.0,27.875,26.685670311985795
73,73,5.0,1.0,11.0,37.0,58.0,26.0,5.0,59.0,25.25,23.78925327597677
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,14.0,5.0,58.0,29.0,38.0,10.0,6.0,30.0,23.75,18.491310700666176
78,78,,,,,,,,,,
79,79,0.0,13.0,5.0,9.0,25.0,6.0,2.0,13.0,9.125,7.954109450017466
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,0.0,11.0,5.0,10.0,18.0,0.0,0.0,32.0,9.5,11.161157134071205
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,15.0,7.0,51.0,76.0,4.0,0.0,0.0,64.0,27.125,31.343431756680925
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,10.0,0.0,32.0,9.0,7.0,20.0,25.0,11.0,14.25,10.525479290071036
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,19.0,0.0,14.0,1.0,1.0,13.0,1.0,3.0,6.5,7.559289460184544
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,15.0,0.0,3.0,2.0,2.0,33.0,4.0,26.0,10.625,12.648404755428365
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,13.0,2.0,3.0,0.0,1.0,12.0,3.0,6.0,5.0,4.956957592256421
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,1.0,4.0,12.0,1.0,9.0,23.0,6.0,18.0,9.25,7.995534467974697
126,126,,,,,,,,,,
127,127,,,,,,,,,,
