,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,1.0,0.16666666666666666,0.408248290463863
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,1.0,,1.0,0.0,,,0.5,0.5773502691896257
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,1.0,0.0,0.25,0.5
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.25,0.4629100498862757
10,10,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.25,0.7071067811865476
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.408248290463863
14,14,,0.0,0.0,,,0.0,2.0,0.0,0.4,0.8944271909999161
15,15,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.25,0.7071067811865476
16,16,,,,,,,,,,
17,17,5.0,0.0,9.0,4.0,4.0,0.0,3.0,2.0,3.375,2.9246489410818914
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,2.0,9.0,1.0,6.0,4.0,1.0,5.0,7.0,4.375,2.9246489410818914
21,21,2.0,6.0,0.0,5.0,8.0,0.0,5.0,48.0,9.25,15.917196450918826
22,22,3.0,19.0,1.0,2.0,4.0,3.0,3.0,21.0,7.0,8.088792952509753
23,23,3.0,4.0,0.0,0.0,2.0,10.0,2.0,33.0,6.75,11.067971810589327
24,24,2.0,1.0,0.0,0.0,1.0,10.0,2.0,6.0,2.75,3.494894235064305
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,5.0,0.0,0.0,11.0,1.0,10.0,0.0,2.0,3.625,4.565006649971686
28,28,48.0,0.0,1.0,4.0,8.0,6.0,0.0,1.0,8.5,16.23048278482718
29,29,20.0,1.0,0.0,6.0,16.0,4.0,0.0,3.0,6.25,7.611082145698562
30,30,15.0,2.0,2.0,6.0,3.0,6.0,1.0,2.0,4.625,4.596194077712559
31,31,21.0,3.0,8.0,1.0,5.0,9.0,0.0,3.0,6.25,6.734771180756096
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,9.0,1.0,3.0,0.0,4.0,1.0,4.0,5.0,3.375,2.8753881725529062
35,35,11.0,11.0,4.0,3.0,14.0,0.0,9.0,11.0,7.875,4.911720676097125
36,36,10.0,19.0,1.0,14.0,32.0,8.0,19.0,10.0,14.125,9.341726668173134
37,37,,,,,,,,,,
38,38,19.0,22.0,14.0,29.0,31.0,8.0,17.0,10.0,18.75,8.310922245541018
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,23.0,6.0,14.0,23.0,34.0,11.0,25.0,15.0,18.875,8.999007881824689
42,42,10.0,3.0,8.0,6.0,14.0,43.0,10.0,15.0,13.625,12.500714265307288
43,43,18.0,0.0,6.0,14.0,23.0,12.0,7.0,3.0,10.375,7.799954212319821
44,44,16.0,9.0,7.0,3.0,29.0,1.0,9.0,6.0,10.0,8.89622712968015
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,8.0,0.0,7.0,11.0,2.0,2.0,5.0,6.0,5.125,3.6425069859723185
50,50,,,,,,,,,,
51,51,18.0,1.0,2.0,28.0,3.0,3.0,9.0,8.0,9.0,9.471762545286158
52,52,39.0,0.0,7.0,24.0,4.0,4.0,8.0,7.0,11.625,13.146835577974105
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,13.0,0.0,9.0,8.0,41.0,13.0,4.0,5.0,11.625,12.670973578560229
57,57,17.0,0.0,9.0,9.0,63.0,4.0,9.0,8.0,14.875,20.03880164651997
58,58,10.0,8.0,5.0,9.0,55.0,11.0,5.0,9.0,14.0,16.707568857941517
59,59,9.0,3.0,12.0,34.0,14.0,7.0,5.0,6.0,11.25,9.881440033864353
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,3.0,25.0,6.0,40.0,59.0,9.0,8.0,4.0,19.25,20.520025062641334
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,9.0,0.0,3.0,0.0,8.0,8.0,6.0,3.0,4.625,3.6228441865473595
70,70,6.0,13.0,1.0,6.0,7.0,2.0,10.0,5.0,6.25,3.9188190640986296
71,71,,,,,,,,,,
72,72,30.0,10.0,15.0,2.0,3.0,6.0,16.0,5.0,10.875,9.326421760629469
73,73,55.0,5.0,10.0,6.0,6.0,5.0,9.0,4.0,12.5,17.29574679344194
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,72.0,1.0,5.0,3.0,6.0,1.0,6.0,6.0,12.5,24.136516496201942
78,78,,,,,,,,,,
79,79,87.0,0.0,2.0,3.0,2.0,1.0,3.0,4.0,12.75,30.027368468496487
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,63.0,5.0,2.0,2.0,2.0,7.0,4.0,4.0,11.125,21.03356161675227
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,91.0,3.0,3.0,0.0,0.0,1.0,8.0,1.0,13.375,31.473061043193294
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,52.0,7.0,3.0,4.0,3.0,3.0,3.0,2.0,9.625,17.18751623375857
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,39.0,15.0,2.0,5.0,3.0,2.0,1.0,1.0,8.5,13.158375931050806
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,7.0,11.0,0.0,19.0,5.0,6.0,3.0,1.0,6.5,6.141195788629908
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,5.0,8.0,1.0,9.0,4.0,17.0,3.0,2.0,6.125,5.19443383412888
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,12.0,10.0,5.0,34.0,1.0,1.0,7.0,4.0,9.25,10.740444257903993
126,126,,,,,,,,,,
127,127,,,,,,,,,,
128,128,,,,,,,,,,
129,129,,,,,,,,,,
130,130,,,,,,,,,,
131,131,,,,,,,,,,
132,132,,,,,,,,,,
