,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,2.25,4.166190448976482
10,10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.4629100498862757
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,0.0,0.0,0.0,2.0,0.3333333333333333,0.816496580927726
14,14,,4.0,0.0,,,0.0,10.0,0.0,2.8,4.381780460041329
15,15,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,1.807721533549109
16,16,,,,,,,,,,
17,17,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.4629100498862757
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,0.0,1.0,2.0,5.0,0.0,0.0,16.0,0.0,3.0,5.529143565818179
21,21,0.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,1.0,1.7728105208558367
22,22,0.0,1.0,3.0,0.0,0.0,1.0,6.0,0.0,1.375,2.1339098923270936
23,23,0.0,0.0,20.0,3.0,18.0,3.0,4.0,1.0,6.125,8.096516005577426
24,24,2.0,2.0,0.0,1.0,1.0,11.0,3.0,3.0,2.875,3.440826312717007
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,6.0,2.0,0.0,0.0,0.0,4.0,3.0,2.0,2.125,2.1671244937540095
28,28,14.0,3.0,3.0,4.0,1.0,0.0,0.0,3.0,3.5,4.503966505838413
29,29,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.125,0.8345229603962802
30,30,4.0,0.0,0.0,7.0,1.0,1.0,2.0,4.0,2.375,2.445841952609133
31,31,4.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,1.25,1.3887301496588271
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,7.0,1.0,3.0,6.0,3.0,0.0,4.0,13.0,4.625,4.103569874424672
35,35,12.0,0.0,6.0,0.0,0.0,0.0,3.0,9.0,3.75,4.743416490252569
36,36,2.0,1.0,0.0,0.0,0.0,1.0,10.0,7.0,2.625,3.77728171346236
37,37,,,,,,,,,,
38,38,4.0,4.0,15.0,3.0,1.0,7.0,11.0,0.0,5.625,5.125217765408329
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,1.0,1.0,3.0,3.0,0.0,4.0,2.0,1.0,1.875,1.3562026818605375
42,42,0.0,3.0,0.0,4.0,0.0,8.0,4.0,3.0,2.75,2.7645717829090897
43,43,1.0,3.0,4.0,1.0,0.0,5.0,2.0,3.0,2.375,1.685018016012207
44,44,4.0,11.0,0.0,1.0,0.0,8.0,2.0,3.0,3.625,3.9618718519695424
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,1.0,17.0,5.0,4.0,2.0,37.0,1.0,3.0,8.75,12.544207542014874
50,50,,,,,,,,,,
51,51,5.0,5.0,1.0,6.0,2.0,20.0,3.0,0.0,5.25,6.3189058727418494
52,52,0.0,4.0,0.0,1.0,5.0,9.0,2.0,0.0,2.625,3.2043497223082786
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,0.0,0.0,3.0,4.0,0.0,1.0,3.0,0.0,1.375,1.685018016012207
57,57,2.0,14.0,4.0,0.0,7.0,27.0,2.0,0.0,7.0,9.304376850247875
58,58,5.0,8.0,2.0,4.0,4.0,25.0,1.0,31.0,10.0,11.414276774536102
59,59,0.0,2.0,2.0,4.0,5.0,7.0,1.0,0.0,2.625,2.5035688811888406
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,1.0,2.0,8.0,1.0,2.0,4.0,0.0,1.0,2.375,2.559994419636775
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,1.0,1.0,6.0,1.0,1.0,7.0,1.0,1.0,2.375,2.559994419636775
70,70,2.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,1.375,1.5979898086569353
71,71,,,,,,,,,,
72,72,1.0,1.0,0.0,0.0,2.0,9.0,0.0,2.0,1.875,2.997022331772464
73,73,2.0,5.0,2.0,2.0,0.0,27.0,0.0,2.0,5.0,9.023778112773575
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,3.0,0.0,0.0,2.0,12.0,14.0,0.0,3.0,4.25,5.574175147179049
78,78,,,,,,,,,,
79,79,1.0,1.0,3.0,1.0,2.0,3.0,0.0,4.0,1.875,1.3562026818605375
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,0.0,1.0,0.0,4.0,2.0,6.0,0.0,3.0,2.0,2.2038926600773587
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,0.0,0.0,2.0,1.0,4.0,3.0,0.0,1.0,1.375,1.5059406173077154
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,0.0,1.0,1.0,2.0,1.0,20.0,0.0,1.0,3.25,6.798108980759702
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,9.0,4.0,7.0,0.0,11.0,8.0,1.0,0.0,5.0,4.342481186734475
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,6.0,2.0,1.0,2.0,2.0,31.0,4.0,5.0,6.625,9.99910710299389
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,4.0,1.0,4.0,1.0,0.0,4.0,0.0,8.0,2.75,2.7645717829090897
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,2.0,3.0,2.0,2.0,0.0,27.0,0.0,0.0,4.5,9.16515138991168
