,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,2.0,0.3333333333333333,0.816496580927726
2,2,,0.0,1.0,,0.0,,0.0,3.0,0.8,1.3038404810405297
3,3,,0.0,0.0,,1.0,0.0,,,0.25,0.5
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.25,0.7071067811865476
10,10,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.5,1.0690449676496976
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.449489742783178
14,14,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.125,0.3535533905932738
16,16,,,,,,,,,,
17,17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,3.0,0.0,2.0,0.0,1.0,104.0,6.0,6.0,15.25,35.93943317781817
21,21,8.0,0.0,1.0,2.0,18.0,13.0,3.0,38.0,10.375,12.83897525950906
22,22,81.0,0.0,15.0,19.0,301.0,314.0,70.0,544.0,168.0,196.90026481880182
23,23,282.0,0.0,43.0,112.0,183.0,443.0,255.0,291.0,201.125,146.26339987453164
24,24,649.0,41.0,731.0,664.0,596.0,456.0,424.0,469.0,503.75,217.42502812956667
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,25.0,668.0,441.0,188.0,619.0,533.0,236.0,108.0,352.25,244.55309093469722
28,28,26.0,366.0,97.0,90.0,236.0,361.0,491.0,153.0,227.5,164.14192465233074
29,29,622.0,118.0,107.0,8.0,331.0,251.0,30.0,530.0,249.625,229.34125384301385
30,30,224.0,653.0,78.0,229.0,617.0,369.0,99.0,281.0,318.75,216.43524270717623
31,31,62.0,131.0,153.0,62.0,646.0,190.0,882.0,322.0,306.0,300.99691502927874
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,127.0,46.0,65.0,38.0,442.0,156.0,41.0,101.0,127.0,134.4108839130437
35,35,34.0,0.0,4.0,3.0,577.0,468.0,5.0,1.0,136.5,240.26830240973766
36,36,17.0,2.0,6.0,508.0,941.0,476.0,284.0,267.0,312.625,325.2515235497423
37,37,,,,,,,,,,
38,38,5.0,0.0,6.0,353.0,410.0,465.0,136.0,149.0,190.5,192.4911871823153
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,148.0,467.0,31.0,70.0,51.0,510.0,130.0,168.0,196.875,186.54791609664258
42,42,275.0,550.0,258.0,288.0,124.0,439.0,210.0,217.0,295.125,136.34456089523442
43,43,67.0,347.0,37.0,145.0,132.0,469.0,182.0,218.0,199.625,144.67889321824777
44,44,25.0,245.0,201.0,179.0,41.0,576.0,190.0,95.0,194.0,173.44657473041747
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,47.0,145.0,151.0,108.0,268.0,77.0,252.0,187.0,154.375,78.62376503686038
50,50,,,,,,,,,,
51,51,111.0,283.0,538.0,217.0,136.0,305.0,453.0,524.0,320.875,167.5721060149502
52,52,0.0,486.0,215.0,553.0,332.0,245.0,361.0,205.0,299.625,174.2837895092779
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,0.0,649.0,159.0,184.0,202.0,203.0,571.0,355.0,290.375,220.3490331918237
57,57,1.0,71.0,120.0,53.0,138.0,47.0,193.0,251.0,109.25,83.04000756950144
58,58,0.0,252.0,247.0,312.0,172.0,321.0,284.0,153.0,217.625,106.67833827512902
59,59,0.0,233.0,95.0,68.0,519.0,256.0,187.0,274.0,204.0,160.33536282251828
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,0.0,45.0,178.0,15.0,336.0,154.0,410.0,287.0,178.125,154.54397201351557
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,18.0,726.0,136.0,321.0,392.0,120.0,295.0,167.0,271.875,220.57939127929168
70,70,0.0,231.0,177.0,178.0,366.0,135.0,92.0,241.0,177.5,108.92330198027287
71,71,,,,,,,,,,
72,72,1.0,156.0,217.0,211.0,376.0,13.0,216.0,165.0,169.375,120.63514946198013
73,73,17.0,356.0,320.0,218.0,19.0,32.0,183.0,208.0,169.125,134.30289593729117
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,0.0,172.0,52.0,83.0,8.0,184.0,75.0,22.0,74.5,70.51241025521678
78,78,,,,,,,,,,
79,79,0.0,138.0,55.0,118.0,86.0,35.0,58.0,75.0,70.625,44.23940551137639
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,15.0,96.0,109.0,203.0,87.0,109.0,7.0,107.0,91.625,61.31636346499545
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,0.0,215.0,85.0,159.0,423.0,118.0,116.0,115.0,153.875,124.69670347343933
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,0.0,137.0,40.0,90.0,10.0,46.0,40.0,232.0,74.375,77.32664944432621
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,47.0,172.0,33.0,235.0,72.0,158.0,216.0,243.0,147.0,85.43000476580646
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,16.0,91.0,373.0,441.0,52.0,29.0,204.0,315.0,190.125,167.90851037735658
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,0.0,43.0,194.0,127.0,238.0,26.0,213.0,113.0,119.25,90.48085827558067
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,2.0,34.0,207.0,323.0,144.0,339.0,221.0,204.0,184.25,121.22440819759503
126,126,,,,,,,,,,
127,127,,,,,,,,,,
128,128,,,,,,,,,,
129,129,,,,,,,,,,
130,130,,,,,,,,,,
131,131,,,,,,,,,,
132,132,,,,,,,,,,
133,133,0.0,2.0,32.0,7.0,0.0,149.0,79.0,59.0,41.0,52.85019259324281
134,134,,,,,,,,,,
135,135,,,,,,,,,,
136,136,,,,,,,,,,
137,137,,,,,,,,,,
138,138,,,,,,,,,,
139,139,0.0,29.0,19.0,133.0,28.0,130.0,181.0,255.0,96.875,92.02707287997995
140,140,,,,,,,,,,
141,141,,,,,,,,,,
142,142,,,,,,,,,,
143,143,,,,,,,,,,
144,144,,,,,,,,,,
145,145,,,,,,,,,,
146,146,,,,,,,,,,
147,147,0.0,1.0,143.0,20.0,24.0,110.0,86.0,238.0,77.75,83.841261577204
148,148,,,,,,,,,,
149,149,,,,,,,,,,
150,150,,,,,,,,,,
151,151,,,,,,,,,,
152,152,,,,,,,,,,
153,153,0.0,207.0,197.0,186.0,62.0,126.0,114.0,80.0,121.5,72.96966101450265
154,154,,,,,,,,,,
155,155,,,,,,,,,,
156,156,,,,,,,,,,
157,157,,,,,,,,,,
158,158,,,,,,,,,,
159,159,,,,,,,,,,
160,160,,,,,,,,,,
161,161,0.0,427.0,240.0,246.0,144.0,116.0,345.0,122.0,205.0,137.501168826201
162,162,,,,,,,,,,
163,163,,,,,,,,,,
164,164,,,,,,,,,,
165,165,,,,,,,,,,
166,166,,,,,,,,,,
167,167,0.0,11.0,142.0,131.0,209.0,42.0,66.0,189.0,98.75,80.13871901717849
168,168,,,,,,,,,,
169,169,,,,,,,,,,
170,170,,,,,,,,,,
171,171,,,,,,,,,,
172,172,,,,,,,,,,
173,173,,,,,,,,,,
174,174,,,,,,,,,,
175,175,0.0,40.0,114.0,365.0,196.0,69.0,33.0,40.0,107.125,120.64166243170604
176,176,,,,,,,,,,
177,177,,,,,,,,,,
178,178,,,,,,,,,,
179,179,,,,,,,,,,
180,180,,,,,,,,,,
181,181,0.0,62.0,225.0,206.0,607.0,68.0,115.0,77.0,170.0,191.95684038717812
182,182,,,,,,,,,,
