,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,3.0,0.0,0.0,0.0,3.0,11.0,3.0,4.0,3.0,3.625307868699863
9,9,0.0,0.0,1.0,1.0,3.0,0.0,1.0,3.0,1.125,1.246423454758225
10,10,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.875,1.6420805617960927
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,,0.0,0.0,,,0.0,0.0,1.0,0.2,0.44721359549995804
15,15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.125,0.3535533905932738
16,16,,,,,,,,,,
17,17,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.75,1.4880476182856899
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,23.0,0.0,7.0,0.0,0.0,0.0,8.0,1.0,4.875,8.043409014306594
21,21,10.0,0.0,0.0,5.0,7.0,0.0,1.0,0.0,2.875,3.943801646707328
22,22,31.0,1.0,7.0,6.0,4.0,3.0,12.0,13.0,9.625,9.590732133530937
23,23,24.0,2.0,0.0,1.0,2.0,1.0,7.0,6.0,5.375,7.927123419897391
24,24,8.0,16.0,9.0,7.0,12.0,0.0,4.0,1.0,7.125,5.409977554746151
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,5.0,2.0,3.0,0.0,17.0,0.0,2.0,1.0,3.75,5.599744892148468
28,28,0.0,5.0,7.0,1.0,22.0,6.0,19.0,1.0,7.625,8.382592507265109
29,29,14.0,0.0,4.0,0.0,9.0,23.0,5.0,2.0,7.125,7.972049386987729
30,30,9.0,11.0,3.0,2.0,19.0,4.0,0.0,0.0,6.0,6.590035768383312
31,31,3.0,5.0,5.0,0.0,16.0,8.0,16.0,1.0,6.75,6.22781777878209
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,1.0,0.0,7.0,1.0,7.0,2.0,7.0,0.0,3.125,3.2705394924123103
35,35,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,1.25,2.815771906346718
36,36,0.0,0.0,3.0,2.0,14.0,2.0,2.0,2.0,3.125,4.517821851923146
37,37,,,,,,,,,,
38,38,1.0,0.0,3.0,1.0,0.0,6.0,1.0,6.0,2.25,2.49284690951645
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,6.0,12.0,1.0,2.0,9.0,2.0,8.0,19.0,7.375,6.093028803476971
42,42,44.0,22.0,14.0,3.0,20.0,3.0,6.0,26.0,17.25,13.966797362725234
43,43,7.0,15.0,2.0,13.0,21.0,1.0,5.0,37.0,12.625,11.99925592931257
44,44,2.0,24.0,12.0,28.0,7.0,0.0,20.0,11.0,13.0,10.184021097498066
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.875,0.9910312089651149
50,50,,,,,,,,,,
51,51,0.0,2.0,2.0,2.0,0.0,2.0,10.0,19.0,4.625,6.610327417868843
52,52,0.0,0.0,2.0,1.0,0.0,0.0,2.0,5.0,1.25,1.7525491637693282
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,0.0,8.0,4.0,1.0,10.0,0.0,19.0,15.0,7.125,7.180081575342402
57,57,0.0,0.0,1.0,0.0,1.0,0.0,4.0,7.0,1.625,2.559994419636775
58,58,0.0,3.0,2.0,0.0,2.0,2.0,5.0,8.0,2.75,2.659215781283755
59,59,0.0,9.0,1.0,1.0,6.0,0.0,5.0,7.0,3.625,3.543101950067402
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,1.875,3.943801646707328
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,0.0,24.0,0.0,2.0,9.0,0.0,12.0,20.0,8.375,9.590732133530937
70,70,0.0,7.0,3.0,4.0,13.0,3.0,16.0,19.0,8.125,6.978282637685906
71,71,,,,,,,,,,
72,72,0.0,16.0,28.0,3.0,25.0,3.0,12.0,0.0,10.875,11.217811092824023
73,73,1.0,7.0,15.0,9.0,3.0,0.0,26.0,2.0,7.875,8.854982455415385
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,0.0,10.0,1.0,10.0,1.0,2.0,5.0,0.0,3.625,4.240535680446853
78,78,,,,,,,,,,
79,79,0.0,13.0,2.0,13.0,14.0,31.0,8.0,0.0,10.125,10.301698889018258
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,0.0,8.0,8.0,17.0,19.0,42.0,5.0,0.0,12.375,13.845447936828501
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,0.0,21.0,1.0,6.0,33.0,19.0,4.0,1.0,10.625,12.199970725960195
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,0.0,10.0,3.0,12.0,24.0,3.0,4.0,2.0,7.25,7.905694150420948
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,1.0,3.0,0.0,8.0,1.0,0.0,20.0,1.0,4.25,6.881652625434014
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,8.0,8.0,12.0,22.0,12.0,4.0,4.0,8.0,9.75,5.800246300189083
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,0.0,13.0,3.0,4.0,4.0,11.0,23.0,3.0,7.625,7.595816517756901
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,11.0,7.0,17.0,2.0,1.0,6.0,7.0,12.0,7.875,5.303300858899107
126,126,,,,,,,,,,
