,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,15.0,1307.0,,,0.0,,0.0,330.5,651.0384013251446
1,1,0.0,,2313.0,,0.0,0.0,0.0,1.0,385.6666666666667,944.1967309129313
2,2,,0.0,1650.0,,1.0,,0.0,0.0,330.2,737.7907562446144
3,3,,1.0,2362.0,,9.0,0.0,,,593.0,1179.3402110219652
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,3.0,,,,1.0,0.0,0.0,1.0,1.4142135623730951
7,7,,,,,,,,,,
8,8,128.0,1334.0,2568.0,25.0,130.0,260.0,1689.0,39.0,771.625,968.5548789673347
9,9,1115.0,1.0,216.0,1356.0,1185.0,44.0,2288.0,399.0,825.5,799.7608571138178
10,10,0.0,1994.0,2781.0,36.0,20.0,1031.0,2229.0,943.0,1129.25,1097.4450523179478
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,2119.0,1774.0,1811.0,21.0,60.0,85.0,978.3333333333334,1018.3719687160809
14,14,,1230.0,972.0,,,2374.0,33.0,997.0,1121.2,837.1395940940794
15,15,679.0,1498.0,425.0,585.0,37.0,127.0,1103.0,118.0,571.5,515.8942305772155
16,16,,,,,,,,,,
17,17,102.0,142.0,165.0,56.0,223.0,845.0,134.0,281.0,243.5,252.77375541889515
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,101.0,25.0,1093.0,1071.0,315.0,556.0,69.0,33.0,407.875,452.90031621602054
21,21,831.0,21.0,2013.0,1575.0,669.0,111.0,656.0,731.0,825.875,675.2585615895588
22,22,245.0,891.0,420.0,737.0,182.0,67.0,261.0,302.0,388.125,284.17421090390513
23,23,568.0,1489.0,703.0,983.0,158.0,272.0,336.0,39.0,568.5,482.26696815293974
24,24,675.0,178.0,190.0,288.0,309.0,16.0,530.0,60.0,280.75,225.52335957564512
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,311.0,245.0,46.0,72.0,747.0,13.0,525.0,702.0,332.625,294.1180217434588
28,28,414.0,97.0,73.0,12.0,859.0,23.0,34.0,259.0,221.375,292.98217278774587
29,29,284.0,823.0,111.0,230.0,550.0,45.0,891.0,1324.0,532.25,448.5321297617055
30,30,43.0,293.0,391.0,249.0,321.0,31.0,1210.0,26.0,320.5,387.22381862985355
31,31,248.0,743.0,88.0,1525.0,124.0,9.0,387.0,353.0,434.625,496.4971406909467
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,12.0,62.0,67.0,73.0,49.0,326.0,47.0,18.0,81.75,101.10214071493668
35,35,60.0,36.0,106.0,1634.0,815.0,117.0,1375.0,433.0,572.0,635.2326907744684
36,36,266.0,219.0,1094.0,1021.0,31.0,30.0,255.0,327.0,405.375,416.99227039770005
37,37,,,,,,,,,,
38,38,528.0,54.0,116.0,130.0,3.0,37.0,474.0,237.0,197.375,200.93491305821962
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,11.0,316.0,64.0,444.0,23.0,347.0,216.0,115.0,192.0,163.49574044254837
42,42,4.0,77.0,7.0,17.0,75.0,272.0,31.0,14.0,62.125,89.58066994933354
43,43,57.0,72.0,22.0,192.0,80.0,333.0,16.0,145.0,114.625,106.39540470742683
44,44,9.0,182.0,50.0,706.0,31.0,249.0,80.0,31.0,167.25,233.20239523396225
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,13.0,73.0,1.0,3.0,0.0,0.0,7.0,1.0,12.25,24.9499498997493
50,50,,,,,,,,,,
51,51,12.0,50.0,17.0,15.0,27.0,6.0,5.0,11.0,17.875,14.701190427989157
52,52,186.0,50.0,1.0,51.0,22.0,52.0,80.0,2.0,55.5,59.33921854172717
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,1.0,258.0,9.0,6.0,12.0,4.0,8.0,0.0,37.25,89.28725712952709
57,57,159.0,1036.0,13.0,321.0,15.0,20.0,146.0,35.0,218.125,347.3007907933903
58,58,8.0,9.0,5.0,7.0,94.0,21.0,6.0,8.0,19.75,30.414986907303255
59,59,14.0,102.0,154.0,29.0,8.0,38.0,5.0,87.0,54.625,53.968079189726325
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,7.0,872.0,9.0,215.0,12.0,85.0,49.0,153.0,175.25,291.3558207513869
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,22.0,20.0,36.0,9.0,6.0,29.0,11.0,10.0,17.875,10.709641850754327
70,70,20.0,326.0,86.0,9.0,29.0,36.0,298.0,25.0,103.625,130.82915522597727
71,71,,,,,,,,,,
72,72,3.0,95.0,75.0,11.0,11.0,13.0,50.0,10.0,33.5,35.23796653773151
73,73,51.0,9.0,12.0,1.0,7.0,1.0,8.0,2.0,11.375,16.51784749034467
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,12.0,3.0,13.0,3.0,1.0,4.0,32.0,6.0,9.25,10.166471504762253
78,78,,,,,,,,,,
79,79,129.0,284.0,6.0,4.0,7.0,22.0,119.0,7.0,72.25,100.23650603875387
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,13.0,27.0,34.0,6.0,35.0,29.0,8.0,1.0,19.125,13.600814051267037
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,217.0,6.0,2.0,8.0,98.0,41.0,19.0,12.0,50.375,74.33695005081351
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,202.0,377.0,4.0,83.0,25.0,81.0,29.0,34.0,104.375,126.41647440108429
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,13.0,78.0,5.0,80.0,19.0,57.0,35.0,114.0,50.125,38.561407428375105
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,930.0,257.0,202.0,11.0,16.0,69.0,43.0,29.0,194.625,310.88580241441895
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,7.0,435.0,22.0,16.0,342.0,23.0,53.0,20.0,114.75,171.2873525478666
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,49.0,390.0,14.0,37.0,29.0,11.0,16.0,21.0,70.875,129.58112461752623
126,126,,,,,,,,,,
127,127,,,,,,,,,,
128,128,,,,,,,,,,
129,129,,,,,,,,,,
130,130,,,,,,,,,,
131,131,,,,,,,,,,
132,132,,,,,,,,,,
133,133,11.0,46.0,12.0,20.0,16.0,15.0,13.0,27.0,20.0,11.710800875382398
134,134,,,,,,,,,,
135,135,,,,,,,,,,
136,136,,,,,,,,,,
137,137,,,,,,,,,,
138,138,,,,,,,,,,
139,139,4.0,32.0,4.0,52.0,10.0,12.0,214.0,232.0,70.0,95.93450146547158
140,140,,,,,,,,,,
141,141,,,,,,,,,,
142,142,,,,,,,,,,
143,143,,,,,,,,,,
144,144,,,,,,,,,,
145,145,,,,,,,,,,
146,146,,,,,,,,,,
147,147,7.0,229.0,7.0,14.0,3.0,37.0,14.0,10.0,40.125,77.0239990429699
148,148,,,,,,,,,,
149,149,,,,,,,,,,
150,150,,,,,,,,,,
151,151,,,,,,,,,,
152,152,,,,,,,,,,
153,153,4.0,202.0,4.0,53.0,1.0,6.0,6.0,12.0,36.0,69.1726618170585
154,154,,,,,,,,,,
155,155,,,,,,,,,,
156,156,,,,,,,,,,
157,157,,,,,,,,,,
158,158,,,,,,,,,,
159,159,,,,,,,,,,
160,160,,,,,,,,,,
161,161,6.0,77.0,3.0,50.0,3.0,12.0,43.0,33.0,28.375,27.055168505428735
162,162,,,,,,,,,,
163,163,,,,,,,,,,
164,164,,,,,,,,,,
165,165,,,,,,,,,,
166,166,,,,,,,,,,
167,167,39.0,803.0,9.0,9.0,17.0,11.0,128.0,20.0,129.5,275.03869857582896
168,168,,,,,,,,,,
169,169,,,,,,,,,,
170,170,,,,,,,,,,
171,171,,,,,,,,,,
172,172,,,,,,,,,,
173,173,,,,,,,,,,
174,174,,,,,,,,,,
175,175,11.0,195.0,81.0,96.0,17.0,58.0,30.0,235.0,90.375,83.11770913246208
176,176,,,,,,,,,,
177,177,,,,,,,,,,
178,178,,,,,,,,,,
179,179,,,,,,,,,,
180,180,,,,,,,,,,
181,181,12.0,99.0,76.0,109.0,20.0,125.0,393.0,31.0,108.125,122.77091035164409
182,182,,,,,,,,,,
183,183,,,,,,,,,,
184,184,,,,,,,,,,
185,185,,,,,,,,,,
186,186,,,,,,,,,,
187,187,,,,,,,,,,
188,188,20.0,136.0,14.0,256.0,17.0,221.0,308.0,56.0,128.5,119.31949906508515
189,189,,,,,,,,,,
190,190,,,,,,,,,,
191,191,,,,,,,,,,
192,192,,,,,,,,,,
193,193,,,,,,,,,,
194,194,,,,,,,,,,
195,195,0.0,6.0,19.0,25.0,5.0,51.0,13.0,10.0,16.125,16.199096094712022
196,196,,,,,,,,,,
197,197,,,,,,,,,,
198,198,,,,,,,,,,
199,199,,,,,,,,,,
200,200,,,,,,,,,,
201,201,,,,,,,,,,
202,202,,,,,,,,,,
203,203,6.0,31.0,38.0,611.0,183.0,13.0,17.0,27.0,115.75,208.13920479195787
204,204,,,,,,,,,,
205,205,,,,,,,,,,
206,206,,,,,,,,,,
207,207,,,,,,,,,,
208,208,,,,,,,,,,
209,209,,,,,,,,,,
210,210,73.0,40.0,71.0,30.0,12.0,21.0,80.0,29.0,44.5,26.333031945231287
211,211,,,,,,,,,,
212,212,,,,,,,,,,
213,213,,,,,,,,,,
214,214,,,,,,,,,,
215,215,,,,,,,,,,
216,216,7.0,188.0,37.0,23.0,29.0,37.0,163.0,10.0,61.75,71.37976904257556
217,217,,,,,,,,,,
218,218,,,,,,,,,,
219,219,,,,,,,,,,
220,220,,,,,,,,,,
221,221,,,,,,,,,,
222,222,,,,,,,,,,
223,223,3.0,604.0,48.0,145.0,74.0,34.0,410.0,578.0,237.0,252.874333556074
224,224,,,,,,,,,,
225,225,,,,,,,,,,
226,226,,,,,,,,,,
227,227,,,,,,,,,,
228,228,,,,,,,,,,
229,229,,,,,,,,,,
230,230,,,,,,,,,,
231,231,6.0,10.0,6.0,380.0,5.0,25.0,10.0,18.0,57.5,130.49137902558928
232,232,,,,,,,,,,
233,233,,,,,,,,,,
234,234,,,,,,,,,,
235,235,,,,,,,,,,
236,236,,,,,,,,,,
237,237,,,,,,,,,,
238,238,34.0,876.0,60.0,25.0,124.0,15.0,21.0,24.0,147.375,296.55639670823393
239,239,,,,,,,,,,
240,240,,,,,,,,,,
241,241,,,,,,,,,,
242,242,,,,,,,,,,
243,243,,,,,,,,,,
244,244,66.0,94.0,33.0,184.0,32.0,25.0,256.0,38.0,91.0,84.95208733666962
245,245,,,,,,,,,,
246,246,,,,,,,,,,
247,247,,,,,,,,,,
248,248,,,,,,,,,,
249,249,,,,,,,,,,
250,250,,,,,,,,,,
251,251,,,,,,,,,,
252,252,64.0,11.0,162.0,16.0,38.0,19.0,24.0,35.0,46.125,49.71759533318446
253,253,,,,,,,,,,
254,254,,,,,,,,,,
255,255,,,,,,,,,,
256,256,,,,,,,,,,
257,257,,,,,,,,,,
258,258,,,,,,,,,,
259,259,157.0,137.0,86.0,18.0,43.0,17.0,31.0,15.0,63.0,56.95863160475078
260,260,,,,,,,,,,
261,261,,,,,,,,,,
262,262,,,,,,,,,,
263,263,,,,,,,,,,
264,264,,,,,,,,,,
265,265,,,,,,,,,,
266,266,,,,,,,,,,
267,267,14.0,34.0,6.0,30.0,15.0,32.0,14.0,12.0,19.625,10.662852740773857
268,268,,,,,,,,,,
269,269,,,,,,,,,,
270,270,,,,,,,,,,
271,271,,,,,,,,,,
272,272,,,,,,,,,,
273,273,,,,,,,,,,
274,274,6.0,16.0,11.0,44.0,9.0,45.0,,19.0,21.428571428571427,16.338677454199924
275,275,,,,,,,,,,
276,276,,,,,,,,,,
277,277,,,,,,,,,,
278,278,,,,,,,,,,
279,279,3.0,258.0,113.0,382.0,27.0,12.0,265.0,106.0,145.75,140.23220539010083
280,280,,,,,,,,,,
