,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,2.0,0.0,,,0.0,,0.0,0.5,1.0
1,1,16.0,,0.0,,210.0,0.0,0.0,0.0,37.666666666666664,84.66797899245421
2,2,,0.0,1.0,,377.0,,0.0,1.0,75.8,168.37666109054425
3,3,,0.0,0.0,,903.0,352.0,,,313.75,426.4413793242865
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,298.0,0.0,327.0,156.25,180.80998313146318
7,7,,,,,,,,,,
8,8,565.0,2.0,0.0,565.0,314.0,465.0,237.0,434.0,322.75,228.17897111071136
9,9,420.0,0.0,2.0,288.0,205.0,32.0,66.0,417.0,178.75,179.29604409626953
10,10,1.0,0.0,0.0,10.0,5.0,284.0,37.0,411.0,93.5,160.8610758209882
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,63.0,22.0,0.0,1.0,8.0,15.666666666666666,24.67927605637302
14,14,,0.0,0.0,,,10.0,4.0,2.0,3.2,4.147288270665544
15,15,61.0,0.0,3.0,10.0,6.0,3.0,7.0,1.0,11.375,20.318446931650207
16,16,,,,,,,,,,
17,17,48.0,0.0,0.0,39.0,26.0,4.0,6.0,22.0,18.125,18.55060645908915
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,411.0,0.0,42.0,13.0,228.0,9.0,271.0,26.0,125.0,156.76916606454034
21,21,251.0,2.0,10.0,43.0,234.0,6.0,51.0,34.0,78.875,102.63170980327112
22,22,394.0,80.0,50.0,104.0,401.0,185.0,404.0,416.0,254.25,164.36262175011515
23,23,505.0,67.0,63.0,130.0,190.0,417.0,439.0,185.0,249.5,177.00524608851893
24,24,299.0,17.0,484.0,269.0,159.0,223.0,367.0,316.0,266.75,139.7024900074645
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,71.0,177.0,439.0,133.0,120.0,359.0,174.0,177.0,206.25,126.12550438806124
28,28,46.0,287.0,152.0,63.0,75.0,283.0,390.0,118.0,176.75,127.26322552657767
29,29,409.0,203.0,154.0,1921.0,151.0,397.0,33.0,325.0,449.125,608.9645632429807
30,30,220.0,333.0,97.0,44.0,344.0,330.0,28.0,104.0,187.5,135.34083957602323
31,31,51.0,166.0,159.0,203.0,305.0,230.0,410.0,263.0,223.375,107.35114278452212
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,52.0,25.0,153.0,38.0,180.0,92.0,38.0,51.0,78.625,58.108119668670845
35,35,26.0,3.0,52.0,41.0,303.0,173.0,20.0,4.0,77.75,106.14242453286191
36,36,43.0,29.0,247.0,254.0,401.0,39.0,286.0,240.0,192.375,138.28948674016092
37,37,,,,,,,,,,
38,38,61.0,2.0,177.0,657.0,292.0,20.0,377.0,391.0,247.125,226.4038348362753
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,158.0,361.0,46.0,194.0,187.0,17.0,248.0,393.0,200.5,133.4412658384633
42,42,337.0,772.0,325.0,315.0,377.0,28.0,337.0,346.0,354.625,201.61132160669945
43,43,197.0,482.0,86.0,307.0,403.0,147.0,200.0,332.0,269.25,134.72485188073398
44,44,121.0,657.0,302.0,389.0,158.0,177.0,300.0,238.0,292.75,171.6023226616037
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,23.0,172.0,106.0,128.0,166.0,109.0,105.0,167.0,122.0,49.29792809323445
50,50,,,,,,,,,,
51,51,54.0,426.0,300.0,327.0,133.0,241.0,339.0,349.0,271.125,122.9069770192075
52,52,5.0,396.0,171.0,250.0,188.0,158.0,244.0,245.0,207.125,110.35324773523563
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,8.0,591.0,202.0,233.0,309.0,203.0,437.0,311.0,286.75,173.62253803664348
57,57,12.0,116.0,130.0,52.0,226.0,75.0,236.0,270.0,139.625,94.52125611280701
58,58,35.0,300.0,157.0,235.0,201.0,381.0,329.0,227.0,233.125,108.0032241582233
59,59,45.0,410.0,119.0,123.0,389.0,148.0,294.0,207.0,216.875,133.97594400275213
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,0.0,336.0,148.0,20.0,193.0,176.0,254.0,195.0,165.25,111.80691264088154
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,0.0,689.0,156.0,223.0,299.0,151.0,391.0,492.0,300.125,218.87141528434321
70,70,0.0,491.0,320.0,304.0,368.0,407.0,274.0,463.0,328.375,152.9583860307857
71,71,,,,,,,,,,
72,72,31.0,324.0,323.0,235.0,437.0,76.0,311.0,193.0,241.25,136.587753059029
73,73,11.0,388.0,337.0,190.0,145.0,243.0,450.0,268.0,254.0,140.71450326306606
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,1.0,481.0,50.0,226.0,101.0,165.0,312.0,145.0,185.125,154.25529627397378
78,78,,,,,,,,,,
79,79,4.0,440.0,177.0,208.0,299.0,169.0,193.0,185.0,209.375,123.60182326440705
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,54.0,204.0,278.0,179.0,350.0,108.0,13.0,231.0,177.125,113.74462310682772
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,9.0,332.0,142.0,231.0,382.0,165.0,382.0,194.0,229.625,130.2293992482935
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,17.0,374.0,249.0,247.0,488.0,220.0,170.0,158.0,240.375,142.09748917053892
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,20.0,241.0,122.0,259.0,144.0,281.0,259.0,262.0,198.5,93.08214498111715
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,31.0,329.0,270.0,301.0,148.0,54.0,158.0,418.0,213.625,137.38677156116597
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,5.0,349.0,104.0,193.0,341.0,89.0,347.0,192.0,202.5,132.7274328410349
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,288.0,262.0,237.0,163.0,204.0,269.0,123.0,124.0,208.75,65.6783286719665
126,126,,,,,,,,,,
127,127,,,,,,,,,,
128,128,,,,,,,,,,
129,129,,,,,,,,,,
130,130,,,,,,,,,,
131,131,,,,,,,,,,
132,132,,,,,,,,,,
133,133,3.0,37.0,108.0,78.0,9.0,119.0,147.0,96.0,74.625,52.97152199868475
134,134,,,,,,,,,,
135,135,,,,,,,,,,
136,136,,,,,,,,,,
137,137,,,,,,,,,,
138,138,,,,,,,,,,
139,139,8.0,235.0,92.0,160.0,64.0,143.0,181.0,176.0,132.375,73.14357212262156
140,140,,,,,,,,,,
141,141,,,,,,,,,,
142,142,,,,,,,,,,
143,143,,,,,,,,,,
144,144,,,,,,,,,,
145,145,,,,,,,,,,
146,146,,,,,,,,,,
147,147,1.0,29.0,98.0,7.0,33.0,75.0,163.0,190.0,74.5,71.18988692223074
148,148,,,,,,,,,,
149,149,,,,,,,,,,
150,150,,,,,,,,,,
151,151,,,,,,,,,,
152,152,,,,,,,,,,
153,153,1.0,293.0,111.0,269.0,67.0,203.0,174.0,81.0,149.875,102.3766679612945
154,154,,,,,,,,,,
155,155,,,,,,,,,,
156,156,,,,,,,,,,
157,157,,,,,,,,,,
158,158,,,,,,,,,,
159,159,,,,,,,,,,
160,160,,,,,,,,,,
161,161,0.0,471.0,109.0,264.0,87.0,96.0,208.0,171.0,175.75,144.2237844462556
162,162,,,,,,,,,,
163,163,,,,,,,,,,
164,164,,,,,,,,,,
165,165,,,,,,,,,,
166,166,,,,,,,,,,
167,167,3.0,275.0,143.0,89.0,172.0,54.0,114.0,140.0,123.75,81.58037228927766
168,168,,,,,,,,,,
169,169,,,,,,,,,,
170,170,,,,,,,,,,
171,171,,,,,,,,,,
172,172,,,,,,,,,,
173,173,,,,,,,,,,
174,174,,,,,,,,,,
175,175,0.0,171.0,149.0,445.0,180.0,172.0,100.0,99.0,164.5,128.04575075227714
176,176,,,,,,,,,,
177,177,,,,,,,,,,
178,178,,,,,,,,,,
179,179,,,,,,,,,,
180,180,,,,,,,,,,
181,181,1.0,207.0,231.0,177.0,240.0,152.0,209.0,85.0,162.75,82.15794892418245
182,182,,,,,,,,,,
183,183,,,,,,,,,,
184,184,,,,,,,,,,
185,185,,,,,,,,,,
186,186,,,,,,,,,,
187,187,,,,,,,,,,
188,188,0.0,371.0,178.0,200.0,48.0,142.0,25.0,325.0,161.125,136.46186018706578
189,189,,,,,,,,,,
190,190,,,,,,,,,,
191,191,,,,,,,,,,
192,192,,,,,,,,,,
193,193,,,,,,,,,,
194,194,,,,,,,,,,
195,195,3.0,261.0,291.0,251.0,152.0,237.0,300.0,197.0,211.5,97.12730968020419
196,196,,,,,,,,,,
197,197,,,,,,,,,,
198,198,,,,,,,,,,
199,199,,,,,,,,,,
200,200,,,,,,,,,,
201,201,,,,,,,,,,
202,202,,,,,,,,,,
203,203,112.0,407.0,88.0,102.0,70.0,255.0,276.0,194.0,188.0,117.91401225348193
204,204,,,,,,,,,,
205,205,,,,,,,,,,
206,206,,,,,,,,,,
207,207,,,,,,,,,,
208,208,,,,,,,,,,
209,209,,,,,,,,,,
210,210,14.0,306.0,159.0,77.0,49.0,128.0,246.0,89.0,133.5,99.77546219959522
211,211,,,,,,,,,,
212,212,,,,,,,,,,
213,213,,,,,,,,,,
214,214,,,,,,,,,,
215,215,,,,,,,,,,
216,216,125.0,162.0,107.0,136.0,121.0,89.0,284.0,169.0,149.125,60.57684022321214
217,217,,,,,,,,,,
218,218,,,,,,,,,,
219,219,,,,,,,,,,
220,220,,,,,,,,,,
221,221,,,,,,,,,,
222,222,,,,,,,,,,
223,223,0.0,145.0,156.0,142.0,243.0,152.0,164.0,232.0,154.25,73.73068754402257
224,224,,,,,,,,,,
225,225,,,,,,,,,,
226,226,,,,,,,,,,
227,227,,,,,,,,,,
228,228,,,,,,,,,,
229,229,,,,,,,,,,
230,230,,,,,,,,,,
231,231,13.0,300.0,193.0,168.0,102.0,30.0,116.0,155.0,134.625,92.14575023143654
232,232,,,,,,,,,,
233,233,,,,,,,,,,
234,234,,,,,,,,,,
235,235,,,,,,,,,,
236,236,,,,,,,,,,
237,237,,,,,,,,,,
238,238,8.0,162.0,113.0,6.0,86.0,112.0,122.0,119.0,91.0,55.869746477217625
239,239,,,,,,,,,,
240,240,,,,,,,,,,
241,241,,,,,,,,,,
242,242,,,,,,,,,,
243,243,,,,,,,,,,
244,244,2.0,192.0,176.0,54.0,63.0,34.0,292.0,180.0,124.125,100.20897806940397
245,245,,,,,,,,,,
246,246,,,,,,,,,,
247,247,,,,,,,,,,
248,248,,,,,,,,,,
249,249,,,,,,,,,,
250,250,,,,,,,,,,
251,251,,,,,,,,,,
252,252,0.0,178.0,89.0,155.0,60.0,15.0,319.0,208.0,128.0,107.84115302478125
253,253,,,,,,,,,,
254,254,,,,,,,,,,
255,255,,,,,,,,,,
256,256,,,,,,,,,,
257,257,,,,,,,,,,
258,258,,,,,,,,,,
259,259,1.0,164.0,138.0,80.0,131.0,46.0,170.0,186.0,114.5,65.71801231669399
260,260,,,,,,,,,,
261,261,,,,,,,,,,
262,262,,,,,,,,,,
263,263,,,,,,,,,,
264,264,,,,,,,,,,
265,265,,,,,,,,,,
266,266,,,,,,,,,,
267,267,0.0,206.0,102.0,161.0,115.0,596.0,248.0,418.0,230.75,191.78317369958637
268,268,,,,,,,,,,
269,269,,,,,,,,,,
270,270,,,,,,,,,,
271,271,,,,,,,,,,
272,272,,,,,,,,,,
273,273,,,,,,,,,,
274,274,56.0,332.0,125.0,244.0,362.0,173.0,,96.0,198.28571428571428,117.9614545599738
275,275,,,,,,,,,,
276,276,,,,,,,,,,
277,277,,,,,,,,,,
278,278,,,,,,,,,,
279,279,0.0,88.0,200.0,90.0,84.0,65.0,138.0,110.0,96.875,57.55851060318658
280,280,,,,,,,,,,
281,281,,,,,,,,,,
282,282,,,,,,,,,,
283,283,,,,,,,,,,
284,284,,,,,,,,,,
285,285,,,,,,,,,,
286,286,,,,,,,,,,
287,287,91.0,267.0,133.0,310.0,124.0,104.0,369.0,211.0,201.125,104.62373057772314
288,288,,,,,,,,,,
289,289,,,,,,,,,,
290,290,,,,,,,,,,
291,291,,,,,,,,,,
292,292,,,,,,,,,,
293,293,,,,,,,,,,
294,294,181.0,429.0,306.0,149.0,216.0,192.0,234.0,217.0,240.5,88.86747757998182
295,295,,,,,,,,,,
296,296,,,,,,,,,,
297,297,,,,,,,,,,
298,298,,,,,,,,,,
299,299,,,,,,,,,,
300,300,,,,,,,,,,
301,301,,,,,,,,,,
302,302,,,,,,,,,,
303,303,5.0,408.0,150.0,302.0,212.0,248.0,133.0,442.0,237.5,145.6237814173417
304,304,,,,,,,,,,
305,305,,,,,,,,,,
306,306,,,,,,,,,,
307,307,,,,,,,,,,
308,308,2.0,337.0,74.0,218.0,101.0,233.0,39.0,241.0,155.625,117.6628810263822
309,309,,,,,,,,,,
310,310,,,,,,,,,,
311,311,,,,,,,,,,
312,312,,,,,,,,,,
313,313,,,,,,,,,,
314,314,,,,,,,,,,
315,315,2.0,241.0,236.0,34.0,130.0,243.0,467.0,244.0,199.625,146.24337591836425
316,316,,,,,,,,,,
317,317,,,,,,,,,,
318,318,,,,,,,,,,
319,319,,,,,,,,,,
320,320,,,,,,,,,,
321,321,,,,,,,,,,
322,322,105.0,361.0,103.0,225.0,112.0,150.0,316.0,198.0,196.25,98.97438341019645
323,323,,,,,,,,,,
324,324,,,,,,,,,,
325,325,,,,,,,,,,
326,326,,,,,,,,,,
327,327,,,,,,,,,,
328,328,,,,,,,,,,
329,329,14.0,63.0,104.0,42.0,151.0,195.0,40.0,54.0,82.875,62.26771119242185
330,330,,,,,,,,,,
331,331,,,,,,,,,,
332,332,,,,,,,,,,
333,333,,,,,,,,,,
334,334,,,,,,,,,,
335,335,,,,,,,,,,
336,336,,,,,,,,,,
337,337,,,,,,,,,,
338,338,161.0,471.0,182.0,169.0,202.0,153.0,234.0,359.0,241.375,114.1439410819264
339,339,,,,,,,,,,
340,340,,,,,,,,,,
341,341,,,,,,,,,,
342,342,,,,,,,,,,
343,343,,,,,,,,,,
344,344,,,,,,,,,,
345,345,,,,,,,,,,
346,346,61.0,420.0,17.0,104.0,83.0,145.0,227.0,230.0,160.875,129.0198628118942
