,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,1.0,0.0,,,0.0,,0.0,0.25,0.5
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,44.0,2.0,0.0,2.0,1.0,2.0,3.0,6.75,15.087838053971057
9,9,0.0,0.0,1.0,2.0,22.0,53.0,0.0,3.0,10.125,18.848550531615345
10,10,2.0,47.0,3.0,1.0,0.0,3.0,0.0,2.0,7.25,16.10456900563138
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,16.0,0.0,0.0,0.0,9.0,4.166666666666667,6.823977334858804
14,14,,6.0,1.0,,,43.0,1.0,11.0,12.4,17.60113632695344
15,15,49.0,13.0,1.0,35.0,4.0,8.0,1.0,3.0,14.25,17.974187841775453
16,16,,,,,,,,,,
17,17,4.0,10.0,3.0,76.0,20.0,9.0,2.0,46.0,21.25,26.42915057280502
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,84.0,0.0,20.0,8.0,60.0,8.0,40.0,6.0,28.25,30.32090273816304
21,21,11.0,0.0,3.0,7.0,73.0,1.0,2.0,2.0,12.375,24.761361028828766
22,22,93.0,135.0,333.0,63.0,98.0,27.0,72.0,27.0,106.0,98.62627873514674
23,23,63.0,285.0,2.0,57.0,122.0,9.0,30.0,34.0,75.25,92.71114896740922
24,24,25.0,343.0,102.0,75.0,378.0,6.0,34.0,56.0,127.375,147.2218321348531
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,2.0,52.0,88.0,19.0,65.0,5.0,9.0,3.0,30.375,33.32068212301269
28,28,1.0,27.0,195.0,7.0,58.0,23.0,66.0,2.0,47.375,64.4779862766023
29,29,8.0,3.0,141.0,47.0,39.0,52.0,43.0,7.0,42.5,44.458648523897224
30,30,22.0,15.0,47.0,17.0,24.0,164.0,4.0,3.0,37.0,53.11981067091905
31,31,2.0,9.0,86.0,7.0,30.0,149.0,51.0,9.0,42.875,51.557007283200605
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,20.0,2.0,123.0,18.0,32.0,188.0,19.0,25.0,53.375,65.92189642729818
35,35,4.0,2.0,6.0,0.0,7.0,264.0,0.0,0.0,35.375,92.41975283609946
36,36,2.0,0.0,1.0,10.0,7.0,430.0,4.0,1.0,56.875,150.80397635909435
37,37,,,,,,,,,,
38,38,9.0,0.0,0.0,0.0,0.0,317.0,1.0,3.0,41.25,111.46267793045604
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,7.0,0.0,2.0,1.0,144.0,75.0,30.0,41.0,37.5,50.35020215592841
42,42,16.0,6.0,21.0,2.0,65.0,87.0,23.0,20.0,30.0,29.90461025135948
43,43,5.0,2.0,16.0,12.0,121.0,13.0,9.0,50.0,28.5,40.21726708055349
44,44,10.0,8.0,111.0,104.0,96.0,13.0,75.0,143.0,70.0,52.86100371999868
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,1.0,0.0,2.0,0.0,1.0,3.0,2.0,0.0,1.125,1.1259916264596033
50,50,,,,,,,,,,
51,51,34.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,5.5,11.686377906410035
52,52,0.0,0.0,1.0,2.0,4.0,2.0,13.0,1.0,2.875,4.2907708265199025
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,0.0,2.0,76.0,17.0,46.0,25.0,55.0,31.0,31.5,26.343879744638983
57,57,5.0,0.0,76.0,1.0,9.0,7.0,5.0,12.0,14.375,25.207354369027193
58,58,27.0,5.0,3.0,1.0,1.0,4.0,4.0,31.0,9.5,12.165525060596439
59,59,20.0,0.0,14.0,0.0,12.0,5.0,5.0,102.0,19.75,33.9611122146661
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,0.0,0.0,11.0,0.0,0.0,0.0,6.0,15.0,4.0,6.023762469230862
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,0.0,3.0,14.0,5.0,6.0,2.0,25.0,70.0,15.625,23.427319217406964
70,70,0.0,3.0,13.0,3.0,15.0,9.0,34.0,19.0,12.0,11.071198154284321
71,71,,,,,,,,,,
72,72,0.0,3.0,21.0,16.0,24.0,16.0,44.0,43.0,20.875,16.199096094712022
73,73,1.0,0.0,21.0,11.0,19.0,5.0,38.0,21.0,14.5,12.828539611796371
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,0.0,3.0,11.0,10.0,12.0,101.0,29.0,87.0,31.625,39.61218246953833
78,78,,,,,,,,,,
79,79,0.0,15.0,20.0,37.0,48.0,206.0,8.0,68.0,50.25,66.7848357467044
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,0.0,0.0,67.0,67.0,35.0,321.0,5.0,105.0,75.0,106.43173533168707
