,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,1.0,,2.0,0.75,0.9574271077563381
1,1,0.0,,0.0,,0.0,0.0,0.0,5.0,0.8333333333333334,2.041241452319315
2,2,,0.0,1.0,,0.0,,0.0,3.0,0.8,1.3038404810405297
3,3,,0.0,0.0,,0.0,18.0,,,4.5,9.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,2.0,,,,1006.0,1.0,6.0,253.75,501.5046526869583
7,7,,,,,,,,,,
8,8,422.0,2.0,1.0,51.0,1576.0,1182.0,167.0,627.0,503.5,592.1522487623312
9,9,309.0,0.0,95.0,373.0,915.0,45.0,25.0,1207.0,371.125,453.31932532629327
10,10,0.0,0.0,16.0,9.0,19.0,687.0,6.0,513.0,156.25,277.8898805539448
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,2.0,40.0,5.0,3.0,0.0,9.0,9.833333333333334,15.091940453986247
14,14,,0.0,0.0,,,69.0,22.0,7.0,19.6,29.039628096792146
15,15,48.0,4.0,3.0,39.0,21.0,2.0,0.0,1.0,14.75,19.106842454247342
16,16,,,,,,,,,,
17,17,15.0,0.0,4.0,206.0,338.0,16.0,3.0,242.0,103.0,136.7364514050922
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,999.0,5.0,435.0,45.0,237.0,124.0,536.0,89.0,308.75,336.66971945810633
21,21,156.0,4.0,11.0,154.0,485.0,1.0,65.0,10.0,110.75,164.58410789450048
22,22,1096.0,24.0,911.0,189.0,899.0,501.0,469.0,283.0,546.5,384.9653045591066
23,23,712.0,38.0,41.0,82.0,427.0,79.0,470.0,318.0,270.875,250.82745207469958
24,24,134.0,1133.0,884.0,298.0,693.0,144.0,146.0,327.0,469.875,384.4987228290139
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,175.0,325.0,767.0,234.0,468.0,183.0,409.0,90.0,331.375,216.70054222359482
28,28,56.0,387.0,993.0,140.0,430.0,405.0,834.0,42.0,410.875,349.33669289097014
29,29,339.0,9.0,1011.0,1.0,331.0,677.0,221.0,169.0,344.75,344.67282623214896
30,30,356.0,428.0,595.0,249.0,567.0,428.0,86.0,111.0,352.5,191.3433712316309
31,31,124.0,278.0,597.0,4.0,482.0,563.0,441.0,308.0,349.625,210.38124407166828
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,94.0,48.0,776.0,159.0,302.0,172.0,222.0,182.0,244.375,228.04757492367997
35,35,13.0,2.0,48.0,3.0,69.0,72.0,34.0,0.0,30.125,30.063919999133276
36,36,68.0,3.0,391.0,68.0,178.0,514.0,125.0,76.0,177.875,179.8026199554866
37,37,,,,,,,,,,
38,38,35.0,0.0,221.0,91.0,136.0,824.0,40.0,265.0,201.5,268.0154579763744
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,265.0,376.0,126.0,313.0,881.0,381.0,541.0,696.0,447.375,245.73791933684146
42,42,876.0,651.0,560.0,473.0,873.0,332.0,695.0,686.0,643.25,186.82134322853554
43,43,381.0,599.0,210.0,750.0,735.0,283.0,511.0,684.0,519.125,208.37016341117555
44,44,232.0,627.0,897.0,852.0,779.0,401.0,689.0,777.0,656.75,230.83497506722355
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,30.0,2.0,45.0,120.0,108.0,158.0,66.0,183.0,89.0,63.733821476512766
50,50,,,,,,,,,,
51,51,85.0,145.0,346.0,311.0,61.0,453.0,502.0,431.0,291.75,173.38540884399703
52,52,1.0,268.0,217.0,132.0,94.0,156.0,179.0,287.0,166.75,93.71346907309689
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,3.0,513.0,421.0,392.0,610.0,520.0,831.0,651.0,492.625,241.8706487242421
57,57,10.0,18.0,125.0,48.0,170.0,69.0,142.0,238.0,102.5,79.97499609252883
58,58,4.0,452.0,390.0,192.0,161.0,641.0,341.0,289.0,308.75,195.40269774420793
59,59,140.0,543.0,109.0,242.0,114.0,135.0,174.0,434.0,236.375,163.77766941802537
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,2.0,40.0,53.0,11.0,99.0,54.0,297.0,301.0,107.125,122.03914770035298
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,9.0,991.0,25.0,375.0,477.0,139.0,442.0,607.0,383.125,329.4577525484652
70,70,1.0,178.0,151.0,166.0,502.0,643.0,263.0,529.0,304.125,225.69539364879762
71,71,,,,,,,,,,
