,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,1.0,0.0,,,0.25,0.5
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,0.875,1.1259916264596033
9,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.25,0.4629100498862757
10,10,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.5,0.7559289460184544
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,2.0,3.0,0.0,0.0,0.0,0.8333333333333334,1.3291601358251257
14,14,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
15,15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
16,16,,,,,,,,,,
17,17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,0.0,1.0,0.0,0.0,2.0,42.0,0.0,0.0,5.625,14.715759288211105
21,21,0.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0,17.375,49.14392129246505
22,22,0.0,5.0,0.0,0.0,2.0,14.0,0.0,13.0,4.25,5.970163912561961
23,23,15.0,27.0,1.0,8.0,0.0,20.0,0.0,7.0,9.75,10.05342869728674
24,24,19.0,7.0,0.0,12.0,0.0,0.0,1.0,3.0,5.25,7.00510018282598
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,46.0,59.0,11.0,69.0,2.0,4.0,92.0,57.0,42.5,33.29950664585202
28,28,44.0,24.0,10.0,27.0,1.0,23.0,13.0,24.0,20.75,12.936658875348877
29,29,52.0,0.0,52.0,0.0,9.0,3.0,0.0,15.0,16.375,22.60807377907282
30,30,8.0,2.0,2.0,8.0,1.0,8.0,8.0,8.0,5.625,3.2923070504261465
31,31,12.0,88.0,19.0,200.0,0.0,4.0,9.0,19.0,43.875,68.97916352058786
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,15.0,76.0,2.0,53.0,11.0,14.0,16.0,13.0,25.0,25.511901984312008
35,35,9.0,144.0,0.0,22.0,18.0,10.0,10.0,27.0,30.0,46.834053544707956
36,36,5.0,164.0,0.0,12.0,7.0,0.0,4.0,115.0,38.375,63.890391631740236
37,37,,,,,,,,,,
38,38,14.0,104.0,0.0,20.0,5.0,3.0,12.0,25.0,22.875,33.867124809424595
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,6.0,38.0,7.0,25.0,16.0,0.0,24.0,6.0,15.25,12.881326462308586
42,42,0.0,7.0,11.0,4.0,5.0,6.0,2.0,9.0,5.5,3.585685828003181
43,43,0.0,12.0,5.0,10.0,2.0,5.0,5.0,6.0,5.625,3.8890872965260113
44,44,0.0,9.0,9.0,18.0,5.0,1.0,2.0,4.0,6.0,5.903993805649092
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,0.0,161.0,0.0,10.0,0.0,1.0,0.0,1.0,21.625,56.419189997730385
50,50,,,,,,,,,,
51,51,0.0,12.0,0.0,5.0,2.0,1.0,1.0,0.0,2.625,4.138236339311712
52,52,3.0,27.0,0.0,17.0,10.0,2.0,11.0,5.0,9.375,9.054399088682963
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,0.0,35.0,2.0,9.0,2.0,3.0,2.0,2.0,6.875,11.667261889578034
57,57,2.0,153.0,5.0,78.0,7.0,5.0,29.0,30.0,38.625,52.64690331416871
58,58,0.0,7.0,0.0,4.0,0.0,3.0,0.0,3.0,2.125,2.5877458475338284
59,59,1.0,21.0,8.0,0.0,12.0,6.0,0.0,2.0,6.25,7.343607521414215
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,5.0,403.0,2.0,58.0,3.0,10.0,8.0,13.0,62.75,138.68952993750364
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,7.0,26.0,4.0,9.0,6.0,0.0,2.0,6.0,7.5,8.0
70,70,0.0,63.0,3.0,4.0,2.0,7.0,6.0,6.0,11.375,20.98936805691328
71,71,,,,,,,,,,
72,72,0.0,22.0,9.0,9.0,3.0,6.0,0.0,4.0,6.625,7.130167299179292
73,73,2.0,12.0,3.0,3.0,0.0,1.0,3.0,2.0,3.25,3.693623849670827
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,3.0,5.0,3.0,4.0,1.0,0.0,7.0,4.0,3.375,2.1998376563477846
78,78,,,,,,,,,,
79,79,5.0,38.0,6.0,6.0,0.0,0.0,65.0,0.0,15.0,23.802760944298637
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,0.0,36.0,2.0,1.0,8.0,1.0,4.0,11.0,7.875,11.993301701962046
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,13.0,16.0,1.0,6.0,27.0,4.0,1.0,7.0,9.375,8.895223437328598
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,7.0,90.0,2.0,13.0,2.0,2.0,15.0,4.0,16.875,29.983030915121688
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,5.0,19.0,11.0,14.0,14.0,1.0,5.0,16.0,10.625,6.300510183423924
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,0.0,148.0,8.0,17.0,7.0,2.0,1.0,8.0,23.875,50.447816036545554
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,0.0,80.0,2.0,15.0,50.0,0.0,19.0,9.0,21.875,28.642812611294204
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,6.0,50.0,3.0,24.0,2.0,1.0,4.0,12.0,12.75,16.841699948130447
126,126,,,,,,,,,,
