,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.3535533905932738
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,,,,,,,,,,
17,17,0.0,0.0,5.0,1.0,0.0,0.0,3.0,3.0,1.5,1.927248223318863
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,0.0,14.0,1.0,3.0,1.0,0.0,7.0,8.0,4.25,5.007137762377681
21,21,6.0,8.0,0.0,2.0,1.0,2.0,4.0,18.0,5.125,5.841660722773962
22,22,2.0,4.0,1.0,6.0,2.0,1.0,4.0,13.0,4.125,3.9798600118956085
23,23,0.0,1.0,5.0,0.0,0.0,0.0,5.0,5.0,2.0,2.5071326821120348
24,24,1.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,1.125,0.9910312089651149
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,0.0,0.0,0.0,6.0,2.0,2.0,0.0,1.0,1.375,2.065879266282796
28,28,7.0,2.0,2.0,4.0,5.0,0.0,1.0,0.0,2.625,2.5035688811888406
29,29,3.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0,1.375,1.407885953173359
30,30,3.0,3.0,0.0,1.0,2.0,1.0,4.0,2.0,2.0,1.3093073414159542
31,31,3.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,1.25,1.2817398889233114
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,2.0,2.0,1.0,1.0,1.0,2.0,0.0,2.0,1.375,0.7440238091428449
35,35,4.0,2.0,1.0,2.0,2.0,2.0,6.0,8.0,3.375,2.445841952609133
36,36,2.0,2.0,1.0,3.0,4.0,3.0,1.0,2.0,2.25,1.0350983390135313
37,37,,,,,,,,,,
38,38,4.0,0.0,1.0,4.0,2.0,2.0,2.0,3.0,2.25,1.3887301496588271
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,0.0,0.0,3.0,1.0,0.0,2.0,2.0,3.0,1.375,1.3024701806293193
42,42,1.0,0.0,0.0,2.0,3.0,5.0,1.0,4.0,2.0,1.8516401995451028
43,43,4.0,0.0,2.0,0.0,1.0,3.0,1.0,2.0,1.625,1.407885953173359
44,44,2.0,4.0,4.0,2.0,2.0,4.0,2.0,3.0,2.875,0.9910312089651149
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,1.0,0.0,2.0,0.0,1.0,2.0,2.0,4.0,1.5,1.3093073414159542
50,50,,,,,,,,,,
51,51,1.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.875,1.1259916264596033
52,52,1.0,0.0,2.0,0.0,1.0,2.0,1.0,2.0,1.125,0.8345229603962802
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,0.0,2.0,2.0,0.0,4.0,0.0,0.0,1.0,1.125,1.4577379737113252
57,57,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.75,1.164964745021435
58,58,0.0,0.0,1.0,4.0,1.0,1.0,2.0,0.0,1.125,1.3562026818605375
59,59,0.0,3.0,3.0,3.0,0.0,1.0,6.0,2.0,2.25,1.9820624179302297
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,0.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,0.875,1.1259916264596033
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,1.0,0.0,5.0,0.0,2.0,1.0,2.0,2.0,1.625,1.5979898086569353
70,70,1.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,1.1952286093343936
71,71,,,,,,,,,,
72,72,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.875,1.1259916264596033
73,73,4.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.125,1.3562026818605375
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,3.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.3093073414159542
78,78,,,,,,,,,,
79,79,1.0,0.0,1.0,1.0,0.0,6.0,2.0,0.0,1.375,1.9955307206712847
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,2.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.875,0.8345229603962802
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.875,0.9910312089651149
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,0.0,1.0,2.0,0.0,4.0,2.0,1.0,0.0,1.25,1.3887301496588271
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,4.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.125,1.3562026818605375
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.5,0.7559289460184544
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.625,0.7440238091428449
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,1.0,1.0,0.0,2.0,0.0,1.0,3.0,1.0,1.125,0.9910312089651149
126,126,,,,,,,,,,
