,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,5.0,0.8333333333333334,2.041241452319315
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.3535533905932738
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.408248290463863
14,14,,16.0,36.0,,,0.0,0.0,0.0,10.4,15.899685531481433
15,15,117.0,26.0,0.0,16.0,4.0,1.0,33.0,0.0,24.625,39.41695610484692
16,16,,,,,,,,,,
17,17,57.0,11.0,33.0,20.0,0.0,0.0,74.0,0.0,24.375,28.23846161329817
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.7677669529663689
21,21,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.25,0.7071067811865476
22,22,1.0,1.0,0.0,6.0,0.0,3.0,0.0,0.0,1.375,2.1339098923270936
23,23,0.0,0.0,0.0,13.0,0.0,1.0,1.0,4.0,2.375,4.50198368975912
24,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.375,0.7440238091428449
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.625,12.682242929162243
28,28,40.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,5.75,13.864136673961553
29,29,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.875,1.246423454758225
30,30,1.0,1.0,0.0,15.0,0.0,2.0,0.0,0.0,2.375,5.1530157605591915
31,31,2.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,1.375,2.065879266282796
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,3.0,8.48528137423857
35,35,0.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,3.625,9.855201672213513
36,36,3.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0,1.375,1.7677669529663689
37,37,,,,,,,,,,
38,38,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.875,1.4577379737113252
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,1.0,0.0,9.0,0.0,1.0,25.0,0.0,0.0,4.5,8.831760866327848
42,42,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.625,1.0606601717798212
43,43,2.0,1.0,4.0,0.0,1.0,2.0,3.0,1.0,1.75,1.2817398889233114
44,44,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,1.927248223318863
