,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,1.0,0.0,,,0.0,,0.0,0.25,0.5
1,1,0.0,,0.0,,0.0,0.0,0.0,1.0,0.16666666666666666,0.408248290463863
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,1.0,0.0,0.25,0.5
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,1.0,2.138089935299395
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,4.0,0.0,16.0,4.0,0.0,14.0,6.333333333333333,6.97614984548545
14,14,,5.0,1.0,,,0.0,9.0,1.0,3.2,3.7682887362833544
15,15,9.0,15.0,0.0,4.0,53.0,21.0,3.0,57.0,20.25,22.518246569647214
16,16,,,,,,,,,,
17,17,10.0,8.0,1.0,1.0,0.0,4.0,6.0,8.0,4.75,3.8078865529319543
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,30.0,56.0,26.0,20.0,2.0,6.0,29.0,57.0,28.25,20.204313542268288
21,21,22.0,65.0,21.0,8.0,4.0,37.0,6.0,5.0,21.0,21.152507450148114
22,22,0.0,22.0,11.0,5.0,0.0,2.0,6.0,3.0,6.125,7.3569694847810805
23,23,3.0,1.0,20.0,8.0,12.0,6.0,5.0,8.0,7.875,5.938674695827104
24,24,4.0,0.0,2.0,2.0,3.0,13.0,12.0,15.0,6.375,5.926634795564849
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,15.0,2.0,3.0,1.0,1.0,1.0,10.0,2.0,4.375,5.2355242608275905
28,28,9.0,4.0,10.0,13.0,2.0,0.0,3.0,9.0,6.25,4.590362575159894
29,29,1.0,8.0,1.0,3.0,5.0,1.0,7.0,0.0,3.25,3.058944729337694
30,30,17.0,1.0,1.0,48.0,0.0,3.0,1.0,15.0,10.75,16.49891771342247
31,31,3.0,2.0,2.0,6.0,4.0,2.0,1.0,1.0,2.625,1.685018016012207
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,44.0,1.0,1.0,14.0,10.0,11.0,6.0,16.0,12.875,13.736681861768096
35,35,10.0,6.0,51.0,3.0,1.0,7.0,2.0,3.0,10.375,16.6813625685331
36,36,4.0,8.0,3.0,2.0,0.0,5.0,10.0,5.0,4.625,3.2043497223082786
37,37,,,,,,,,,,
38,38,5.0,15.0,34.0,1.0,5.0,7.0,17.0,1.0,10.625,11.134726887406933
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,7.0,6.0,7.0,1.0,0.0,3.0,3.0,0.0,3.375,2.9730936268953445
42,42,0.0,4.0,1.0,11.0,1.0,5.0,3.0,1.0,3.25,3.575711717366808
43,43,2.0,3.0,13.0,2.0,0.0,2.0,7.0,1.0,3.75,4.267819784654187
44,44,10.0,4.0,0.0,0.0,1.0,13.0,3.0,0.0,3.875,4.998213966722799
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,0.0,32.0,24.0,11.0,12.0,19.0,1.0,9.0,13.5,11.019463300386795
50,50,,,,,,,,,,
51,51,14.0,20.0,1.0,0.0,14.0,15.0,5.0,1.0,8.75,7.851296526234195
52,52,2.0,11.0,0.0,1.0,3.0,7.0,5.0,1.0,3.75,3.7321001364608946
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,3.0,0.0,3.0,3.0,7.0,2.0,0.0,0.0,2.25,2.3754698783308417
57,57,2.0,6.0,9.0,0.0,3.0,27.0,3.0,1.0,6.375,8.814557763803501
58,58,6.0,7.0,0.0,9.0,11.0,5.0,5.0,10.0,6.625,3.50255009141299
59,59,2.0,1.0,7.0,6.0,1.0,11.0,18.0,1.0,5.875,6.104740546727366
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,18.0,5.0,1.0,1.0,4.0,4.0,0.0,0.0,4.125,5.938674695827104
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,3.0,3.0,2.0,4.0,2.0,2.0,2.0,0.0,2.25,1.164964745021435
70,70,2.0,2.0,2.0,3.0,2.0,4.0,1.0,0.0,2.0,1.1952286093343936
71,71,,,,,,,,,,
72,72,14.0,1.0,0.0,1.0,1.0,13.0,4.0,0.0,4.25,5.849297882163783
73,73,2.0,13.0,0.0,6.0,1.0,27.0,0.0,2.0,6.375,9.395097505766353
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,11.0,0.0,2.0,0.0,10.0,3.0,0.0,4.0,3.75,4.432026302139591
78,78,,,,,,,,,,
79,79,0.0,0.0,2.0,2.0,1.0,3.0,3.0,6.0,2.125,1.9594095320493148
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,51.0,3.0,1.0,3.0,1.0,3.0,0.0,1.0,7.875,17.463737940576834
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,3.0,2.0,1.0,3.0,2.0,5.0,1.0,1.0,2.25,1.3887301496588271
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,3.0,1.0,0.0,3.0,2.0,5.0,2.0,0.0,2.0,1.6903085094570331
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,9.0,7.0,12.0,5.0,1.0,1.0,1.0,1.0,4.625,4.34042460069124
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,1.0,2.0,0.0,6.0,2.0,2.0,3.0,1.0,2.125,1.807721533549109
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,13.0,3.0,10.0,10.0,1.0,4.0,1.0,7.0,6.125,4.54933276112317
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,1.0,1.0,1.0,11.0,2.0,0.0,1.0,3.0,2.5,3.5456210417116734
126,126,,,,,,,,,,
127,127,,,,,,,,,,
128,128,,,,,,,,,,
129,129,,,,,,,,,,
130,130,,,,,,,,,,
131,131,,,,,,,,,,
132,132,,,,,,,,,,
133,133,4.0,10.0,3.0,4.0,17.0,0.0,4.0,15.0,7.125,6.151364540838538
134,134,,,,,,,,,,
135,135,,,,,,,,,,
136,136,,,,,,,,,,
137,137,,,,,,,,,,
138,138,,,,,,,,,,
139,139,25.0,2.0,2.0,24.0,5.0,1.0,2.0,5.0,8.25,10.138328969101087
140,140,,,,,,,,,,
141,141,,,,,,,,,,
142,142,,,,,,,,,,
143,143,,,,,,,,,,
144,144,,,,,,,,,,
145,145,,,,,,,,,,
