,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,8.0,0.0,0.0,9.0,0.0,0.0,2.125,3.943801646707328
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.125,0.3535533905932738
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,4.0,3.0,9.0,0.0,1.0,24.0,6.833333333333333,8.975893641675277
14,14,,14.0,2.0,,,2.0,14.0,2.0,6.8,6.572670690061993
15,15,8.0,16.0,1.0,0.0,42.0,29.0,1.0,91.0,23.5,31.144823004794873
16,16,,,,,,,,,,
17,17,4.0,4.0,1.0,1.0,1.0,2.0,5.0,14.0,4.0,4.342481186734475
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,5.0,65.0,3.0,17.0,3.0,11.0,10.0,20.0,16.75,20.4712341731374
21,21,11.0,68.0,17.0,5.0,5.0,23.0,6.0,4.0,17.375,21.546875809333873
22,22,0.0,24.0,5.0,3.0,1.0,7.0,5.0,2.0,5.875,7.679983258910325
23,23,0.0,0.0,6.0,1.0,4.0,20.0,8.0,5.0,5.5,6.546536707079771
24,24,2.0,0.0,1.0,1.0,3.0,29.0,16.0,7.0,7.375,10.18314433617773
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,12.0,5.0,0.0,0.0,0.0,13.0,2.0,0.0,4.0,5.529143565818179
28,28,8.0,4.0,7.0,2.0,3.0,3.0,1.0,4.0,4.0,2.390457218668787
29,29,2.0,7.0,1.0,1.0,3.0,4.0,6.0,2.0,3.25,2.2519832529192065
30,30,14.0,1.0,4.0,38.0,2.0,5.0,0.0,23.0,10.875,13.463575199138495
31,31,2.0,0.0,0.0,2.0,7.0,11.0,0.0,6.0,3.5,4.0708019567928595
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,67.0,3.0,6.0,6.0,13.0,5.0,7.0,51.0,19.75,24.766048188137383
35,35,39.0,3.0,51.0,1.0,0.0,3.0,5.0,15.0,14.625,19.56627930175499
36,36,16.0,2.0,2.0,0.0,2.0,5.0,8.0,5.0,5.0,5.0990195135927845
37,37,,,,,,,,,,
38,38,13.0,19.0,36.0,2.0,15.0,7.0,10.0,8.0,13.75,10.38886766825776
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,18.0,9.0,33.0,4.0,0.0,2.0,0.0,0.0,8.25,11.76860229593982
42,42,0.0,5.0,3.0,26.0,2.0,4.0,8.0,5.0,6.625,8.175529690135416
43,43,6.0,4.0,24.0,2.0,0.0,11.0,20.0,4.0,8.875,8.773946823245675
44,44,18.0,5.0,0.0,1.0,1.0,16.0,2.0,8.0,6.375,7.069805008424408
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,3.0,23.0,51.0,5.0,9.0,18.0,3.0,8.0,15.0,16.221678616680123
50,50,,,,,,,,,,
51,51,25.0,17.0,5.0,4.0,12.0,12.0,2.0,2.0,9.875,8.201698430377524
52,52,4.0,8.0,4.0,4.0,22.0,7.0,5.0,2.0,7.0,6.347102826149446
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,2.0,0.0,4.0,4.0,2.0,3.0,1.0,4.0,2.5,1.5118578920369088
57,57,3.0,10.0,13.0,2.0,5.0,17.0,6.0,4.0,7.5,5.31843156256751
58,58,5.0,24.0,3.0,9.0,14.0,12.0,4.0,23.0,11.75,8.207139748849343
59,59,2.0,7.0,3.0,2.0,6.0,9.0,15.0,7.0,6.375,4.34042460069124
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,9.0,1.0,4.0,4.0,6.0,2.0,8.0,5.0,4.875,2.748376143938713
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,1.0,1.0,4.0,11.0,1.0,13.0,3.0,0.0,4.25,4.978525312350464
70,70,3.0,1.0,8.0,8.0,2.0,4.0,3.0,6.0,4.375,2.669269563007828
71,71,,,,,,,,,,
72,72,23.0,0.0,2.0,6.0,14.0,16.0,7.0,4.0,9.0,7.91021039994693
73,73,3.0,2.0,1.0,25.0,7.0,37.0,2.0,6.0,10.375,13.287346289932065
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,23.0,1.0,6.0,3.0,13.0,13.0,2.0,4.0,8.125,7.605214376615936
78,78,,,,,,,,,,
79,79,6.0,3.0,5.0,4.0,8.0,1.0,7.0,18.0,6.5,5.154748157905347
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,41.0,11.0,1.0,6.0,1.0,2.0,1.0,0.0,7.875,13.88151391496722
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,1.0,0.0,3.0,6.0,4.0,3.0,1.0,7.0,3.125,2.4748737341529163
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,3.0,0.0,2.0,8.0,2.0,14.0,3.0,5.0,4.625,4.470139019889969
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,10.0,4.0,15.0,1.0,6.0,8.0,2.0,1.0,5.875,4.940720016932176
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,13.0,0.0,1.0,2.0,4.0,19.0,5.0,1.0,5.625,6.802048010919736
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,8.0,0.0,21.0,14.0,3.0,0.0,3.0,24.0,9.125,9.478358809112773
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,4.0,0.0,3.0,27.0,5.0,8.0,19.0,7.0,9.125,9.156379509079214
126,126,,,,,,,,,,
