,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.408248290463863
14,14,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
15,15,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.25,0.7071067811865476
16,16,,,,,,,,,,
17,17,3.0,1.0,6.0,3.0,1.0,0.0,2.0,1.0,2.125,1.8850918886280925
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,0.0,0.0,3.0,3.0,2.0,0.0,1.0,5.0,1.75,1.8322507626258087
21,21,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.75,1.0350983390135313
22,22,1.0,3.0,0.0,1.0,0.0,3.0,2.0,7.0,2.125,2.295181287579947
23,23,3.0,0.0,1.0,0.0,0.0,3.0,1.0,6.0,1.75,2.1213203435596424
24,24,0.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,1.125,2.03100960115899
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,5.0,3.0,3.0,11.0,1.0,10.0,5.0,5.0,5.375,3.4615231989895516
28,28,9.0,6.0,2.0,8.0,2.0,9.0,5.0,7.0,6.0,2.8284271247461903
29,29,5.0,0.0,1.0,1.0,5.0,4.0,10.0,1.0,3.375,3.3354160160315836
30,30,10.0,6.0,9.0,4.0,9.0,5.0,17.0,4.0,8.0,4.342481186734475
31,31,13.0,8.0,10.0,4.0,10.0,5.0,7.0,4.0,7.625,3.2486260832190936
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,2.0,3.0,0.0,0.0,4.0,0.0,5.0,2.0,2.0,1.927248223318863
35,35,10.0,22.0,4.0,8.0,11.0,0.0,11.0,7.0,9.125,6.424006315599102
36,36,14.0,24.0,2.0,7.0,3.0,0.0,6.0,5.0,7.625,7.836498853806736
37,37,,,,,,,,,,
38,38,8.0,14.0,4.0,6.0,10.0,2.0,11.0,9.0,8.0,3.8913824205360674
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,13.0,2.0,4.0,8.0,10.0,10.0,9.0,7.0,7.875,3.5228843701879127
42,42,8.0,4.0,4.0,5.0,7.0,5.0,6.0,2.0,5.125,1.8850918886280925
43,43,16.0,9.0,6.0,12.0,6.0,2.0,4.0,1.0,7.0,5.0990195135927845
44,44,5.0,3.0,5.0,0.0,8.0,3.0,11.0,2.0,4.625,3.50255009141299
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,7.0,5.0,9.0,10.0,9.0,2.0,12.0,11.0,8.125,3.313931631332013
50,50,,,,,,,,,,
51,51,8.0,7.0,6.0,6.0,5.0,7.0,3.0,6.0,6.0,1.5118578920369088
52,52,6.0,3.0,12.0,7.0,1.0,13.0,13.0,11.0,8.25,4.6827952580239325
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,9.0,5.0,7.0,7.0,3.0,7.0,5.0,8.0,6.375,1.9226098333849673
57,57,12.0,4.0,6.0,11.0,7.0,1.0,8.0,6.0,6.875,3.563204817496262
58,58,10.0,1.0,8.0,3.0,9.0,9.0,9.0,2.0,6.375,3.7008686239082538
59,59,13.0,16.0,13.0,5.0,8.0,5.0,5.0,7.0,9.0,4.375255094603872
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,4.0,6.0,6.0,24.0,6.0,7.0,11.0,8.0,9.0,6.391959234627741
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,15.0,0.0,10.0,6.0,2.0,6.0,13.0,6.0,7.25,5.1478150704935
70,70,13.0,10.0,2.0,0.0,5.0,8.0,15.0,3.0,7.0,5.398412465054624
71,71,,,,,,,,,,
72,72,7.0,13.0,10.0,3.0,1.0,5.0,7.0,2.0,6.0,4.105745103771404
73,73,15.0,6.0,11.0,4.0,6.0,7.0,16.0,5.0,8.75,4.652188425123938
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,17.0,10.0,7.0,7.0,6.0,7.0,10.0,3.0,8.375,4.138236339311712
78,78,,,,,,,,,,
79,79,12.0,9.0,6.0,6.0,4.0,9.0,2.0,3.0,6.375,3.420004177106889
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,11.0,8.0,15.0,1.0,6.0,4.0,2.0,1.0,6.0,5.0709255283711
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,11.0,3.0,14.0,3.0,0.0,8.0,11.0,3.0,6.625,5.040904113917888
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,5.0,14.0,4.0,4.0,3.0,0.0,10.0,2.0,5.25,4.5591352563522705
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,6.0,5.0,3.0,8.0,11.0,5.0,12.0,2.0,6.5,3.585685828003181
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,0.0,4.0,0.0,5.0,7.0,7.0,5.0,1.0,3.625,2.9246489410818914
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,4.0,8.0,4.0,6.0,0.0,9.0,7.0,5.0,5.375,2.8252686345094435
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,13.0,10.0,0.0,8.0,3.0,3.0,12.0,6.0,6.875,4.67325215607779
126,126,,,,,,,,,,
