,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,1.0,,0.0,0.25,0.5
1,1,0.0,,0.0,,0.0,0.0,0.0,1.0,0.16666666666666666,0.408248290463863
2,2,,0.0,0.0,,1.0,,0.0,0.0,0.2,0.44721359549995804
3,3,,0.0,0.0,,2.0,0.0,,,0.5,1.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,1.0,0.0,0.25,0.5
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0,1.8516401995451028
9,9,0.0,0.0,7.0,0.0,0.0,18.0,0.0,2.0,3.375,6.3905622377288305
10,10,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.25,2.815771906346718
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,14.0,0.0,14.0,1.0,1.0,12.0,7.0,6.985699678629192
14,14,,1.0,10.0,,,2.0,11.0,14.0,7.6,5.770615218501403
15,15,41.0,4.0,1.0,12.0,11.0,65.0,18.0,6.0,19.75,22.1278751158546
16,16,,,,,,,,,,
17,17,145.0,5.0,98.0,48.0,88.0,12.0,28.0,31.0,56.875,48.86259890170161
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,43.0,56.0,19.0,48.0,37.0,75.0,98.0,61.0,54.625,24.195262228083298
21,21,58.0,51.0,16.0,45.0,71.0,83.0,71.0,91.0,60.75,23.825256706756743
22,22,54.0,84.0,31.0,104.0,47.0,76.0,93.0,110.0,74.875,28.367171670285153
23,23,40.0,16.0,53.0,43.0,23.0,173.0,83.0,127.0,69.75,54.86281592689689
24,24,48.0,20.0,10.0,59.0,54.0,105.0,52.0,63.0,51.375,28.744875319661016
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,206.0,30.0,120.0,242.0,143.0,102.0,34.0,193.0,133.75,77.86939615242214
28,28,177.0,138.0,105.0,259.0,149.0,206.0,67.0,198.0,162.375,60.808687114354214
29,29,120.0,146.0,35.0,58.0,202.0,149.0,154.0,66.0,116.25,57.65599956391603
30,30,138.0,107.0,162.0,146.0,71.0,207.0,104.0,99.0,129.25,42.95429464641957
31,31,210.0,146.0,152.0,50.0,111.0,217.0,81.0,154.0,140.125,58.09705549460194
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,119.0,124.0,79.0,47.0,39.0,53.0,85.0,55.0,75.125,32.55078449789761
35,35,215.0,151.0,111.0,144.0,137.0,81.0,97.0,170.0,138.25,42.79102041984309
36,36,220.0,140.0,98.0,110.0,203.0,66.0,176.0,214.0,153.375,58.37058334469513
37,37,,,,,,,,,,
38,38,196.0,158.0,100.0,153.0,191.0,169.0,122.0,186.0,159.375,34.03333449932371
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,164.0,78.0,220.0,163.0,169.0,157.0,171.0,179.0,162.625,39.398830657049416
42,42,132.0,64.0,163.0,90.0,156.0,203.0,157.0,166.0,141.375,44.79138150518308
43,43,204.0,134.0,128.0,134.0,176.0,145.0,113.0,111.0,143.125,31.90359361755797
44,44,159.0,94.0,150.0,59.0,220.0,126.0,144.0,150.0,137.75,47.52367830881781
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,208.0,89.0,174.0,199.0,213.0,116.0,260.0,200.0,182.375,55.29385783507707
50,50,,,,,,,,,,
51,51,226.0,75.0,103.0,214.0,214.0,188.0,163.0,168.0,168.875,54.62714526679936
52,52,242.0,21.0,200.0,123.0,207.0,269.0,194.0,156.0,176.5,77.54998388136518
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,238.0,30.0,195.0,149.0,172.0,156.0,54.0,143.0,142.125,69.13638178061017
57,57,252.0,45.0,209.0,340.0,377.0,179.0,275.0,304.0,247.625,104.52332275621552
58,58,186.0,148.0,258.0,157.0,194.0,130.0,183.0,113.0,171.125,45.09810734071094
59,59,179.0,115.0,226.0,210.0,186.0,234.0,132.0,88.0,171.25,53.91726466143686
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,160.0,126.0,271.0,198.0,212.0,299.0,241.0,220.0,215.875,56.22769398995989
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,282.0,56.0,221.0,211.0,315.0,264.0,288.0,124.0,220.125,89.14103993111142
70,70,252.0,198.0,233.0,243.0,208.0,273.0,324.0,140.0,233.875,54.556491037141626
71,71,,,,,,,,,,
72,72,278.0,195.0,186.0,144.0,148.0,176.0,219.0,117.0,182.875,50.17807574742465
73,73,345.0,137.0,215.0,159.0,187.0,138.0,216.0,127.0,190.5,71.49025907672417
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,295.0,159.0,211.0,122.0,162.0,127.0,232.0,171.0,184.875,58.21005681397085
78,78,,,,,,,,,,
79,79,381.0,156.0,229.0,193.0,138.0,233.0,111.0,124.0,195.625,87.88293756063071
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,252.0,222.0,233.0,200.0,204.0,170.0,271.0,154.0,213.25,39.54292423611154
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,247.0,92.0,171.0,126.0,47.0,207.0,170.0,150.0,151.25,63.28563366650782
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,202.0,84.0,250.0,185.0,190.0,166.0,182.0,190.0,181.125,46.31395192441628
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,258.0,57.0,199.0,213.0,237.0,165.0,183.0,179.0,186.375,60.73581551040774
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,167.0,140.0,32.0,197.0,320.0,212.0,261.0,146.0,184.375,86.31327906444722
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,237.0,206.0,92.0,216.0,93.0,252.0,162.0,186.0,180.5,61.03394839876294
