,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,1.0,0.2,0.44721359549995804
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.25,0.7071067811865476
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.408248290463863
14,14,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
15,15,0.0,0.0,0.0,0.0,0.0,32.0,146.0,0.0,22.25,51.241027089070506
16,16,,,,,,,,,,
17,17,17.0,1.0,0.0,20.0,0.0,1.0,125.0,28.0,24.0,42.24418810406265
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.375,0.7440238091428449
21,21,3.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0690449676496976
22,22,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.875,0.8345229603962802
23,23,3.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.1952286093343936
24,24,0.0,2.0,0.0,0.0,0.0,7.0,0.0,1.0,1.25,2.434865792722759
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.5,0.9258200997725514
28,28,1.0,3.0,1.0,0.0,0.0,1.0,2.0,3.0,1.375,1.1877349391654208
29,29,0.0,2.0,2.0,0.0,1.0,4.0,4.0,1.0,1.75,1.5811388300841898
30,30,2.0,0.0,3.0,10.0,1.0,10.0,7.0,4.0,4.625,3.9256482631170977
31,31,2.0,1.0,2.0,13.0,1.0,2.0,0.0,2.0,2.875,4.155461122770509
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,9.0,3.0,2.0,1.0,0.0,0.0,4.0,7.0,3.25,3.2841611235921855
35,35,14.0,17.0,18.0,7.0,1.0,0.0,3.0,14.0,9.25,7.363035088486657
36,36,8.0,2.0,10.0,3.0,3.0,0.0,11.0,13.0,6.25,4.832922806867792
37,37,,,,,,,,,,
38,38,7.0,7.0,10.0,11.0,3.0,1.0,6.0,5.0,6.25,3.3273756282434617
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,1.0,1.0,9.0,7.0,1.0,0.0,3.0,2.0,3.0,3.251373336211726
42,42,1.0,0.0,10.0,3.0,5.0,0.0,3.0,5.0,3.375,3.3354160160315836
43,43,2.0,3.0,7.0,4.0,6.0,0.0,5.0,5.0,4.0,2.2677868380553634
44,44,3.0,1.0,3.0,3.0,1.0,1.0,6.0,4.0,2.75,1.7525491637693282
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,2.0,9.0,8.0,4.0,0.0,4.0,4.0,2.0,4.125,3.044315545875155
50,50,,,,,,,,,,
51,51,2.0,1.0,3.0,9.0,0.0,3.0,2.0,3.0,2.875,2.6958963523950885
52,52,3.0,4.0,5.0,3.0,1.0,2.0,8.0,1.0,3.375,2.326094212561969
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,4.0,6.0,5.0,1.0,2.0,5.0,3.0,6.0,4.0,1.8516401995451028
57,57,2.0,3.0,0.0,1.0,3.0,1.0,8.0,6.0,3.0,2.7255405754769875
58,58,5.0,2.0,4.0,0.0,3.0,0.0,5.0,1.0,2.5,2.0701966780270626
59,59,6.0,1.0,14.0,7.0,1.0,2.0,16.0,7.0,6.75,5.70087712549569
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,9.0,1.0,2.0,17.0,3.0,5.0,11.0,6.0,6.75,5.365231988061121
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,4.0,0.0,0.0,8.0,2.0,6.0,0.0,1.0,2.625,3.0676887530703447
70,70,4.0,6.0,3.0,4.0,0.0,1.0,3.0,3.0,3.0,1.8516401995451028
71,71,,,,,,,,,,
72,72,3.0,6.0,3.0,8.0,0.0,1.0,4.0,10.0,4.375,3.420004177106889
73,73,3.0,1.0,0.0,3.0,4.0,2.0,2.0,31.0,5.75,10.278271116430872
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,10.0,4.0,12.0,7.0,1.0,3.0,0.0,17.0,6.75,5.897941529526576
78,78,,,,,,,,,,
79,79,3.0,2.0,8.0,7.0,0.0,2.0,4.0,15.0,5.125,4.793969425970806
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,4.0,9.0,2.0,7.0,5.0,4.0,17.0,8.0,7.0,4.65985898008574
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,0.0,2.0,7.0,4.0,1.0,3.0,0.0,8.0,3.125,3.044315545875155
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,3.0,5.0,3.0,0.0,5.0,5.0,3.0,5.0,3.625,1.7677669529663689
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,0.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0690449676496976
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,0.0,0.0,0.0,1.0,3.0,4.0,2.0,3.0,1.625,1.5979898086569353
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,0.0,0.0,5.0,3.0,0.0,3.0,0.0,4.0,1.875,2.100170061141308
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,0.0,2.0,2.0,4.0,3.0,4.0,2.0,6.0,2.875,1.807721533549109
