,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,1.0,,,0.0,,0.0,0.25,0.5
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,2.0,0.0,,,0.5,1.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,1.25,2.187627547301936
9,9,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.625,1.407885953173359
10,10,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.5,0.9258200997725514
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,,0.0,0.0,,,0.0,2.0,2.0,0.8,1.0954451150103324
15,15,2.0,0.0,0.0,14.0,2.0,11.0,3.0,1.0,4.125,5.330170192940773
16,16,,,,,,,,,,
17,17,19.0,11.0,20.0,15.0,36.0,3.0,4.0,3.0,13.875,11.319231422671772
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,3.0,0.0,12.0,6.0,24.0,16.0,0.0,6.0,8.375,8.416607731995457
21,21,12.0,1.0,1.0,33.0,12.0,2.0,1.0,6.0,8.5,10.967484410096706
22,22,5.0,1.0,3.0,12.0,0.0,32.0,1.0,2.0,7.0,10.796824930109247
23,23,9.0,0.0,3.0,2.0,0.0,3.0,0.0,2.0,2.375,2.9730936268953445
24,24,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.75,1.164964745021435
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,0.0,0.0,2.0,13.0,6.0,0.0,0.0,5.0,3.25,4.621378891320518
28,28,10.0,7.0,0.0,6.0,4.0,8.0,1.0,3.0,4.875,3.48209706929603
29,29,8.0,2.0,3.0,6.0,8.0,2.0,3.0,0.0,4.0,2.9760952365713798
30,30,9.0,6.0,6.0,12.0,13.0,3.0,6.0,3.0,7.25,3.770183777256185
31,31,13.0,5.0,20.0,1.0,7.0,3.0,1.0,6.0,7.0,6.524678426668135
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,6.0,25.0,38.0,28.0,0.0,0.0,16.0,22.0,16.875,13.891801281948387
35,35,4.0,4.0,2.0,5.0,1.0,0.0,3.0,7.0,3.25,2.2519832529192065
36,36,12.0,2.0,6.0,6.0,1.0,0.0,6.0,0.0,4.125,4.155461122770509
37,37,,,,,,,,,,
38,38,4.0,8.0,3.0,6.0,2.0,2.0,2.0,5.0,4.0,2.2038926600773587
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,5.0,1.0,9.0,20.0,4.0,0.0,2.0,9.0,6.25,6.497252166438187
42,42,4.0,2.0,3.0,4.0,1.0,2.0,4.0,6.0,3.25,1.5811388300841898
43,43,10.0,4.0,2.0,11.0,2.0,3.0,5.0,2.0,4.875,3.6425069859723185
44,44,6.0,5.0,20.0,1.0,1.0,4.0,1.0,9.0,5.875,6.379375249303694
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,28.0,10.0,7.0,10.0,10.0,0.0,24.0,17.0,13.25,9.207915849187279
50,50,,,,,,,,,,
51,51,20.0,12.0,20.0,10.0,6.0,2.0,20.0,14.0,13.0,6.8452277432633934
52,52,5.0,5.0,18.0,10.0,13.0,12.0,7.0,19.0,11.125,5.436319658424385
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,5.0,23.0,14.0,5.0,11.0,17.0,6.0,7.0,11.0,6.568322247184371
57,57,14.0,13.0,6.0,7.0,7.0,2.0,8.0,5.0,7.75,3.9910614413425693
58,58,14.0,4.0,34.0,13.0,14.0,5.0,10.0,4.0,12.25,9.808888097755306
59,59,8.0,17.0,18.0,26.0,4.0,3.0,13.0,11.0,12.5,7.727501906456298
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,1.0,2.0,2.0,9.0,7.0,1.0,10.0,2.0,4.25,3.770183777256185
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,13.0,0.0,2.0,5.0,11.0,3.0,9.0,8.0,6.375,4.596194077712559
70,70,6.0,3.0,1.0,7.0,8.0,5.0,4.0,8.0,5.25,2.49284690951645
71,71,,,,,,,,,,
72,72,11.0,8.0,9.0,6.0,1.0,6.0,9.0,8.0,7.25,3.011881234615431
73,73,29.0,11.0,4.0,9.0,2.0,2.0,3.0,7.0,8.375,8.975164144937485
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,11.0,10.0,15.0,7.0,6.0,5.0,4.0,11.0,8.625,3.7392703642746747
78,78,,,,,,,,,,
79,79,14.0,5.0,10.0,11.0,3.0,8.0,64.0,5.0,15.0,20.128160798812623
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,8.0,9.0,33.0,3.0,4.0,5.0,63.0,25.0,18.75,20.92674297229675
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,8.0,11.0,22.0,2.0,1.0,8.0,19.0,8.0,9.875,7.395703385846986
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,6.0,10.0,17.0,2.0,5.0,3.0,16.0,7.0,8.25,5.650537269018887
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,4.0,12.0,7.0,18.0,8.0,9.0,10.0,5.0,9.125,4.421942042651783
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,1.0,11.0,8.0,8.0,8.0,16.0,10.0,7.0,8.625,4.2067123233504535
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,6.0,6.0,9.0,14.0,2.0,18.0,9.0,4.0,8.5,5.291502622129181
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,7.0,18.0,14.0,2.0,11.0,23.0,11.0,12.0,12.25,6.408699444616557
126,126,,,,,,,,,,
127,127,,,,,,,,,,
128,128,,,,,,,,,,
129,129,,,,,,,,,,
130,130,,,,,,,,,,
131,131,,,,,,,,,,
132,132,,,,,,,,,,
133,133,12.0,17.0,5.0,12.0,2.0,12.0,8.0,7.0,9.375,4.779046527738113
134,134,,,,,,,,,,
135,135,,,,,,,,,,
136,136,,,,,,,,,,
137,137,,,,,,,,,,
138,138,,,,,,,,,,
139,139,2.0,17.0,7.0,13.0,9.0,17.0,9.0,11.0,10.625,5.0691644845505435
140,140,,,,,,,,,,
141,141,,,,,,,,,,
142,142,,,,,,,,,,
143,143,,,,,,,,,,
144,144,,,,,,,,,,
145,145,,,,,,,,,,
146,146,,,,,,,,,,
147,147,4.0,39.0,18.0,4.0,8.0,11.0,12.0,16.0,14.0,11.301074538037774
148,148,,,,,,,,,,
149,149,,,,,,,,,,
150,150,,,,,,,,,,
151,151,,,,,,,,,,
152,152,,,,,,,,,,
153,153,7.0,9.0,14.0,14.0,43.0,20.0,9.0,17.0,16.625,11.525592640479957
154,154,,,,,,,,,,
155,155,,,,,,,,,,
156,156,,,,,,,,,,
157,157,,,,,,,,,,
158,158,,,,,,,,,,
159,159,,,,,,,,,,
160,160,,,,,,,,,,
161,161,2.0,8.0,12.0,2.0,11.0,5.0,10.0,9.0,7.375,3.9256482631170977
162,162,,,,,,,,,,
163,163,,,,,,,,,,
164,164,,,,,,,,,,
165,165,,,,,,,,,,
166,166,,,,,,,,,,
167,167,10.0,5.0,15.0,4.0,5.0,13.0,13.0,11.0,9.5,4.27617987059879
168,168,,,,,,,,,,
169,169,,,,,,,,,,
170,170,,,,,,,,,,
171,171,,,,,,,,,,
172,172,,,,,,,,,,
173,173,,,,,,,,,,
174,174,,,,,,,,,,
175,175,4.0,16.0,4.0,2.0,8.0,5.0,0.0,15.0,6.75,5.873670062235365
176,176,,,,,,,,,,
177,177,,,,,,,,,,
178,178,,,,,,,,,,
179,179,,,,,,,,,,
180,180,,,,,,,,,,
181,181,17.0,16.0,10.0,22.0,9.0,9.0,1.0,4.0,11.0,6.969320524371696
182,182,,,,,,,,,,
183,183,,,,,,,,,,
184,184,,,,,,,,,,
185,185,,,,,,,,,,
186,186,,,,,,,,,,
187,187,,,,,,,,,,
188,188,6.0,4.0,21.0,2.0,11.0,3.0,12.0,8.0,8.375,6.254998001598402
189,189,,,,,,,,,,
190,190,,,,,,,,,,
191,191,,,,,,,,,,
192,192,,,,,,,,,,
193,193,,,,,,,,,,
194,194,,,,,,,,,,
195,195,8.0,24.0,13.0,17.0,13.0,10.0,12.0,23.0,15.0,5.855400437691199
196,196,,,,,,,,,,
197,197,,,,,,,,,,
198,198,,,,,,,,,,
199,199,,,,,,,,,,
200,200,,,,,,,,,,
201,201,,,,,,,,,,
202,202,,,,,,,,,,
203,203,18.0,24.0,6.0,8.0,9.0,11.0,4.0,4.0,10.5,7.091242083423347
204,204,,,,,,,,,,
205,205,,,,,,,,,,
206,206,,,,,,,,,,
207,207,,,,,,,,,,
208,208,,,,,,,,,,
209,209,,,,,,,,,,
210,210,22.0,13.0,16.0,12.0,14.0,10.0,6.0,10.0,12.875,4.764076885549662
211,211,,,,,,,,,,
212,212,,,,,,,,,,
213,213,,,,,,,,,,
214,214,,,,,,,,,,
215,215,,,,,,,,,,
216,216,13.0,16.0,25.0,8.0,8.0,2.0,13.0,6.0,11.375,7.089982873241454
217,217,,,,,,,,,,
218,218,,,,,,,,,,
219,219,,,,,,,,,,
220,220,,,,,,,,,,
221,221,,,,,,,,,,
222,222,,,,,,,,,,
223,223,3.0,9.0,10.0,1.0,10.0,16.0,6.0,4.0,7.375,4.838461975226661
224,224,,,,,,,,,,
225,225,,,,,,,,,,
226,226,,,,,,,,,,
227,227,,,,,,,,,,
228,228,,,,,,,,,,
229,229,,,,,,,,,,
230,230,,,,,,,,,,
231,231,17.0,25.0,15.0,15.0,9.0,25.0,16.0,7.0,16.125,6.490377492873585
232,232,,,,,,,,,,
233,233,,,,,,,,,,
234,234,,,,,,,,,,
235,235,,,,,,,,,,
236,236,,,,,,,,,,
237,237,,,,,,,,,,
238,238,2.0,7.0,16.0,10.0,9.0,22.0,15.0,5.0,10.75,6.541078984824621
239,239,,,,,,,,,,
240,240,,,,,,,,,,
241,241,,,,,,,,,,
242,242,,,,,,,,,,
243,243,,,,,,,,,,
244,244,3.0,8.0,9.0,17.0,23.0,24.0,3.0,8.0,11.875,8.391109240482708
245,245,,,,,,,,,,
246,246,,,,,,,,,,
247,247,,,,,,,,,,
248,248,,,,,,,,,,
249,249,,,,,,,,,,
250,250,,,,,,,,,,
251,251,,,,,,,,,,
252,252,4.0,14.0,13.0,19.0,2.0,10.0,3.0,10.0,9.375,5.9985117201805025
253,253,,,,,,,,,,
254,254,,,,,,,,,,
255,255,,,,,,,,,,
256,256,,,,,,,,,,
257,257,,,,,,,,,,
258,258,,,,,,,,,,
259,259,4.0,11.0,25.0,11.0,11.0,1.0,6.0,8.0,9.625,7.20986427452992
260,260,,,,,,,,,,
261,261,,,,,,,,,,
262,262,,,,,,,,,,
263,263,,,,,,,,,,
264,264,,,,,,,,,,
265,265,,,,,,,,,,
266,266,,,,,,,,,,
267,267,11.0,14.0,28.0,14.0,11.0,1.0,8.0,11.0,12.25,7.592289321598403
268,268,,,,,,,,,,
269,269,,,,,,,,,,
270,270,,,,,,,,,,
271,271,,,,,,,,,,
272,272,,,,,,,,,,
273,273,,,,,,,,,,
274,274,8.0,13.0,19.0,12.0,17.0,6.0,,17.0,13.142857142857142,4.879500364742666
275,275,,,,,,,,,,
276,276,,,,,,,,,,
277,277,,,,,,,,,,
278,278,,,,,,,,,,
279,279,4.0,1.0,11.0,23.0,2.0,0.0,9.0,4.0,6.75,7.592289321598403
280,280,,,,,,,,,,
281,281,,,,,,,,,,
282,282,,,,,,,,,,
283,283,,,,,,,,,,
284,284,,,,,,,,,,
285,285,,,,,,,,,,
286,286,,,,,,,,,,
287,287,18.0,35.0,24.0,12.0,26.0,9.0,12.0,17.0,19.125,8.724964183307574
288,288,,,,,,,,,,
289,289,,,,,,,,,,
290,290,,,,,,,,,,
291,291,,,,,,,,,,
292,292,,,,,,,,,,
293,293,,,,,,,,,,
294,294,12.0,7.0,16.0,11.0,25.0,4.0,30.0,17.0,15.25,8.77903346453518
295,295,,,,,,,,,,
296,296,,,,,,,,,,
297,297,,,,,,,,,,
298,298,,,,,,,,,,
299,299,,,,,,,,,,
300,300,,,,,,,,,,
301,301,,,,,,,,,,
302,302,,,,,,,,,,
303,303,20.0,25.0,15.0,8.0,8.0,4.0,11.0,10.0,12.625,6.968039281503185
304,304,,,,,,,,,,
305,305,,,,,,,,,,
306,306,,,,,,,,,,
307,307,,,,,,,,,,
308,308,9.0,52.0,20.0,22.0,20.0,26.0,20.0,8.0,22.125,13.590306419335386
309,309,,,,,,,,,,
310,310,,,,,,,,,,
311,311,,,,,,,,,,
312,312,,,,,,,,,,
313,313,,,,,,,,,,
314,314,,,,,,,,,,
315,315,6.0,10.0,23.0,12.0,24.0,7.0,10.0,12.0,13.0,6.824326235712107
316,316,,,,,,,,,,
317,317,,,,,,,,,,
318,318,,,,,,,,,,
319,319,,,,,,,,,,
320,320,,,,,,,,,,
321,321,,,,,,,,,,
322,322,11.0,13.0,12.0,23.0,21.0,5.0,15.0,17.0,14.625,5.755432216610669
323,323,,,,,,,,,,
324,324,,,,,,,,,,
325,325,,,,,,,,,,
326,326,,,,,,,,,,
327,327,,,,,,,,,,
328,328,,,,,,,,,,
329,329,6.0,7.0,10.0,27.0,12.0,1.0,10.0,8.0,10.125,7.586407017064892
330,330,,,,,,,,,,
331,331,,,,,,,,,,
332,332,,,,,,,,,,
333,333,,,,,,,,,,
334,334,,,,,,,,,,
335,335,,,,,,,,,,
336,336,,,,,,,,,,
337,337,,,,,,,,,,
338,338,7.0,3.0,13.0,7.0,11.0,5.0,16.0,32.0,11.75,9.238892945431441
339,339,,,,,,,,,,
340,340,,,,,,,,,,
341,341,,,,,,,,,,
342,342,,,,,,,,,,
343,343,,,,,,,,,,
344,344,,,,,,,,,,
345,345,,,,,,,,,,
346,346,6.0,10.0,10.0,4.0,10.0,17.0,13.0,7.0,9.625,4.103569874424672
347,347,,,,,,,,,,
348,348,,,,,,,,,,
349,349,,,,,,,,,,
350,350,,,,,,,,,,
351,351,,,,,,,,,,
352,352,16.0,17.0,10.0,15.0,26.0,6.0,11.0,10.0,13.875,6.128096884724607
353,353,,,,,,,,,,
354,354,,,,,,,,,,
355,355,,,,,,,,,,
356,356,16.0,3.0,18.0,7.0,12.0,9.0,14.0,15.0,11.75,5.063877678504601
357,357,,,,,,,,,,
358,358,,,,,,,,,,
359,359,,,,,,,,,,
360,360,,,,,,,,,,
361,361,,,,,,,,,,
362,362,,,,,,,,,,
363,363,2.0,10.0,4.0,3.0,8.0,2.0,7.0,10.0,5.75,3.4121631178560534
364,364,,,,,,,,,,
365,365,,,,,,,,,,
366,366,,,,,,,,,,
367,367,,,,,,,,,,
368,368,,,,,,,,,,
369,369,,,,,,,,,,
370,370,,,,,,,,,,
