,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,2.0,0.5,1.0
1,1,0.0,,0.0,,0.0,1.0,0.0,1.0,0.3333333333333333,0.5163977794943223
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,2.0,0.0,,,0.5,1.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
9,9,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,4.0,11.313708498984761
10,10,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.125,3.181980515339464
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,0.0,0.0,0.0,4.0,0.6666666666666666,1.632993161855452
14,14,,0.0,0.0,,,0.0,4.0,0.0,0.8,1.7888543819998322
15,15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.25,0.4629100498862757
16,16,,,,,,,,,,
17,17,6.0,5.0,8.0,6.0,7.0,0.0,5.0,2.0,4.875,2.6423744732991303
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,0.0,2.0,15.0,22.0,7.0,4.0,104.0,106.0,32.5,45.32422877761644
21,21,1.0,0.0,6.0,7.0,1.0,31.0,114.0,81.0,30.125,43.662463447287465
22,22,0.0,4.0,5.0,22.0,1.0,11.0,118.0,17.0,22.25,39.459744405804614
23,23,2.0,6.0,38.0,55.0,3.0,38.0,145.0,39.0,40.75,46.63459782485225
24,24,44.0,6.0,20.0,73.0,2.0,56.0,114.0,17.0,41.5,38.44848130012048
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,29.0,28.0,32.0,67.0,6.0,94.0,9.0,35.0,37.5,29.437585304698967
28,28,64.0,37.0,63.0,136.0,61.0,18.0,28.0,106.0,64.125,39.81901017640408
29,29,44.0,94.0,18.0,34.0,34.0,40.0,48.0,27.0,42.375,22.915606036061973
30,30,39.0,44.0,17.0,28.0,30.0,45.0,14.0,86.0,37.875,22.585946958230465
31,31,75.0,31.0,7.0,31.0,53.0,45.0,8.0,70.0,40.0,25.618073976895968
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,97.0,41.0,37.0,67.0,65.0,3.0,22.0,44.0,47.0,29.1057186329913
35,35,93.0,21.0,19.0,17.0,7.0,7.0,51.0,51.0,33.25,29.750150059645556
36,36,79.0,79.0,98.0,23.0,28.0,6.0,32.0,73.0,52.25,33.6950611048139
37,37,,,,,,,,,,
38,38,107.0,128.0,65.0,26.0,47.0,10.0,82.0,78.0,67.875,39.632012673739254
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,61.0,32.0,24.0,10.0,24.0,6.0,29.0,14.0,25.0,17.196345126633325
42,42,13.0,41.0,9.0,19.0,12.0,22.0,25.0,22.0,20.375,10.056092680559383
43,43,38.0,61.0,16.0,17.0,3.0,35.0,22.0,9.0,25.125,18.74214121019413
44,44,76.0,21.0,8.0,7.0,24.0,35.0,17.0,25.0,26.625,21.95409171104883
45,45,,,,,,,,,,
46,46,,,,,,,,,,
