,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,1.0,0.0,,,0.25,0.5
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.75,2.1213203435596424
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,0.0,0.0,0.0,3.0,0.5,1.224744871391589
14,14,,0.0,0.0,,,0.0,1.0,0.0,0.2,0.44721359549995804
15,15,4.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.4142135623730951
16,16,,,,,,,,,,
17,17,8.0,0.0,1.0,21.0,17.0,1.0,0.0,0.0,6.0,8.518886580500327
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,1.0,2.0,0.0,4.0,1.0,0.0,1.0,33.0,5.25,11.285262197093289
21,21,3.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.125,1.8850918886280925
22,22,3.0,2.0,1.0,0.0,0.0,41.0,1.0,9.0,7.125,13.994259026982663
23,23,1.0,0.0,0.0,0.0,2.0,30.0,3.0,9.0,5.625,10.294762884940228
24,24,0.0,0.0,0.0,4.0,2.0,29.0,3.0,0.0,4.75,9.924716620639604
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,0.0,1.0,1.0,28.0,7.0,51.0,2.0,3.0,11.625,18.392059622099346
28,28,3.0,0.0,8.0,47.0,9.0,53.0,2.0,2.0,15.5,21.573793626262663
29,29,3.0,0.0,0.0,16.0,14.0,52.0,2.0,5.0,11.5,17.468338705866028
30,30,10.0,2.0,25.0,38.0,21.0,41.0,17.0,16.0,21.25,13.24224840641282
31,31,27.0,2.0,46.0,5.0,36.0,63.0,15.0,30.0,28.0,20.67434573157205
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,38.0,26.0,38.0,16.0,13.0,0.0,30.0,29.0,23.75,13.188198187340506
35,35,53.0,49.0,31.0,37.0,31.0,3.0,49.0,59.0,39.0,17.82454166912254
36,36,67.0,27.0,32.0,30.0,29.0,1.0,60.0,51.0,37.125,21.243066095619465
37,37,,,,,,,,,,
38,38,62.0,19.0,34.0,88.0,25.0,6.0,51.0,49.0,41.75,26.250170067476297
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,43.0,6.0,43.0,68.0,51.0,9.0,63.0,45.0,41.0,22.633729570835524
42,42,45.0,13.0,36.0,47.0,30.0,19.0,46.0,36.0,34.0,12.671678206592393
43,43,74.0,5.0,36.0,56.0,37.0,38.0,53.0,21.0,40.0,21.36753211232941
44,44,44.0,20.0,47.0,26.0,48.0,38.0,61.0,41.0,40.625,12.916628264151823
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,34.0,3.0,17.0,32.0,26.0,35.0,28.0,37.0,26.5,11.426785574754984
50,50,,,,,,,,,,
51,51,49.0,5.0,33.0,41.0,43.0,43.0,52.0,30.0,37.0,14.861263164924537
52,52,67.0,0.0,41.0,26.0,52.0,90.0,57.0,47.0,47.5,26.880688766685807
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,75.0,5.0,44.0,54.0,49.0,66.0,43.0,35.0,46.375,21.138573407736995
57,57,72.0,1.0,33.0,61.0,52.0,43.0,61.0,68.0,48.875,23.246735561917383
58,58,51.0,49.0,75.0,44.0,39.0,56.0,56.0,28.0,49.75,13.833189901723422
59,59,97.0,2.0,64.0,73.0,48.0,45.0,46.0,61.0,54.5,27.365254299149914
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,48.0,6.0,27.0,95.0,19.0,48.0,28.0,32.0,37.875,26.96790420375408
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,78.0,1.0,23.0,31.0,28.0,46.0,37.0,39.0,35.375,21.888924139847532
70,70,88.0,31.0,15.0,48.0,27.0,35.0,51.0,32.0,40.875,22.190329296468636
71,71,,,,,,,,,,
72,72,42.0,41.0,42.0,50.0,20.0,53.0,40.0,51.0,42.375,10.377688980280174
73,73,32.0,34.0,20.0,52.0,68.0,38.0,36.0,36.0,39.5,14.451890632617687
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,32.0,39.0,45.0,56.0,53.0,72.0,44.0,56.0,49.625,12.362818679989031
78,78,,,,,,,,,,
79,79,29.0,40.0,37.0,29.0,43.0,31.0,18.0,34.0,32.625,7.799954212319821
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,14.0,50.0,39.0,27.0,39.0,56.0,4.0,32.0,32.625,17.435083677950697
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,68.0,9.0,43.0,30.0,1.0,36.0,40.0,42.0,33.625,20.94167069334659
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,31.0,13.0,30.0,28.0,35.0,18.0,48.0,45.0,31.0,11.976166808648392
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,30.0,10.0,42.0,33.0,28.0,45.0,53.0,47.0,36.0,13.690455486526787
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,4.0,1.0,9.0,10.0,35.0,44.0,45.0,13.0,20.125,18.177203148056478
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,74.0,5.0,23.0,19.0,4.0,21.0,50.0,43.0,29.875,24.073918904668833
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,49.0,8.0,16.0,20.0,55.0,39.0,33.0,31.0,31.375,16.221128197508335
126,126,,,,,,,,,,
127,127,,,,,,,,,,
