,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,3.0,0.0,,,0.75,1.5
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,1.0,0.0,0.25,0.5
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.25,0.4629100498862757
9,9,0.0,0.0,3.0,0.0,0.0,34.0,0.0,0.0,4.625,11.915625995185602
10,10,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,1.875,4.911720676097125
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,0.0,1.0,0.0,5.0,1.0,2.0
14,14,,0.0,1.0,,,0.0,8.0,0.0,1.8,3.4928498393145966
15,15,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.75,1.7525491637693282
16,16,,,,,,,,,,
17,17,55.0,0.0,34.0,6.0,17.0,1.0,23.0,3.0,17.375,19.382890098523195
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,2.0,14.0,4.0,6.0,2.0,5.0,41.0,35.0,13.625,15.592466129512676
21,21,3.0,29.0,0.0,2.0,11.0,4.0,28.0,116.0,24.125,38.8676784561598
22,22,4.0,22.0,6.0,1.0,1.0,5.0,11.0,62.0,14.0,20.56349053193895
23,23,2.0,4.0,2.0,0.0,0.0,56.0,29.0,42.0,16.875,22.318714120665643
24,24,1.0,0.0,0.0,0.0,4.0,10.0,15.0,13.0,5.375,6.323143431644016
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,3.0,0.0,0.0,13.0,11.0,21.0,0.0,3.0,6.375,7.781617532915083
28,28,17.0,0.0,1.0,56.0,14.0,69.0,0.0,64.0,27.625,30.175380220116057
29,29,13.0,2.0,1.0,17.0,37.0,28.0,0.0,1.0,12.375,14.101038462265313
30,30,30.0,2.0,0.0,13.0,12.0,51.0,1.0,15.0,15.5,17.410998166183845
31,31,114.0,6.0,1.0,4.0,34.0,41.0,3.0,19.0,27.75,37.97649649078079
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,12.0,7.0,3.0,9.0,2.0,4.0,27.0,16.0,10.0,8.34950811211569
35,35,54.0,34.0,15.0,23.0,52.0,0.0,61.0,88.0,40.875,28.357097876898475
36,36,84.0,104.0,24.0,37.0,91.0,4.0,32.0,95.0,58.875,38.605837826496064
37,37,,,,,,,,,,
38,38,96.0,97.0,20.0,84.0,78.0,26.0,77.0,118.0,74.5,34.41760346932117
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,36.0,5.0,35.0,68.0,104.0,26.0,50.0,36.0,45.0,29.899832775452108
42,42,24.0,2.0,26.0,18.0,87.0,99.0,16.0,12.0,35.5,36.38681079732051
43,43,74.0,7.0,13.0,27.0,93.0,24.0,17.0,1.0,32.0,33.265168398362704
44,44,41.0,5.0,18.0,20.0,113.0,5.0,52.0,7.0,32.625,36.76542436272739
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,74.0,9.0,23.0,108.0,29.0,26.0,39.0,50.0,44.75,32.22133277371198
50,50,,,,,,,,,,
51,51,30.0,3.0,28.0,132.0,53.0,27.0,7.0,40.0,40.0,40.539222629801024
52,52,171.0,1.0,56.0,116.0,66.0,48.0,22.0,67.0,68.375,53.540205186649885
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,36.0,48.0,36.0,125.0,72.0,39.0,11.0,36.0,50.375,34.52095636814584
57,57,87.0,13.0,12.0,174.0,23.0,7.0,76.0,21.0,51.625,58.10320251808107
58,58,27.0,10.0,12.0,23.0,38.0,31.0,24.0,9.0,21.75,10.552589391099366
59,59,80.0,35.0,7.0,56.0,20.0,5.0,15.0,42.0,32.5,26.115129714401192
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,48.0,34.0,13.0,114.0,36.0,24.0,85.0,52.0,50.75,33.42689250973149
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,59.0,5.0,18.0,19.0,103.0,20.0,1.0,124.0,43.625,46.830812506297605
70,70,129.0,65.0,13.0,53.0,58.0,40.0,13.0,137.0,63.5,47.03797857658669
71,71,,,,,,,,,,
72,72,60.0,61.0,39.0,103.0,19.0,15.0,59.0,117.0,59.125,36.33352446432908
73,73,75.0,24.0,77.0,58.0,153.0,22.0,41.0,104.0,69.25,43.94720859004748
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,89.0,43.0,67.0,62.0,50.0,33.0,52.0,83.0,59.875,19.290541723860425
78,78,,,,,,,,,,
79,79,79.0,30.0,59.0,82.0,189.0,44.0,10.0,19.0,64.0,56.941072296591976
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,60.0,39.0,12.0,27.0,97.0,24.0,4.0,82.0,43.125,33.46826855396018
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,90.0,65.0,58.0,20.0,8.0,25.0,16.0,79.0,45.125,31.58859423453797
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,137.0,20.0,69.0,65.0,86.0,75.0,85.0,70.0,75.875,32.17113835190081
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,62.0,27.0,27.0,73.0,89.0,46.0,36.0,86.0,55.75,25.341947157120458
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,23.0,15.0,5.0,21.0,56.0,51.0,15.0,5.0,23.875,19.445436482630058
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,25.0,89.0,16.0,58.0,69.0,113.0,50.0,30.0,56.25,33.34559298360986
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,37.0,46.0,5.0,62.0,24.0,34.0,32.0,47.0,35.875,16.999474781802608
126,126,,,,,,,,,,
127,127,,,,,,,,,,
