,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,,,,,,,,,,
17,17,4.0,0.0,4.0,1.0,1.0,0.0,7.0,0.0,2.125,2.5877458475338284
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,0.0,0.0,1.0,2.0,0.0,1.0,3.0,6.0,1.625,2.065879266282796
21,21,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.875,1.1259916264596033
22,22,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.75,1.0350983390135313
23,23,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.875,1.3562026818605375
24,24,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.75,1.7525491637693282
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,0.0,0.0,0.0,8.0,1.0,3.0,1.0,1.0,1.75,2.712405363721075
28,28,3.0,0.0,1.0,6.0,4.0,9.0,0.0,1.0,3.0,3.2071349029490928
29,29,2.0,0.0,0.0,1.0,5.0,15.0,1.0,1.0,3.125,5.055054048036621
30,30,8.0,0.0,0.0,0.0,2.0,12.0,7.0,1.0,3.75,4.621378891320518
31,31,2.0,1.0,3.0,2.0,8.0,11.0,0.0,0.0,3.375,3.9977672339873487
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,3.0,5.0,1.0,3.0,5.0,0.0,3.0,1.0,2.625,1.8468119248354136
35,35,11.0,8.0,4.0,4.0,11.0,0.0,16.0,2.0,7.0,5.42481072744215
36,36,12.0,4.0,3.0,6.0,11.0,0.0,12.0,9.0,7.125,4.54933276112317
37,37,,,,,,,,,,
38,38,13.0,5.0,1.0,3.0,5.0,0.0,12.0,17.0,7.0,6.2105900340811875
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,13.0,1.0,13.0,10.0,6.0,0.0,11.0,9.0,7.875,5.0832357523811265
42,42,14.0,3.0,9.0,9.0,5.0,2.0,7.0,8.0,7.125,3.833592123769634
43,43,24.0,0.0,3.0,10.0,6.0,4.0,14.0,3.0,8.0,7.837638128197259
44,44,6.0,3.0,10.0,4.0,8.0,5.0,13.0,13.0,7.75,3.9188190640986296
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,9.0,0.0,6.0,10.0,2.0,5.0,13.0,13.0,7.25,4.832922806867792
50,50,,,,,,,,,,
51,51,9.0,0.0,7.0,6.0,6.0,5.0,3.0,10.0,5.75,3.1959796173138706
52,52,6.0,0.0,8.0,6.0,6.0,14.0,12.0,14.0,8.25,4.832922806867792
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,24.0,0.0,10.0,11.0,15.0,10.0,5.0,18.0,11.625,7.46300399111702
57,57,10.0,0.0,6.0,11.0,6.0,3.0,19.0,20.0,9.375,7.170126518110701
58,58,7.0,6.0,15.0,3.0,6.0,8.0,9.0,8.0,7.75,3.453776401067595
59,59,16.0,1.0,13.0,8.0,8.0,7.0,19.0,12.0,10.5,5.68205194324324
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,8.0,3.0,5.0,6.0,2.0,9.0,9.0,11.0,6.625,3.1594529363709247
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,16.0,0.0,8.0,5.0,7.0,9.0,18.0,7.0,8.75,5.800246300189083
70,70,10.0,10.0,10.0,10.0,10.0,11.0,23.0,16.0,12.5,4.7207747548166585
71,71,,,,,,,,,,
72,72,15.0,11.0,7.0,10.0,3.0,6.0,19.0,8.0,9.875,5.139135558215436
73,73,19.0,8.0,10.0,11.0,21.0,7.0,10.0,8.0,11.75,5.284748946598261
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,9.0,7.0,12.0,18.0,14.0,12.0,12.0,4.0,11.0,4.3094580368566735
78,78,,,,,,,,,,
79,79,12.0,5.0,13.0,15.0,13.0,24.0,3.0,5.0,11.25,6.860862086606068
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,6.0,13.0,15.0,14.0,7.0,21.0,3.0,5.0,10.5,6.187545093630776
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,7.0,4.0,5.0,10.0,1.0,11.0,5.0,4.0,5.875,3.313931631332013
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,7.0,0.0,6.0,14.0,10.0,3.0,13.0,8.0,7.625,4.749060057376767
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,9.0,3.0,3.0,11.0,1.0,7.0,16.0,4.0,6.75,5.035587637718447
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,3.0,3.0,4.0,5.0,17.0,17.0,11.0,3.0,7.875,6.2206453500765155
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,17.0,10.0,12.0,8.0,1.0,8.0,20.0,10.0,10.75,5.8248237251071755
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,21.0,7.0,3.0,11.0,6.0,5.0,5.0,17.0,9.375,6.4572771793867245
126,126,,,,,,,,,,
127,127,,,,,,,,,,
