,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.3535533905932738
9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,0.0,0.0,0.0,3.0,0.5,1.224744871391589
14,14,,0.0,28.0,,,0.0,0.0,1.0,5.8,12.417729261020309
15,15,41.0,0.0,1.0,20.0,2.0,0.0,3.0,0.0,8.375,14.802871343087462
16,16,,,,,,,,,,
17,17,19.0,0.0,17.0,22.0,6.0,2.0,30.0,20.0,14.5,10.63686312513502
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,1.0,4.0,1.0,10.0,8.0,5.0,10.0,5.0,5.5,3.585685828003181
21,21,2.0,4.0,1.0,8.0,2.0,3.0,5.0,8.0,4.125,2.6958963523950885
22,22,3.0,4.0,4.0,9.0,2.0,17.0,11.0,12.0,7.75,5.338539126015656
23,23,1.0,3.0,0.0,4.0,1.0,5.0,13.0,7.0,4.25,4.234214381508266
24,24,5.0,1.0,0.0,21.0,7.0,9.0,4.0,3.0,6.25,6.649382355849731
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,1.0,0.0,3.0,8.0,14.0,1.0,2.0,12.0,5.125,5.462534733462636
28,28,22.0,5.0,6.0,12.0,13.0,10.0,1.0,14.0,10.375,6.4793628434548145
29,29,4.0,6.0,2.0,3.0,5.0,8.0,5.0,4.0,4.625,1.8468119248354136
30,30,8.0,10.0,7.0,14.0,11.0,12.0,15.0,7.0,10.5,3.070597894314954
31,31,9.0,2.0,5.0,1.0,10.0,9.0,5.0,9.0,6.25,3.494894235064305
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,25.0,20.0,23.0,25.0,10.0,6.0,21.0,15.0,18.125,7.100050301632678
35,35,11.0,12.0,6.0,12.0,8.0,7.0,15.0,17.0,11.0,3.854496446637726
36,36,24.0,22.0,15.0,11.0,9.0,2.0,11.0,12.0,13.25,7.086203900134804
37,37,,,,,,,,,,
38,38,14.0,10.0,11.0,10.0,8.0,10.0,7.0,7.0,9.625,2.326094212561969
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,5.0,3.0,5.0,9.0,6.0,4.0,10.0,8.0,6.25,2.49284690951645
42,42,7.0,4.0,7.0,11.0,14.0,8.0,14.0,13.0,9.75,3.770183777256185
43,43,12.0,5.0,5.0,6.0,9.0,12.0,8.0,5.0,7.75,3.011881234615431
44,44,10.0,8.0,10.0,10.0,18.0,7.0,12.0,8.0,10.375,3.4615231989895516
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,20.0,3.0,7.0,20.0,7.0,6.0,10.0,13.0,10.75,6.408699444616557
50,50,,,,,,,,,,
51,51,8.0,2.0,7.0,18.0,25.0,8.0,17.0,10.0,11.875,7.472568883207817
52,52,10.0,1.0,10.0,6.0,11.0,14.0,18.0,8.0,9.75,5.092010548749033
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,14.0,13.0,11.0,10.0,9.0,7.0,9.0,6.0,9.875,2.748376143938713
57,57,20.0,4.0,2.0,13.0,12.0,7.0,19.0,14.0,11.375,6.588680769753099
58,58,10.0,9.0,12.0,16.0,7.0,8.0,8.0,4.0,9.25,3.575711717366808
59,59,12.0,4.0,14.0,26.0,8.0,8.0,15.0,15.0,12.75,6.649382355849731
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,8.0,1.0,6.0,23.0,10.0,5.0,6.0,11.0,8.75,6.541078984824621
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,16.0,0.0,4.0,7.0,10.0,10.0,9.0,10.0,8.25,4.743416490252569
70,70,7.0,5.0,2.0,7.0,11.0,5.0,16.0,11.0,8.0,4.44007721940573
71,71,,,,,,,,,,
72,72,8.0,10.0,9.0,3.0,10.0,10.0,7.0,6.0,7.875,2.4748737341529163
73,73,12.0,8.0,6.0,8.0,17.0,10.0,8.0,14.0,10.375,3.7008686239082538
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,11.0,6.0,17.0,10.0,8.0,13.0,10.0,9.0,10.5,3.3380918415851206
78,78,,,,,,,,,,
79,79,12.0,6.0,5.0,12.0,9.0,10.0,13.0,6.0,9.125,3.1367635732209265
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,6.0,9.0,8.0,13.0,10.0,6.0,3.0,6.0,7.625,3.0676887530703447
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,16.0,5.0,14.0,17.0,5.0,8.0,6.0,9.0,10.0,4.956957592256421
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,6.0,9.0,10.0,5.0,7.0,5.0,8.0,10.0,7.5,2.0701966780270626
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,12.0,3.0,10.0,11.0,8.0,14.0,12.0,8.0,9.75,3.4121631178560534
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,9.0,15.0,2.0,10.0,11.0,8.0,14.0,9.0,9.75,3.9910614413425693
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,11.0,7.0,3.0,4.0,8.0,3.0,9.0,7.0,6.5,2.9277002188455996
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,19.0,9.0,15.0,8.0,4.0,6.0,8.0,9.0,9.75,4.891683905218266
126,126,,,,,,,,,,
