,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,2.0,0.0,,,0.5,1.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,1.0,0.0,0.25,0.5
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,2.0,5.264435935053794
10,10,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.875,2.100170061141308
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.408248290463863
14,14,,0.0,0.0,,,0.0,3.0,0.0,0.6,1.3416407864998738
15,15,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.375,0.7440238091428449
16,16,,,,,,,,,,
17,17,23.0,0.0,25.0,8.0,8.0,0.0,8.0,5.0,9.625,9.48589177975075
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,2.0,27.0,2.0,4.0,1.0,4.0,28.0,19.0,10.875,11.764808297873547
21,21,2.0,20.0,1.0,0.0,5.0,4.0,14.0,64.0,13.75,21.46591983320804
22,22,3.0,20.0,2.0,0.0,1.0,5.0,8.0,28.0,8.375,10.18314433617773
23,23,4.0,1.0,0.0,0.0,1.0,31.0,13.0,32.0,10.25,13.791819521523827
24,24,3.0,0.0,1.0,2.0,4.0,4.0,10.0,8.0,4.0,3.4226138716316967
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,0.0,0.0,0.0,5.0,9.0,11.0,0.0,4.0,3.625,4.438065859293728
28,28,14.0,0.0,0.0,30.0,13.0,40.0,1.0,47.0,18.125,18.696351821373373
29,29,9.0,0.0,0.0,6.0,17.0,18.0,0.0,3.0,6.625,7.44383733605956
30,30,36.0,2.0,0.0,12.0,15.0,27.0,3.0,13.0,13.5,12.637811745483699
31,31,70.0,3.0,0.0,7.0,12.0,26.0,2.0,15.0,16.875,23.080217255724186
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,15.0,3.0,2.0,4.0,6.0,2.0,18.0,8.0,7.25,6.112048990080401
35,35,32.0,19.0,5.0,13.0,45.0,1.0,51.0,49.0,26.875,20.102860492974624
36,36,62.0,69.0,15.0,22.0,68.0,3.0,20.0,81.0,42.5,30.37386094278152
37,37,,,,,,,,,,
38,38,51.0,48.0,9.0,39.0,52.0,20.0,48.0,89.0,44.5,23.886637029339827
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,19.0,5.0,13.0,42.0,79.0,24.0,43.0,16.0,30.125,23.847356846649244
42,42,21.0,2.0,19.0,15.0,52.0,62.0,13.0,21.0,25.625,20.479519386101675
43,43,62.0,6.0,10.0,27.0,57.0,13.0,9.0,5.0,23.625,23.20060036169015
44,44,17.0,3.0,4.0,12.0,77.0,13.0,38.0,13.0,22.125,24.648601814881335
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,39.0,0.0,18.0,51.0,11.0,14.0,22.0,35.0,23.75,16.731066057743345
50,50,,,,,,,,,,
51,51,27.0,3.0,18.0,63.0,28.0,13.0,6.0,17.0,21.875,18.825799167252217
52,52,98.0,1.0,38.0,80.0,33.0,26.0,12.0,26.0,39.25,33.18670129520472
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,22.0,23.0,28.0,94.0,42.0,29.0,8.0,20.0,33.25,26.342524014007683
57,57,73.0,5.0,3.0,98.0,5.0,7.0,52.0,8.0,31.375,37.67127552924111
58,58,22.0,13.0,14.0,28.0,27.0,8.0,8.0,7.0,15.875,8.6427095619041
59,59,43.0,22.0,11.0,49.0,10.0,4.0,5.0,26.0,21.25,17.15267575960922
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,37.0,28.0,11.0,81.0,19.0,19.0,56.0,25.0,34.5,23.287028884890283
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,40.0,2.0,7.0,24.0,64.0,13.0,3.0,91.0,30.5,32.386064022309704
70,70,96.0,38.0,8.0,33.0,49.0,26.0,11.0,72.0,41.625,30.080546632571117
71,71,,,,,,,,,,
72,72,49.0,32.0,18.0,79.0,5.0,10.0,36.0,73.0,37.75,27.618575529627055
73,73,62.0,13.0,42.0,22.0,94.0,15.0,31.0,76.0,44.375,30.013984835644294
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,59.0,23.0,51.0,47.0,41.0,19.0,27.0,45.0,39.0,14.382529084175108
78,78,,,,,,,,,,
79,79,69.0,21.0,43.0,45.0,135.0,32.0,8.0,15.0,46.0,40.85864133116239
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,42.0,34.0,8.0,19.0,60.0,21.0,6.0,60.0,31.25,21.412613105363857
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,67.0,46.0,30.0,14.0,7.0,10.0,13.0,45.0,29.0,21.76497842209557
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,84.0,24.0,57.0,46.0,49.0,37.0,49.0,56.0,50.25,17.334935823359714
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,37.0,22.0,16.0,46.0,55.0,22.0,27.0,46.0,33.875,14.136452373714054
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,11.0,8.0,5.0,16.0,39.0,41.0,12.0,5.0,17.125,14.593907730869853
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,16.0,44.0,15.0,34.0,33.0,83.0,26.0,16.0,33.375,22.589109259615732
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,23.0,24.0,6.0,41.0,16.0,8.0,15.0,29.0,20.25,11.510864433221338
126,126,,,,,,,,,,
