,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,1.0,0.0,,,0.0,,2.0,0.75,0.9574271077563381
1,1,0.0,,0.0,,0.0,0.0,0.0,1.0,0.16666666666666666,0.408248290463863
2,2,,1.0,1.0,,0.0,,0.0,2.0,0.8,0.8366600265340756
3,3,,0.0,0.0,,2.0,0.0,,,0.5,1.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.875,2.4748737341529163
9,9,0.0,0.0,9.0,0.0,1.0,60.0,0.0,0.0,8.75,20.940391591371924
10,10,2.0,0.0,0.0,41.0,2.0,0.0,0.0,0.0,5.625,14.322185587402505
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,59.0,0.0,161.0,8.0,2.0,55.0,47.5,61.57515732826023
14,14,,51.0,49.0,,,28.0,37.0,25.0,38.0,11.832159566199232
15,15,10.0,228.0,2.0,1.0,2.0,268.0,50.0,17.0,72.25,110.15930023639143
16,16,,,,,,,,,,
17,17,18.0,4.0,12.0,15.0,6.0,13.0,17.0,4.0,11.125,5.718079098038831
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,21.0,27.0,41.0,2.0,24.0,5.0,48.0,170.0,42.25,53.956993456429196
21,21,33.0,22.0,7.0,46.0,3.0,37.0,81.0,405.0,79.25,133.87494164331127
22,22,3.0,40.0,15.0,24.0,14.0,49.0,66.0,225.0,54.5,71.93846576861962
23,23,5.0,37.0,46.0,65.0,33.0,294.0,37.0,232.0,93.625,107.12334346110428
24,24,39.0,74.0,26.0,46.0,23.0,124.0,24.0,53.0,51.125,34.161120339607464
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,91.0,87.0,67.0,292.0,71.0,211.0,42.0,395.0,157.0,128.59793377589148
28,28,79.0,84.0,68.0,305.0,173.0,529.0,73.0,406.0,214.625,178.23334424287728
29,29,108.0,62.0,73.0,59.0,186.0,257.0,103.0,88.0,117.0,69.49203448700331
30,30,250.0,62.0,264.0,225.0,135.0,288.0,218.0,208.0,206.25,73.97827866533335
31,31,377.0,44.0,538.0,77.0,258.0,291.0,162.0,243.0,248.75,160.7853493681205
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,112.0,100.0,31.0,146.0,22.0,59.0,125.0,79.0,84.25,44.50922857758185
35,35,479.0,579.0,330.0,401.0,364.0,95.0,470.0,220.0,367.25,154.09806710570476
36,36,633.0,438.0,174.0,218.0,375.0,28.0,351.0,267.0,310.5,183.20558319627085
37,37,,,,,,,,,,
38,38,519.0,241.0,172.0,402.0,275.0,47.0,364.0,338.0,294.75,145.4959498699927
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,392.0,58.0,534.0,670.0,402.0,32.0,482.0,490.0,382.5,225.4158062654119
42,42,364.0,50.0,371.0,217.0,267.0,37.0,322.0,200.0,228.5,130.03845585056752
43,43,621.0,131.0,283.0,480.0,304.0,32.0,216.0,143.0,276.25,193.9526820055419
44,44,294.0,74.0,253.0,90.0,290.0,55.0,353.0,292.0,212.625,119.13010594663778
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,723.0,94.0,524.0,575.0,418.0,213.0,796.0,613.0,494.5,242.0159380820079
50,50,,,,,,,,,,
51,51,529.0,78.0,570.0,399.0,393.0,240.0,252.0,318.0,347.375,160.95601661856037
52,52,657.0,63.0,640.0,478.0,430.0,539.0,556.0,727.0,511.25,205.55690904745296
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,563.0,72.0,587.0,451.0,400.0,330.0,211.0,358.0,371.5,172.21664097459174
57,57,721.0,152.0,626.0,651.0,485.0,226.0,575.0,588.0,503.0,206.05824419323775
58,58,421.0,273.0,625.0,225.0,379.0,311.0,484.0,394.0,389.0,126.66378442836093
59,59,543.0,318.0,563.0,317.0,379.0,374.0,208.0,347.0,381.125,118.66572197323273
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,306.0,219.0,397.0,602.0,428.0,342.0,608.0,290.0,399.0,142.38479052001506
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,645.0,54.0,348.0,299.0,390.0,447.0,430.0,238.0,356.375,171.91105465991916
