,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,1.0,,0.0,0.25,0.5
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,2.0,0.0,,,0.5,1.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,1.0,0.0,0.25,0.5
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,7.0,0.0,0.0,13.0,0.0,0.0,2.5,4.898979485566356
10,10,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.625,1.7677669529663689
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,3.0,0.0,9.0,4.0,0.0,19.0,5.833333333333333,7.250287350627331
14,14,,15.0,3.0,,,15.0,7.0,35.0,15.0,12.328828005937952
15,15,9.0,40.0,1.0,23.0,6.0,17.0,16.0,6.0,14.75,12.46423454758225
16,16,,,,,,,,,,
17,17,120.0,9.0,75.0,131.0,48.0,9.0,81.0,93.0,70.75,46.008539580013995
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,21.0,7.0,13.0,42.0,69.0,15.0,19.0,31.0,27.125,20.159630807277058
21,21,20.0,9.0,9.0,68.0,83.0,85.0,33.0,12.0,39.875,33.40845701315761
22,22,43.0,11.0,40.0,150.0,60.0,17.0,126.0,40.0,60.875,50.410989448163555
23,23,50.0,17.0,79.0,150.0,79.0,49.0,36.0,56.0,64.5,40.21726708055349
24,24,33.0,18.0,31.0,128.0,16.0,32.0,28.0,20.0,38.25,36.873335313514254
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,82.0,53.0,35.0,60.0,50.0,19.0,79.0,115.0,61.625,30.009224772202487
28,28,61.0,75.0,11.0,57.0,55.0,38.0,42.0,81.0,52.5,22.232537288526345
29,29,33.0,68.0,44.0,27.0,69.0,32.0,64.0,32.0,46.125,17.979651196362436
30,30,42.0,80.0,108.0,65.0,55.0,22.0,90.0,38.0,62.5,28.923544536785744
31,31,54.0,57.0,107.0,47.0,33.0,29.0,30.0,41.0,49.75,25.448828207657364
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,26.0,49.0,7.0,8.0,4.0,45.0,15.0,19.0,21.625,17.22073086220708
35,35,35.0,57.0,33.0,9.0,18.0,54.0,27.0,38.0,33.875,16.374522893812816
36,36,40.0,30.0,44.0,13.0,9.0,11.0,31.0,26.0,25.5,13.320231658217187
37,37,,,,,,,,,,
38,38,23.0,29.0,23.0,13.0,24.0,45.0,28.0,26.0,26.375,8.975164144937485
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,42.0,13.0,31.0,21.0,23.0,46.0,31.0,14.0,27.625,12.141281410366629
42,42,25.0,29.0,26.0,18.0,23.0,76.0,30.0,30.0,32.125,18.185060587510524
43,43,41.0,68.0,16.0,27.0,21.0,42.0,30.0,30.0,34.375,16.221128197508335
44,44,53.0,19.0,32.0,15.0,27.0,30.0,26.0,30.0,29.0,11.313708498984761
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,119.0,68.0,29.0,52.0,66.0,38.0,86.0,56.0,64.25,28.3788150361699
50,50,,,,,,,,,,
51,51,55.0,66.0,19.0,30.0,18.0,19.0,53.0,38.0,37.25,18.820581439325558
52,52,52.0,19.0,38.0,19.0,20.0,40.0,36.0,47.0,33.875,13.065084330819628
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,81.0,16.0,29.0,34.0,33.0,53.0,20.0,26.0,36.5,21.145752697477032
57,57,69.0,21.0,36.0,52.0,67.0,43.0,35.0,66.0,48.625,17.751760476076733
58,58,67.0,63.0,49.0,39.0,38.0,50.0,35.0,48.0,48.625,11.57506556599758
59,59,62.0,36.0,54.0,42.0,65.0,52.0,58.0,62.0,53.875,10.260012531320667
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,40.0,39.0,83.0,78.0,80.0,34.0,38.0,50.0,55.25,21.292185018385098
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,38.0,3.0,60.0,27.0,41.0,57.0,51.0,27.0,38.0,18.86038933093073
70,70,48.0,9.0,48.0,34.0,44.0,21.0,44.0,24.0,34.0,14.570027943889274
71,71,,,,,,,,,,
72,72,44.0,20.0,29.0,16.0,25.0,22.0,30.0,20.0,25.75,8.762745818846641
73,73,51.0,35.0,38.0,37.0,25.0,11.0,21.0,20.0,29.75,12.79229678919533
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,71.0,94.0,36.0,26.0,46.0,25.0,64.0,16.0,47.25,26.94306165654845
78,78,,,,,,,,,,
79,79,47.0,62.0,41.0,31.0,23.0,22.0,35.0,10.0,33.875,16.26949380194198
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,74.0,69.0,15.0,26.0,18.0,24.0,18.0,23.0,33.375,23.844361417923764
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,58.0,59.0,65.0,16.0,27.0,32.0,31.0,27.0,39.375,18.38429065417382
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,31.0,122.0,40.0,27.0,72.0,21.0,42.0,23.0,47.25,34.29181493342939
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,63.0,30.0,19.0,51.0,29.0,40.0,30.0,34.0,37.0,14.020393310154626
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,29.0,63.0,5.0,26.0,27.0,27.0,55.0,16.0,31.0,19.131126469708992
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,46.0,27.0,14.0,39.0,13.0,29.0,22.0,29.0,27.375,11.350739434692601
112,112,,,,,,,,,,
