,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,1.0,0.0,2.0,0.5,0.8366600265340756
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,2.449489742783178
10,10,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.75,1.7525491637693282
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,2.0,0.0,1.0,5.0,2.0,4.0,2.3333333333333335,1.8618986725025257
14,14,,1.0,1.0,,,2.0,2.0,0.0,1.2,0.8366600265340756
15,15,2.0,1.0,0.0,3.0,44.0,10.0,1.0,29.0,11.25,16.38596960817394
16,16,,,,,,,,,,
17,17,3.0,3.0,3.0,1.0,1.0,3.0,0.0,4.0,2.25,1.3887301496588271
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,0.0,30.0,8.0,3.0,0.0,0.0,18.0,4.0,7.875,10.802612117975382
21,21,10.0,33.0,14.0,30.0,0.0,4.0,11.0,2.0,13.0,12.386628735397352
22,22,0.0,22.0,3.0,6.0,0.0,4.0,9.0,0.0,5.5,7.406560798180411
23,23,26.0,6.0,12.0,2.0,0.0,7.0,2.0,3.0,7.25,8.46421036735602
24,24,9.0,7.0,2.0,2.0,0.0,13.0,49.0,39.0,15.125,18.512061705045944
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,13.0,24.0,2.0,3.0,0.0,10.0,11.0,1.0,8.0,8.176621726430962
28,28,10.0,28.0,3.0,46.0,0.0,0.0,4.0,2.0,11.625,16.6813625685331
29,29,2.0,34.0,4.0,5.0,0.0,5.0,14.0,2.0,8.25,11.221790027824056
30,30,21.0,1.0,2.0,20.0,0.0,7.0,0.0,6.0,7.125,8.659222993845514
