,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,2.0,0.0,0.0,19.0,0.0,0.0,2.625,6.653409437488207
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.408248290463863
14,14,,0.0,0.0,,,0.0,0.0,3.0,0.6,1.3416407864998738
15,15,4.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.6035674514745464
16,16,,,,,,,,,,
17,17,4.0,1.0,68.0,14.0,7.0,0.0,3.0,17.0,14.25,22.54994456755936
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,5.0,1.0,2.0,7.0,1.0,2.0,13.0,4.0,4.375,4.0686080455816125
21,21,3.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,1.125,1.3562026818605375
22,22,15.0,2.0,2.0,0.0,0.0,22.0,1.0,0.0,5.25,8.430387213611755
23,23,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.75,1.164964745021435
24,24,0.0,1.0,0.0,0.0,0.0,36.0,0.0,1.0,4.75,12.634985442922249
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.25,3.5355339059327378
28,28,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.625,0.9161253813129043
29,29,1.0,2.0,0.0,0.0,0.0,35.0,0.0,0.0,4.75,12.244532307465704
30,30,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.5,2.0701966780270626
31,31,3.0,0.0,0.0,0.0,9.0,18.0,0.0,0.0,3.75,6.562882641905809
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,10.0,3.0,3.0,17.0,9.0,1.0,7.0,27.0,9.625,8.667467911679857
35,35,5.0,0.0,2.0,2.0,0.0,0.0,3.0,23.0,4.375,7.726346392146069
36,36,11.0,8.0,0.0,0.0,1.0,1.0,5.0,49.0,9.375,16.51784749034467
37,37,,,,,,,,,,
38,38,11.0,38.0,0.0,0.0,3.0,0.0,4.0,23.0,9.875,13.829962297231946
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,2.4748737341529163
42,42,3.0,0.0,20.0,2.0,3.0,1.0,1.0,19.0,6.125,8.322731351116479
43,43,3.0,1.0,36.0,0.0,0.0,3.0,17.0,0.0,7.5,12.839670667783611
44,44,9.0,1.0,4.0,0.0,1.0,0.0,5.0,1.0,2.625,3.1594529363709247
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,15.0,1.0,9.0,46.0,2.0,0.0,1.0,11.0,10.625,15.333786225195654
50,50,,,,,,,,,,
51,51,15.0,2.0,9.0,3.0,3.0,26.0,0.0,15.0,9.125,8.967202143685302
52,52,1.0,0.0,33.0,4.0,3.0,3.0,0.0,12.0,7.0,11.186726828829652
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,34.0,0.0,8.0,8.0,2.0,60.0,5.0,16.0,16.625,20.556107886187295
57,57,17.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,3.25,5.922113522335465
58,58,7.0,3.0,5.0,14.0,1.0,3.0,2.0,3.0,4.75,4.166190448976482
59,59,4.0,0.0,11.0,2.0,0.0,2.0,20.0,5.0,5.5,6.8452277432633934
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,5.0,1.0,0.0,1.0,0.0,2.0,1.0,6.0,2.0,2.2677868380553634
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,0.0,0.0,3.0,5.0,2.0,5.0,3.0,3.0,2.625,1.9226098333849673
70,70,3.0,0.0,2.0,7.0,3.0,5.0,5.0,1.0,3.25,2.3145502494313788
71,71,,,,,,,,,,
72,72,2.0,1.0,3.0,10.0,4.0,41.0,1.0,7.0,8.625,13.447649821224738
73,73,0.0,0.0,7.0,3.0,5.0,3.0,0.0,7.0,3.125,2.997022331772464
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,1.0,1.0,26.0,6.0,2.0,2.0,1.0,3.0,5.25,8.548182764273854
78,78,,,,,,,,,,
79,79,1.0,0.0,2.0,2.0,3.0,0.0,0.0,4.0,1.5,1.5118578920369088
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,0.0,3.0,2.0,4.0,2.0,0.0,2.0,4.0,2.125,1.5526475085202969
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,0.0,0.0,4.0,11.0,1.0,0.0,1.0,6.0,2.875,3.943801646707328
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,10.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,3.3806170189140663
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,3.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,1.5,2.138089935299395
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,12.0,1.0,0.0,0.0,3.0,9.0,0.0,1.0,3.25,4.652188425123938
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,12.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,2.625,3.9977672339873487
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,5.0,0.0,5.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0701966780270626
126,126,,,,,,,,,,
