,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,1.125,2.4748737341529163
10,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.25,0.4629100498862757
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,2.0,0.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.816496580927726
14,14,,0.0,2.0,,,0.0,8.0,0.0,2.0,3.4641016151377544
15,15,0.0,2.0,1.0,1.0,4.0,0.0,1.0,7.0,2.0,2.390457218668787
16,16,,,,,,,,,,
17,17,0.0,0.0,1.0,2.0,3.0,0.0,2.0,0.0,1.0,1.1952286093343936
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,7.0,10.0,1.0,12.0,1.0,4.0,13.0,7.0,6.875,4.642582409453969
21,21,5.0,12.0,0.0,1.0,0.0,40.0,22.0,5.0,10.625,14.01975646823337
22,22,0.0,1.0,1.0,1.0,2.0,8.0,4.0,1.0,2.25,2.6049403612586386
23,23,0.0,0.0,10.0,9.0,4.0,5.0,1.0,13.0,5.25,4.949747468305833
24,24,3.0,0.0,0.0,1.0,1.0,9.0,3.0,19.0,4.5,6.546536707079771
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,7.0,2.0,2.0,5.0,3.0,14.0,5.0,3.0,5.125,3.9798600118956085
28,28,3.0,2.0,4.0,5.0,2.0,1.0,0.0,4.0,2.625,1.685018016012207
29,29,2.0,6.0,8.0,3.0,2.0,2.0,2.0,2.0,3.375,2.326094212561969
30,30,2.0,0.0,3.0,14.0,1.0,1.0,1.0,10.0,4.0,5.1269595556932455
31,31,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.9258200997725514
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,8.0,9.0,3.0,7.0,13.0,13.0,5.0,13.0,8.875,3.8706773124535787
35,35,2.0,4.0,17.0,0.0,2.0,18.0,1.0,6.0,6.25,7.186296483088987
36,36,2.0,14.0,0.0,1.0,1.0,5.0,3.0,0.0,3.25,4.652188425123938
37,37,,,,,,,,,,
38,38,0.0,10.0,3.0,1.0,10.0,7.0,18.0,0.0,6.125,6.356942211921883
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,6.0,2.0,3.0,7.0,1.0,20.0,1.0,1.0,5.125,6.446205971621713
42,42,0.0,5.0,2.0,16.0,7.0,2.0,4.0,4.0,5.0,4.928053803045811
43,43,0.0,3.0,3.0,1.0,0.0,17.0,18.0,16.0,7.25,8.172252705693474
44,44,19.0,4.0,0.0,4.0,0.0,18.0,2.0,4.0,6.375,7.670677004951109
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,2.0,23.0,4.0,3.0,15.0,3.0,1.0,2.0,6.625,7.981004233267175
50,50,,,,,,,,,,
51,51,16.0,12.0,1.0,3.0,12.0,3.0,5.0,1.0,6.625,5.829420456369815
52,52,11.0,10.0,2.0,3.0,17.0,3.0,7.0,1.0,6.75,5.574175147179049
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.5,0.7559289460184544
57,57,3.0,8.0,3.0,1.0,19.0,5.0,1.0,4.0,5.5,5.903993805649092
58,58,4.0,3.0,0.0,4.0,4.0,1.0,6.0,3.0,3.125,1.8850918886280925
59,59,2.0,2.0,3.0,1.0,3.0,4.0,7.0,2.0,3.0,1.8516401995451028
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,6.0,0.0,3.0,2.0,2.0,6.0,0.0,7.0,3.25,2.7645717829090897
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,0.0,3.0,5.0,3.0,0.0,6.0,0.0,3.0,2.5,2.32992949004287
70,70,1.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,1.3093073414159542
71,71,,,,,,,,,,
72,72,5.0,1.0,2.0,0.0,4.0,12.0,1.0,1.0,3.25,3.9188190640986296
73,73,0.0,10.0,0.0,3.0,1.0,8.0,0.0,1.0,2.875,3.943801646707328
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,0.0,3.0,2.0,2.0,10.0,1.0,1.0,0.0,2.375,3.2486260832190936
78,78,,,,,,,,,,
79,79,1.0,1.0,2.0,2.0,1.0,4.0,0.0,3.0,1.75,1.2817398889233114
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,3.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.3093073414159542
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,0.0,0.0,4.0,8.0,0.0,7.0,2.0,6.0,3.375,3.3354160160315836
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,2.0,2.0,3.0,1.0,3.0,4.0,2.0,5.0,2.75,1.2817398889233114
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,24.0,8.0,9.0,2.0,8.0,4.0,1.0,6.0,7.75,7.186296483088987
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,6.0,6.0,2.0,2.0,7.0,16.0,2.0,6.0,5.875,4.611708700997618
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,5.0,1.0,5.0,8.0,3.0,2.0,0.0,10.0,4.25,3.453776401067595
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,0.0,1.0,1.0,3.0,2.0,7.0,6.0,3.0,2.875,2.4748737341529163
