,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,4.0,0.0,,,0.0,,2.0,1.5,1.9148542155126762
1,1,399.0,,0.0,,1.0,0.0,5.0,2.0,67.83333333333333,162.24847200102278
2,2,,91.0,1.0,,20.0,,2.0,0.0,22.8,39.00897332665909
3,3,,1187.0,0.0,,5.0,0.0,,,298.0,592.67135356227
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,481.0,,,,23.0,1.0,107.0,153.0,223.38606342682468
7,7,,,,,,,,,,
8,8,402.0,357.0,4.0,269.0,31.0,35.0,68.0,227.0,174.125,159.1104176350499
9,9,224.0,1393.0,14.0,93.0,19.0,20.0,46.0,231.0,255.0,468.3570066885791
10,10,0.0,50.0,5.0,4.0,6.0,27.0,35.0,80.0,25.875,28.220749711616705
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,30.0,62.0,8.0,1800.0,0.0,1043.0,490.5,760.146762145311
14,14,,125.0,4.0,,,15.0,3.0,9.0,31.2,52.65168563303553
15,15,3.0,16.0,995.0,4.0,1.0,2.0,5.0,114.0,142.5,346.5919791339667
16,16,,,,,,,,,,
17,17,0.0,16.0,1.0,0.0,0.0,6.0,1.0,5.0,3.625,5.527528509973641
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.25,0.7071067811865476
21,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.375,0.7440238091428449
23,23,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
24,24,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.625,0.9161253813129043
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.25,0.4629100498862757
28,28,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.75,0.8864052604279183
29,29,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.25,0.7071067811865476
30,30,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
31,31,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5345224838248488
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,3.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0690449676496976
35,35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
36,36,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.625,1.0606601717798212
37,37,,,,,,,,,,
38,38,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0690449676496976
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.5,1.0690449676496976
42,42,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.25,0.7071067811865476
43,43,1.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.875,1.4577379737113252
44,44,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,2.0,3.7032803990902057
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.7071067811865476
50,50,,,,,,,,,,
51,51,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.875,0.9910312089651149
