,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,1.0,0.0,,,0.25,0.5
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,1.0690449676496976
9,9,0.0,0.0,4.0,0.0,0.0,12.0,0.0,0.0,2.0,4.27617987059879
10,10,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.125,2.4748737341529163
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,17.0,0.0,1.0,6.0,0.0,8.0,5.333333333333333,6.623191577077223
14,14,,10.0,65.0,,,3.0,7.0,65.0,30.0,32.046840717924134
15,15,65.0,6.0,0.0,79.0,4.0,70.0,36.0,0.0,32.5,34.35944453234698
16,16,,,,,,,,,,
17,17,117.0,44.0,80.0,66.0,24.0,13.0,29.0,25.0,49.75,35.439082542139424
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,13.0,52.0,15.0,59.0,12.0,50.0,52.0,48.0,37.625,20.374616560809187
21,21,33.0,42.0,4.0,133.0,22.0,58.0,141.0,30.0,57.875,51.25688107115821
22,22,33.0,78.0,45.0,58.0,69.0,12.0,108.0,35.0,54.75,30.17922653557765
23,23,41.0,27.0,56.0,188.0,59.0,38.0,64.0,74.0,68.375,50.68935503915703
24,24,33.0,83.0,19.0,67.0,17.0,42.0,41.0,29.0,41.375,23.015134771958834
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,101.0,104.0,74.0,123.0,49.0,37.0,60.0,144.0,86.5,37.54996671103717
28,28,107.0,61.0,54.0,131.0,65.0,36.0,112.0,121.0,85.875,35.77084806694651
29,29,49.0,104.0,117.0,20.0,52.0,33.0,155.0,34.0,70.5,48.57689044920728
30,30,64.0,60.0,130.0,43.0,42.0,60.0,146.0,52.0,74.625,40.13882160701781
31,31,140.0,75.0,88.0,40.0,42.0,40.0,39.0,68.0,66.5,35.25417908358019
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,30.0,21.0,6.0,14.0,6.0,54.0,17.0,14.0,20.25,15.718505926818509
35,35,50.0,156.0,23.0,45.0,41.0,104.0,51.0,42.0,64.0,43.88947156535055
36,36,58.0,98.0,58.0,36.0,24.0,51.0,65.0,57.0,55.875,21.721861930191107
37,37,,,,,,,,,,
38,38,45.0,48.0,59.0,27.0,31.0,54.0,24.0,46.0,41.75,12.892411943243426
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,32.0,23.0,55.0,56.0,42.0,48.0,48.0,25.0,41.125,12.988318927845459
42,42,20.0,18.0,42.0,22.0,35.0,51.0,44.0,26.0,32.25,12.475690647930364
43,43,74.0,72.0,50.0,48.0,52.0,40.0,28.0,26.0,48.75,17.790446874657196
44,44,60.0,17.0,60.0,12.0,50.0,37.0,49.0,50.0,41.875,18.41922520473804
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,89.0,29.0,46.0,54.0,59.0,39.0,77.0,50.0,55.375,19.617321063648973
50,50,,,,,,,,,,
51,51,78.0,41.0,47.0,47.0,50.0,24.0,55.0,51.0,49.125,15.018441045214095
52,52,64.0,45.0,47.0,50.0,28.0,79.0,88.0,71.0,59.0,19.97140813405862
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,39.0,55.0,55.0,34.0,44.0,56.0,34.0,52.0,46.125,9.553421227123671
57,57,69.0,34.0,46.0,57.0,98.0,32.0,60.0,52.0,56.0,21.13223671482573
58,58,68.0,27.0,52.0,37.0,37.0,38.0,43.0,29.0,41.375,13.276590569225863
59,59,83.0,64.0,53.0,53.0,41.0,33.0,35.0,36.0,49.75,17.29368175292435
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,59.0,76.0,39.0,123.0,90.0,65.0,58.0,30.0,67.5,29.389016412841816
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,69.0,5.0,67.0,29.0,48.0,38.0,35.0,30.0,40.125,21.074273415707598
70,70,60.0,35.0,39.0,26.0,30.0,50.0,51.0,30.0,40.125,12.205824136744837
71,71,,,,,,,,,,
72,72,28.0,50.0,57.0,42.0,10.0,51.0,37.0,36.0,38.875,14.989877536905649
73,73,43.0,42.0,47.0,27.0,20.0,27.0,52.0,47.0,38.125,11.740497677453273
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,66.0,49.0,41.0,43.0,37.0,40.0,60.0,26.0,45.25,12.82575533838066
78,78,,,,,,,,,,
79,79,100.0,41.0,54.0,26.0,30.0,64.0,12.0,18.0,43.125,28.930643664756975
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,75.0,48.0,30.0,36.0,25.0,32.0,3.0,29.0,34.75,20.575644409280184
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,43.0,24.0,30.0,16.0,14.0,57.0,53.0,44.0,35.125,16.47888259041163
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,70.0,61.0,43.0,45.0,58.0,29.0,66.0,34.0,50.75,15.153971662335163
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,58.0,62.0,37.0,73.0,70.0,35.0,50.0,46.0,53.875,14.277229623224729
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,29.0,74.0,15.0,61.0,65.0,38.0,61.0,22.0,45.625,22.30911088706649
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,53.0,24.0,15.0,33.0,30.0,36.0,36.0,18.0,30.625,12.023043351355405
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,65.0,76.0,18.0,33.0,28.0,13.0,34.0,24.0,36.375,22.404957997218894
126,126,,,,,,,,,,
