,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,2.0,0.0,,,0.5,1.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,1.0,0.0,15.0,0.0,0.0,35.0,6.375,12.682242929162243
9,9,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,1.375,3.50255009141299
10,10,0.0,0.0,0.0,12.0,1.0,0.0,0.0,7.0,2.5,4.535573676110727
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,112.0,0.0,75.0,4.0,1.0,25.0,36.166666666666664,46.8248509518895
14,14,,20.0,65.0,,,0.0,6.0,80.0,34.2,36.09986149557918
15,15,65.0,22.0,0.0,55.0,18.0,0.0,0.0,8.0,21.0,25.618073976895968
16,16,,,,,,,,,,
17,17,36.0,0.0,40.0,8.0,103.0,0.0,0.0,25.0,26.5,35.00204075683098
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,17.0,0.0,33.0,45.0,51.0,2.0,34.0,2.0,23.0,20.4799553570942
21,21,42.0,0.0,22.0,162.0,47.0,10.0,69.0,0.0,44.0,53.55104374066192
22,22,54.0,0.0,113.0,127.0,49.0,142.0,48.0,6.0,67.375,53.989251575793176
23,23,65.0,0.0,101.0,56.0,7.0,23.0,32.0,99.0,47.875,38.966789889413704
24,24,38.0,5.0,20.0,31.0,9.0,3.0,20.0,27.0,19.125,12.665335143047509
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,77.0,58.0,43.0,96.0,33.0,4.0,60.0,49.0,52.5,27.810583802368683
28,28,63.0,43.0,37.0,64.0,59.0,19.0,67.0,45.0,49.625,16.63848808378591
29,29,44.0,18.0,47.0,16.0,78.0,21.0,69.0,17.0,38.75,24.748737341529164
30,30,68.0,44.0,64.0,86.0,92.0,23.0,91.0,34.0,62.75,26.67663504160255
31,31,68.0,28.0,59.0,25.0,76.0,29.0,26.0,24.0,41.875,21.892187125613034
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,27.0,223.0,169.0,192.0,67.0,12.0,274.0,63.0,128.375,98.35785610281904
35,35,19.0,73.0,30.0,35.0,13.0,38.0,32.0,42.0,35.25,18.029737340611163
36,36,29.0,14.0,18.0,29.0,6.0,8.0,28.0,27.0,19.875,9.672309518856984
37,37,,,,,,,,,,
38,38,45.0,26.0,39.0,46.0,15.0,22.0,15.0,17.0,28.125,13.271209439986997
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,29.0,11.0,12.0,25.0,16.0,14.0,29.0,26.0,20.25,7.741354624907157
42,42,49.0,7.0,32.0,28.0,15.0,18.0,14.0,30.0,24.125,13.346347815039138
43,43,46.0,13.0,33.0,32.0,24.0,29.0,31.0,16.0,28.0,10.419761445034554
44,44,32.0,27.0,49.0,17.0,22.0,28.0,21.0,31.0,28.375,9.797047660246573
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,69.0,40.0,31.0,40.0,42.0,22.0,62.0,37.0,42.875,15.477518258059701
50,50,,,,,,,,,,
51,51,46.0,41.0,36.0,38.0,34.0,22.0,80.0,52.0,43.625,17.137573590547426
52,52,36.0,46.0,38.0,29.0,28.0,42.0,39.0,43.0,37.625,6.435115716575289
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,59.0,58.0,25.0,20.0,41.0,28.0,17.0,26.0,34.25,16.54215394508397
57,57,24.0,26.0,18.0,22.0,21.0,9.0,15.0,14.0,18.625,5.705573715987852
58,58,28.0,27.0,34.0,33.0,29.0,15.0,33.0,27.0,28.25,6.065122775815365
59,59,39.0,36.0,127.0,64.0,23.0,26.0,83.0,65.0,57.875,34.97933063151111
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,19.0,8.0,8.0,22.0,14.0,5.0,13.0,8.0,12.125,5.986592162013855
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,17.0,8.0,16.0,5.0,17.0,14.0,11.0,8.0,12.0,4.65985898008574
70,70,9.0,14.0,8.0,9.0,17.0,16.0,47.0,1.0,15.125,13.871218918527466
71,71,,,,,,,,,,
72,72,34.0,19.0,15.0,12.0,4.0,17.0,31.0,18.0,18.75,9.7357955137582
73,73,67.0,46.0,17.0,24.0,14.0,8.0,20.0,28.0,28.0,19.42752098000595
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,64.0,28.0,24.0,31.0,10.0,27.0,28.0,21.0,29.125,15.514394237978761
78,78,,,,,,,,,,
79,79,57.0,32.0,25.0,10.0,21.0,50.0,39.0,8.0,30.25,17.742201506174883
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,34.0,26.0,32.0,23.0,18.0,25.0,14.0,16.0,23.5,7.250615737399726
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,31.0,17.0,47.0,6.0,2.0,46.0,29.0,22.0,25.0,16.647608150808246
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,39.0,45.0,28.0,20.0,24.0,10.0,47.0,37.0,31.25,12.936658875348877
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,29.0,33.0,29.0,49.0,30.0,24.0,45.0,28.0,33.375,8.830749846821778
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,18.0,37.0,16.0,36.0,25.0,30.0,36.0,10.0,26.0,10.406042200842466
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,30.0,16.0,12.0,48.0,8.0,16.0,20.0,29.0,22.375,12.872312479559707
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,36.0,34.0,13.0,22.0,23.0,25.0,18.0,23.0,24.25,7.629828681843762
126,126,,,,,,,,,,
