,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,1.0,0.0,,,0.0,,0.0,0.25,0.5
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,1.0,0.0,,0.0,0.0,,,0.25,0.5
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
9,9,0.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,2.0,4.898979485566356
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.25,0.7071067811865476
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,58.0,0.0,0.0,7.0,0.0,4.0,11.5,22.958658497394833
14,14,,93.0,81.0,,,31.0,0.0,92.0,59.4,41.81267750336015
15,15,24.0,54.0,0.0,71.0,15.0,139.0,44.0,2.0,43.625,45.971846974922755
16,16,,,,,,,,,,
17,17,49.0,144.0,56.0,28.0,36.0,15.0,88.0,71.0,60.875,40.91258101995382
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,23.0,31.0,9.0,12.0,44.0,137.0,13.0,19.0,36.0,42.39609146405564
21,21,16.0,30.0,7.0,3.0,31.0,54.0,8.0,2.0,18.875,18.161478070748693
22,22,27.0,17.0,15.0,9.0,34.0,12.0,3.0,0.0,14.625,11.475906437899734
23,23,38.0,23.0,2.0,18.0,21.0,1.0,3.0,0.0,13.25,13.874436925511608
24,24,9.0,26.0,9.0,2.0,7.0,2.0,0.0,1.0,7.0,8.48528137423857
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,9.0,7.0,5.0,3.0,2.0,1.0,1.0,2.0,3.75,2.9640705601780613
28,28,0.0,2.0,0.0,2.0,1.0,1.0,11.0,1.0,2.25,3.615443067098218
29,29,0.0,3.0,23.0,2.0,1.0,0.0,3.0,0.0,4.0,7.782764841072135
30,30,1.0,7.0,6.0,7.0,0.0,0.0,4.0,0.0,3.125,3.226563851175781
31,31,0.0,16.0,25.0,10.0,0.0,0.0,0.0,0.0,6.375,9.679691553527341
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,21.0,81.0,33.0,13.0,6.0,21.0,1.0,5.0,22.625,25.823231511843858
35,35,1.0,33.0,2.0,1.0,0.0,24.0,0.0,1.0,7.75,13.046619704516788
36,36,0.0,11.0,3.0,0.0,0.0,8.0,2.0,0.0,3.0,4.242640687119285
37,37,,,,,,,,,,
38,38,1.0,7.0,6.0,0.0,1.0,0.0,0.0,0.0,1.875,2.9001231500945415
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.5,1.4142135623730951
42,42,0.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,1.6035674514745464
43,43,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.375,0.7440238091428449
44,44,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.4629100498862757
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,2.0,27.0,0.0,0.0,3.0,0.0,8.0,3.0,5.375,9.132946637625466
50,50,,,,,,,,,,
51,51,0.0,12.0,0.0,0.0,8.0,0.0,3.0,0.0,2.875,4.642582409453969
52,52,1.0,32.0,1.0,1.0,0.0,0.0,1.0,0.0,4.5,11.122692377040988
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,0.0,44.0,0.0,0.0,2.0,0.0,0.0,0.0,5.75,15.471171347287925
57,57,0.0,21.0,0.0,0.0,8.0,0.0,0.0,0.0,3.625,7.558108228915487
58,58,0.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,2.5,6.676183683170241
59,59,0.0,19.0,0.0,7.0,0.0,0.0,0.0,0.0,3.25,6.819090848492928
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,3.5355339059327378
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.8284271247461903
70,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,71,,,,,,,,,,
72,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
78,78,,,,,,,,,,
79,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.25,3.5355339059327378
84,84,,,,,,,,,,
