,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3535533905932738
10,10,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.375,0.7440238091428449
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,2.0,0.0,11.0,0.0,0.0,0.0,2.1666666666666665,4.400757510550504
14,14,,2.0,0.0,,,0.0,1.0,5.0,1.6,2.073644135332772
15,15,2.0,0.0,0.0,9.0,0.0,0.0,6.0,2.0,2.375,3.3779748793788102
16,16,,,,,,,,,,
17,17,4.0,0.0,1.0,19.0,3.0,0.0,8.0,24.0,7.375,9.19530159530243
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,1.0,0.0,8.0,12.0,18.0,39.0,13.0,8.0,12.375,12.316510405607126
21,21,2.0,0.0,27.0,1.0,11.0,6.0,7.0,6.0,7.5,8.668497975016038
22,22,0.0,4.0,1.0,6.0,5.0,7.0,0.0,1.0,3.0,2.8284271247461903
23,23,2.0,16.0,3.0,2.0,9.0,3.0,2.0,10.0,5.875,5.221863378417434
24,24,6.0,9.0,10.0,0.0,8.0,3.0,1.0,17.0,6.75,5.548487567410986
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,7.0,21.0,15.0,20.0,1.0,1.0,28.0,3.0,12.0,10.406042200842466
28,28,7.0,5.0,4.0,42.0,3.0,4.0,13.0,5.0,10.375,13.157697366940766
29,29,6.0,5.0,10.0,0.0,0.0,3.0,1.0,2.0,3.375,3.4615231989895516
30,30,12.0,5.0,3.0,3.0,0.0,2.0,1.0,4.0,3.75,3.693623849670827
31,31,19.0,2.0,10.0,5.0,3.0,2.0,1.0,1.0,5.375,6.254998001598402
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,9.0,15.0,27.0,5.0,0.0,7.0,8.0,1.0,9.0,8.668497975016038
35,35,3.0,1.0,5.0,2.0,1.0,9.0,0.0,0.0,2.625,3.0676887530703447
36,36,0.0,0.0,4.0,0.0,1.0,3.0,5.0,0.0,1.625,2.065879266282796
37,37,,,,,,,,,,
38,38,2.0,12.0,5.0,1.0,5.0,26.0,4.0,0.0,6.875,8.559664546164012
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,2.0,2.0,0.0,4.0,8.0,21.0,2.0,8.0,5.875,6.770471602058878
42,42,1.0,3.0,1.0,3.0,0.0,9.0,4.0,6.0,3.375,2.9730936268953445
43,43,1.0,3.0,5.0,7.0,0.0,14.0,2.0,4.0,4.5,4.44007721940573
44,44,2.0,5.0,4.0,2.0,1.0,8.0,2.0,0.0,3.0,2.5634797778466227
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,0.0,4.0,2.0,2.0,0.0,1.0,2.0,2.0,1.625,1.3024701806293193
50,50,,,,,,,,,,
51,51,1.0,2.0,0.0,2.0,0.0,2.0,6.0,0.0,1.625,1.9955307206712847
52,52,5.0,3.0,0.0,3.0,5.0,2.0,0.0,0.0,2.25,2.1213203435596424
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,0.0,7.0,1.0,0.0,1.0,1.0,3.0,1.0,1.75,2.3145502494313788
57,57,0.0,12.0,5.0,2.0,28.0,8.0,8.0,5.0,8.5,8.717797887081348
58,58,0.0,3.0,0.0,3.0,28.0,5.0,3.0,2.0,5.5,9.242757782641036
59,59,0.0,11.0,3.0,42.0,1.0,2.0,2.0,0.0,7.625,14.332156651589958
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,0.0,4.0,13.0,13.0,17.0,3.0,1.0,1.0,6.5,6.718843437888484
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,1.0,15.0,2.0,0.0,9.0,1.0,9.0,1.0,4.75,5.522680508593631
70,70,1.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,1.125,0.8345229603962802
71,71,,,,,,,,,,
72,72,0.0,5.0,5.0,2.0,4.0,4.0,0.0,1.0,2.625,2.1339098923270936
73,73,2.0,9.0,0.0,2.0,3.0,1.0,0.0,0.0,2.125,2.997022331772464
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,15.0,3.0,0.0,0.0,1.0,1.0,7.0,1.0,3.5,5.18238775634773
78,78,,,,,,,,,,
79,79,90.0,4.0,1.0,1.0,4.0,0.0,0.0,2.0,12.75,31.253571224513117
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,19.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,3.375,6.435115716575289
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,0.0,6.0,2.0,0.0,1.0,1.0,2.0,1.0,1.625,1.9226098333849673
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,1.0,1.0,0.0,0.0,2.0,4.0,3.0,0.0,1.375,1.5059406173077154
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,10.0,5.0,12.0,5.0,1.0,8.0,0.0,1.0,5.25,4.464142854857069
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,0.0,7.0,0.0,2.0,2.0,0.0,1.0,2.0,1.75,2.3145502494313788
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,2.0,2.0,3.0,0.0,1.0,0.0,3.0,0.0,1.375,1.3024701806293193
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,2.0,4.0,0.0,0.0,4.0,1.0,7.0,4.0,2.75,2.434865792722759
