,species,median,mean
0,Prevotella sp. Smarlab 121567,328.4303312679905,328.6074861944213
1,Lactobacillus taiwanensis,300.9600530743606,300.4220253585897
2,Parabacteroides distasonis,166.6620564281559,167.60371717812535
3,Lactobacillus reuteri,152.2306391771944,153.84445345919602
4,Lactobacillus intestinalis,149.29473757677275,131.42945182573072
5,Lactobacillus murinus,148.22361809045225,170.44080477730677
6,Coprobacter fastidiosus,120.00322112331006,119.2342260257589
7,Barnesiella intestinihominis,114.0175879396985,111.1177741392818
8,Barnesiella viscericola,105.16819600499376,104.0404505227649
9,Lactobacillus sp. ls79,90.91359575656058,77.73220993835149
10,Bacteroides uniformis,49.03965049968946,47.92595948357105
11,Allobaculum sp. GK12,45.680878213054804,56.04215771165939
12,Tannerella forsythia,40.79285169302007,44.10752236857226
13,Bacteroides acidifaciens,40.093030598016256,51.08086798180213
14,Prevotella loescheii,39.69927642802517,39.848194576802115
15,Rikenella microfusus,38.85368590525442,44.60167350733479
16,Peptococcus BU014,38.842345367389946,39.932386212363404
17,Tannerella oral taxon 808,34.59808522114348,34.70894367890974
18,Prevotella genomosp. C1,31.634828986641878,28.073216795648936
19,Paraprevotella xylaniphila,30.23368245722997,29.454166135191432
20,Clostridium sp. Clone-27,28.40967336683417,34.22958880586291
21,Clostridium sp. Clone-16,27.614762796504372,27.813682032763605
22,Prevotella shahii,25.81744514383199,25.90213349862904
23,Nubsella zeaxanthinifaciens,24.948401876295407,24.615518096324276
24,Clostridium sp. Clone-9,23.448294845011574,23.002244977410133
25,Alistipes senegalensis,22.132192375490014,25.758711928405834
26,Prevotella sp. oral taxon 317,22.124469434551397,21.48089580289519
27,Candidatus Arthromitus sp. SFB-mouse,18.817017022284197,22.839685290734675
28,Aureibacter tunicatorum,17.642045305059327,19.806479304230542
29,Clostridium hathewayi,17.59370883543933,18.46068848420402
30,Bacteroides vulgatus,17.137839700245486,16.581038576346078
31,Candidatus Prevotella conceptionensis,15.797164048865618,17.26430815496239
32,Eubacterium sp. F1,15.455409067810965,12.937123120581333
33,Parasutterella excrementihominis,14.900087997591644,14.24037015458761
34,Clostridium sp. ID4,14.480096819174406,15.927009218190223
35,TM7 oral taxon 351,14.067698304607148,13.971779216940945
36,Clostridium sp. ASF502,12.933689183243406,12.61981415788183
37,Enterorhabdus caecimuris,10.252286052066495,9.824513534356754
38,Clostridium disporicum,9.686240913811007,11.407493242725943
39,Eubacterium coprostanoligenes,8.616675611065034,10.207137675226848
40,Prevotella oulorum,8.326521496370741,8.106442272648689
41,Eubacterium ventriosum,8.23719798440932,8.860891051194862
42,Prevotella oris,7.837315101916332,7.766741410633919
43,[Eubacterium] cylindroides,7.80576968612697,9.20968202084731
44,Clostridium sp. 6-44,7.681207082533085,8.021008002842448
45,Clostridium fusiformis,7.645776475325489,8.055096625150872
46,Odoribacter splanchnicus,7.34032311088151,8.22673258036675
47,Clostridium indolis,7.275601307508415,8.420257937991444
48,Pseudoflavonifractor capillosus,7.2210079523832755,7.821448082965077
49,Oscillibacter valericigenes,7.080165139279558,7.271339806716576
50,Clostridium sp. Culture-27,7.033086782225736,7.5982702306927
51,Clostridium sp. CRIB,6.803634475597092,6.8820674328329945
52,Clostridium aminophilum,6.515948813982522,6.45045964755459
53,Alistipes putredinis,5.489084310441094,5.115968308297353
54,Ruminococcus lactaris,5.449410359375794,5.778642514597376
55,Paludibacter propionicigenes,5.372522725989498,5.619558435730886
56,Adlercreutzia equolifaciens,5.310371300949191,5.3786828851631245
57,Oscillibacter sp. G2,5.093284789644013,5.600795981478969
58,Dorea longicatena,4.991991409780323,5.181294551438722
59,Lactococcus garvieae,4.752099573625048,6.0909398018200545
60,Clostridium sp. 619,4.498262339736064,4.505348233639379
61,Clostridium sp. Clone-44,3.9939585568290896,4.239452980384163
62,Lactobacillus johnsonii,3.574327950431771,3.911305480548224
63,Parabacteroides merdae,3.332379502257692,3.2879066796553684
64,Gordonibacter pamelaeae,3.1383956386292833,3.1467742230947584
65,Clostridium sp. 826,3.0099581678023624,4.050472259782283
