otu,MouseAllLife-2-000,MouseAllLife-2-002,MouseAllLife-2-003,MouseAllLife-2-006,MouseAllLife-2-008,MouseAllLife-2-009,MouseAllLife-2-010,MouseAllLife-2-014,MouseAllLife-2-015,MouseAllLife-2-017,MouseAllLife-2-020,MouseAllLife-2-021,MouseAllLife-2-022,MouseAllLife-2-023,MouseAllLife-2-024,MouseAllLife-2-027,MouseAllLife-2-028,MouseAllLife-2-029,MouseAllLife-2-030,MouseAllLife-2-031,MouseAllLife-2-034,MouseAllLife-2-035,MouseAllLife-2-036,MouseAllLife-2-038,MouseAllLife-2-041,MouseAllLife-2-042,MouseAllLife-2-043,MouseAllLife-2-044,MouseAllLife-2-049,MouseAllLife-2-051,MouseAllLife-2-052,MouseAllLife-2-056,MouseAllLife-2-057,MouseAllLife-2-058,MouseAllLife-2-059,MouseAllLife-2-063,MouseAllLife-2-069,MouseAllLife-2-070,MouseAllLife-2-072,MouseAllLife-2-073,MouseAllLife-2-077,MouseAllLife-2-079,MouseAllLife-2-083,MouseAllLife-2-086,MouseAllLife-2-090,MouseAllLife-2-097,MouseAllLife-2-104,MouseAllLife-2-111,MouseAllLife-2-125,MouseAllLife-2-133,MouseAllLife-2-139,MouseAllLife-2-147,MouseAllLife-2-153,MouseAllLife-2-161,MouseAllLife-2-167,MouseAllLife-2-175,MouseAllLife-2-181,MouseAllLife-2-188,MouseAllLife-2-195,MouseAllLife-2-203,MouseAllLife-2-210,MouseAllLife-2-216,MouseAllLife-2-223,MouseAllLife-2-231,MouseAllLife-2-238,MouseAllLife-2-244,MouseAllLife-2-252,MouseAllLife-2-259,MouseAllLife-2-267,MouseAllLife-2-274,MouseAllLife-2-279,MouseAllLife-2-287,MouseAllLife-2-294,MouseAllLife-2-303,MouseAllLife-2-308,MouseAllLife-2-315,MouseAllLife-2-322,MouseAllLife-2-329,MouseAllLife-2-338,MouseAllLife-2-346,MouseAllLife-2-352,MouseAllLife-2-356,MouseAllLife-2-363,MouseAllLife-2-371,MouseAllLife-2-377,MouseAllLife-2-386,MouseAllLife-2-393,MouseAllLife-2-398,MouseAllLife-2-407,MouseAllLife-2-414,MouseAllLife-2-422,MouseAllLife-2-429,MouseAllLife-2-436,MouseAllLife-2-441,MouseAllLife-2-450,MouseAllLife-2-457,MouseAllLife-2-462,MouseAllLife-2-469,MouseAllLife-2-476,MouseAllLife-2-483,MouseAllLife-2-489,MouseAllLife-2-496,MouseAllLife-2-503,MouseAllLife-2-511-1,MouseAllLife-2-511-2,MouseAllLife-2-518,MouseAllLife-2-520,MouseAllLife-2-524,MouseAllLife-2-531,MouseAllLife-2-541,MouseAllLife-2-546,MouseAllLife-2-555,MouseAllLife-2-559,MouseAllLife-2-566,MouseAllLife-2-573,MouseAllLife-2-576,MouseAllLife-2-580,MouseAllLife-2-587,MouseAllLife-2-594,MouseAllLife-2-598,MouseAllLife-2-603,MouseAllLife-2-608,MouseAllLife-2-615,MouseAllLife-2-619,MouseAllLife-2-624,MouseAllLife-2-629,MouseAllLife-2-633,MouseAllLife-2-638,MouseAllLife-2-640,MouseAllLife-2-643,MouseAllLife-2-646,MouseAllLife-2-650,MouseAllLife-2-652,MouseAllLife-2-654,MouseAllLife-2-657,MouseAllLife-2-660,MouseAllLife-2-666,MouseAllLife-2-671,MouseAllLife-2-674,MouseAllLife-2-679,MouseAllLife-2-682,MouseAllLife-2-686,MouseAllLife-2-689,MouseAllLife-2-692,MouseAllLife-2-695,MouseAllLife-2-699,MouseAllLife-2-702,MouseAllLife-2-705,MouseAllLife-2-708,MouseAllLife-2-710,MouseAllLife-2-714,MouseAllLife-2-717,MouseAllLife-2-721,MouseAllLife-2-724,MouseAllLife-2-730,MouseAllLife-2-735,MouseAllLife-2-738,MouseAllLife-2-742,MouseAllLife-2-744,MouseAllLife-2-749,MouseAllLife-2-752,MouseAllLife-2-756,MouseAllLife-2-759,MouseAllLife-2-765,MouseAllLife-2-770,MouseAllLife-2-773,MouseAllLife-2-777,MouseAllLife-2-780,MouseAllLife-2-784,MouseAllLife-2-787,MouseAllLife-2-791,MouseAllLife-2-795,MouseAllLife-2-799,MouseAllLife-2-801,MouseAllLife-2-807,MouseAllLife-2-812,MouseAllLife-2-818,MouseAllLife-2-822,MouseAllLife-2-827
total_OTU00001,0,1,0,0,0,0,0,1,0,0,3,1,10,0,6,1,4,1,3,2,79,567,427,222,38,35,93,59,43,44,2,41,68,216,268,181,30,305,249,164,215,373,447,166,249,203,72,426,632,342,491,745,144,494,321,443,456,371,206,315,378,440,55,95,147,284,141,362,101,147,176,433,155,331,306,282,209,394,80,334,424,170,605,644,395,488,586,874,662,533,644,260,438,477,431,500,357,450,333,521,529,590,573,636,586,529,464,728,374,654,673,596,741,129,1044,487,216,609,901,754,388,625,512,371,484,626,459,489,244,516,174,619,560,412,494,314,437,116,488,336,309,256,126,371,380,390,243,262,645,546,443,861,334,412,219,221,124,118,210,258,170,369,354,387,305,454,538,201,353,416,368,779,635,482,81,120,145,44,4
total_OTU00002,0,0,0,2,2,0,0,0,4,0,5,4,24,38,1131,325,386,9,428,277,48,2,3,0,373,650,599,625,2,145,268,513,18,452,542,40,991,178,799,424,658,544,287,954,426,280,456,515,267,57,67,19,232,271,130,201,243,510,322,346,479,296,212,325,430,461,394,275,574,260,129,316,65,652,201,96,188,158,515,386,153,409,218,125,405,656,248,127,227,115,132,303,493,12,305,451,218,264,368,158,278,428,297,223,195,4,2,118,0,11,93,203,147,229,187,222,488,184,238,564,88,234,731,429,250,716,613,565,1140,759,876,276,661,475,419,230,281,614,404,505,673,584,567,299,390,279,493,263,516,371,585,182,455,341,583,667,61,456,254,610,206,162,373,126,94,155,51,213,164,176,84,20,53,134,45,106,179,70,151
total_OTU00003,0,0,0,0,0,0,0,0,0,0,5,5,30,3,0,13,124,141,93,125,54,107,97,108,66,57,112,75,66,47,5,20,41,136,101,122,54,165,165,118,138,129,198,81,64,44,128,189,181,219,222,162,65,158,81,277,195,165,59,81,171,137,118,44,161,202,138,207,89,142,128,207,115,60,115,141,164,174,117,128,166,48,155,157,125,146,186,170,195,179,177,76,93,118,111,147,205,150,118,152,161,189,149,94,97,292,243,229,197,162,206,171,195,64,286,163,33,148,113,64,191,151,121,185,152,83,114,146,195,118,86,153,230,149,178,130,140,91,165,95,139,103,39,104,133,122,145,55,82,46,113,126,81,95,69,100,108,50,130,123,74,161,135,172,156,357,227,153,243,199,120,168,229,175,322,13,52,14,1
total_OTU00004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,664,363,118,641,130,45,0,2,0,457,539,338,235,145,282,486,645,71,248,231,44,714,226,152,352,164,131,93,210,135,170,90,41,34,2,28,1,207,420,9,40,62,244,54,309,171,24,137,254,106,64,112,75,426,344,57,109,39,69,42,685,254,54,154,515,88,65,195,70,93,108,53,73,113,44,44,82,321,89,279,148,210,47,267,60,81,121,216,49,38,0,0,110,0,24,14,101,200,142,46,86,362,54,134,105,45,43,66,28,88,93,44,52,47,120,84,137,79,214,297,404,267,363,146,314,260,573,310,368,269,40,188,430,94,31,199,135,393,164,584,247,31,736,161,76,247,110,416,50,37,37,28,51,164,35,47,11,29,54,14,17,32,11,5
total_OTU00005,15,0,1,3,1330,1,1989,1229,1491,142,25,21,871,1476,171,244,95,820,293,735,61,36,213,53,310,74,70,172,73,50,49,255,1032,9,102,871,20,316,92,9,3,277,26,6,368,76,246,423,376,46,32,223,201,73,785,195,99,136,6,31,40,188,602,10,875,94,11,136,34,16,258,132,182,114,97,504,617,944,269,119,55,17,199,91,191,160,73,33,14,48,23,149,60,94,45,18,18,16,91,31,19,33,108,172,138,39,522,319,23,27,759,17,82,311,15,93,430,285,268,112,15,303,166,50,39,229,131,134,70,84,97,281,87,199,267,12,63,52,44,44,16,58,67,130,97,297,235,111,52,506,32,98,36,187,150,78,621,83,221,61,363,95,19,200,200,16,55,118,74,24,329,116,77,27,12,98,12,152,63
total_OTU00006,0,0,0,0,0,0,0,0,0,0,1,1,9,6,0,0,0,0,0,1,56,80,88,109,14,17,22,14,0,0,0,0,0,38,1,0,3,71,30,33,26,26,54,6,1,0,2,42,7,29,37,24,56,21,10,77,48,43,42,29,61,140,123,100,37,96,79,101,39,50,51,43,104,2,1,83,48,25,5,55,112,77,21,81,25,8,9,121,63,68,65,36,36,90,65,82,74,17,46,6,34,12,0,8,13,0,0,1,0,0,0,19,4,2,0,6,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,84,16,47,53,24,17,56,36,54,19,66,62,83,128,20,36,136,102,36,194,233,42,340,162,179,178,119,72,161,115,81,40,36,83,36,7,7,14,0,0,0,0,0
total_OTU00007,2,0,0,0,2,0,0,0,0,0,0,1,79,60,16,171,279,193,316,150,24,3,28,2,344,718,451,623,164,405,371,567,112,286,385,317,643,456,302,368,445,415,183,300,352,230,310,330,250,33,224,26,281,446,251,162,193,352,236,380,290,152,136,286,154,175,162,157,197,314,81,244,395,380,309,217,331,57,438,382,262,294,274,113,351,397,238,163,345,172,64,553,323,637,307,122,212,229,373,290,188,215,448,258,272,2,1,102,1,40,120,299,208,361,63,256,355,284,252,411,145,177,198,140,188,168,93,142,149,191,253,119,40,95,149,244,162,266,177,251,175,268,209,189,175,210,163,358,183,74,172,243,289,323,254,130,31,494,134,277,369,307,332,46,73,43,59,131,87,63,49,29,52,84,18,51,59,98,62
total_OTU00008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,677,9,42,1,0,1,0,4,0,0,0,0,0,35,0,0,0,0,1,0,7,1,65,105,0,0,2,23,5,233,51,141,21,1,0,7,1,16,543,219,106,33,6,128,62,11,5,2,40,47,3,15,0,0,0,0,0,0,0,5,113,70,43,19,0,1,0,0,1,54,258,3,1,3,6,93,57,138,18,32,263,3,2,0,0,1,0,1,2,303,16,340,69,64,16,16,8,1,0,2,0,43,132,2,0,0,0,0,1,0,35,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
total_OTU00009,0,0,0,0,0,0,0,9,26,11,2,9,28,3,13,40,88,64,132,125,46,289,276,92,28,29,88,24,42,47,8,26,51,29,158,117,2,112,133,87,138,102,79,25,137,73,46,42,129,166,97,151,55,111,63,165,125,66,77,57,54,99,18,75,58,71,65,72,73,36,23,90,19,100,179,54,100,19,20,68,117,22,97,94,44,78,128,93,133,148,95,68,79,124,95,109,106,90,100,77,109,122,66,66,76,143,116,92,68,123,42,87,69,13,117,66,34,93,40,55,73,44,98,63,45,74,62,55,55,56,137,94,61,59,101,80,86,71,114,116,128,94,59,128,125,71,103,70,178,78,119,126,122,86,51,99,107,42,60,83,41,76,83,80,86,153,111,95,140,106,99,127,59,72,105,82,104,102,64
total_OTU00010,1,0,0,0,43,0,46,6,13,10,0,0,131,270,327,52,26,3,13,9,2,2,0,0,0,1,0,4,0,0,0,0,0,4,0,0,0,0,0,0,1,13,0,108,30,3,236,10,13,1,15,2,14,48,2,3,0,1,1,6,65,33,38,57,74,44,106,104,116,101,19,35,12,96,5,12,11,78,35,126,12,88,53,55,21,49,17,43,25,8,33,0,158,10,209,81,115,5,82,13,23,130,15,12,14,6,0,0,0,1,0,14,62,15,57,27,85,11,17,28,15,19,76,73,46,164,143,120,210,92,35,97,296,169,83,103,84,267,45,50,223,166,119,40,39,33,57,45,38,28,124,13,48,6,36,83,9,129,18,6,3,16,31,18,8,18,15,31,37,27,28,8,9,14,19,23,64,18,11
