otu,MouseAllLife-5-001,MouseAllLife-5-002,MouseAllLife-5-003,MouseAllLife-5-008,MouseAllLife-5-009,MouseAllLife-5-010,MouseAllLife-5-013,MouseAllLife-5-015,MouseAllLife-5-017,MouseAllLife-5-020,MouseAllLife-5-021,MouseAllLife-5-022,MouseAllLife-5-023,MouseAllLife-5-024,MouseAllLife-5-027,MouseAllLife-5-028,MouseAllLife-5-029,MouseAllLife-5-030,MouseAllLife-5-031,MouseAllLife-5-034,MouseAllLife-5-035,MouseAllLife-5-036,MouseAllLife-5-038,MouseAllLife-5-041,MouseAllLife-5-042,MouseAllLife-5-043,MouseAllLife-5-044,MouseAllLife-5-049,MouseAllLife-5-051,MouseAllLife-5-052,MouseAllLife-5-056,MouseAllLife-5-057,MouseAllLife-5-058,MouseAllLife-5-059,MouseAllLife-5-063,MouseAllLife-5-069,MouseAllLife-5-070,MouseAllLife-5-072,MouseAllLife-5-073,MouseAllLife-5-077,MouseAllLife-5-079,MouseAllLife-5-083,MouseAllLife-5-086,MouseAllLife-5-090,MouseAllLife-5-097,MouseAllLife-5-104,MouseAllLife-5-111,MouseAllLife-5-125,MouseAllLife-5-133,MouseAllLife-5-139,MouseAllLife-5-147,MouseAllLife-5-153,MouseAllLife-5-161,MouseAllLife-5-167,MouseAllLife-5-175,MouseAllLife-5-181,MouseAllLife-5-188,MouseAllLife-5-195,MouseAllLife-5-203,MouseAllLife-5-210,MouseAllLife-5-216,MouseAllLife-5-223,MouseAllLife-5-231,MouseAllLife-5-238,MouseAllLife-5-244,MouseAllLife-5-252,MouseAllLife-5-259,MouseAllLife-5-267,MouseAllLife-5-274,MouseAllLife-5-279,MouseAllLife-5-287,MouseAllLife-5-294,MouseAllLife-5-303,MouseAllLife-5-308,MouseAllLife-5-315,MouseAllLife-5-322,MouseAllLife-5-329,MouseAllLife-5-338,MouseAllLife-5-346,MouseAllLife-5-352,MouseAllLife-5-356,MouseAllLife-5-363,MouseAllLife-5-371,MouseAllLife-5-377,MouseAllLife-5-386,MouseAllLife-5-393,MouseAllLife-5-398,MouseAllLife-5-407,MouseAllLife-5-414,MouseAllLife-5-422,MouseAllLife-5-429,MouseAllLife-5-436,MouseAllLife-5-441,MouseAllLife-5-450,MouseAllLife-5-457,MouseAllLife-5-462,MouseAllLife-5-469,MouseAllLife-5-476,MouseAllLife-5-483,MouseAllLife-5-489,MouseAllLife-5-496,MouseAllLife-5-503,MouseAllLife-5-511-1,MouseAllLife-5-511-2,MouseAllLife-5-518,MouseAllLife-5-520,MouseAllLife-5-524,MouseAllLife-5-531,MouseAllLife-5-541,MouseAllLife-5-546,MouseAllLife-5-555,MouseAllLife-5-559,MouseAllLife-5-566,MouseAllLife-5-573,MouseAllLife-5-576,MouseAllLife-5-580,MouseAllLife-5-587,MouseAllLife-5-594,MouseAllLife-5-598,MouseAllLife-5-603,MouseAllLife-5-608,MouseAllLife-5-615,MouseAllLife-5-619,MouseAllLife-5-624,MouseAllLife-5-629,MouseAllLife-5-633,MouseAllLife-5-638,MouseAllLife-5-640,MouseAllLife-5-643,MouseAllLife-5-646,MouseAllLife-5-650,MouseAllLife-5-652,MouseAllLife-5-654,MouseAllLife-5-657,MouseAllLife-5-660,MouseAllLife-5-666,MouseAllLife-5-671,MouseAllLife-5-674,MouseAllLife-5-679,MouseAllLife-5-682,MouseAllLife-5-686,MouseAllLife-5-689,MouseAllLife-5-692,MouseAllLife-5-695,MouseAllLife-5-699,MouseAllLife-5-702,MouseAllLife-5-705,MouseAllLife-5-708,MouseAllLife-5-710,MouseAllLife-5-714,MouseAllLife-5-717,MouseAllLife-5-721,MouseAllLife-5-724,MouseAllLife-5-730,MouseAllLife-5-735,MouseAllLife-5-738,MouseAllLife-5-742,MouseAllLife-5-744,MouseAllLife-5-749,MouseAllLife-5-752,MouseAllLife-5-756,MouseAllLife-5-759,MouseAllLife-5-765,MouseAllLife-5-770,MouseAllLife-5-773,MouseAllLife-5-777,MouseAllLife-5-780,MouseAllLife-5-784,MouseAllLife-5-787,MouseAllLife-5-791,MouseAllLife-5-795,MouseAllLife-5-799,MouseAllLife-5-801,MouseAllLife-5-807,MouseAllLife-5-812,MouseAllLife-5-818,MouseAllLife-5-822,MouseAllLife-5-827,MouseAllLife-5-832,MouseAllLife-5-839,MouseAllLife-5-842
total_OTU00001,0,0,2,0,0,1,0,0,5,24,3,2,0,2,25,129,151,116,237,20,361,368,255,377,248,271,262,375,374,382,323,326,292,343,358,311,344,48,390,284,346,385,10,356,329,311,24,357,192,270,245,335,215,236,204,49,233,202,266,287,180,319,144,145,199,91,117,151,38,0,166,256,65,29,238,299,110,377,240,234,341,303,360,140,170,199,93,444,568,264,341,335,368,127,378,337,408,350,332,184,285,352,478,485,403,196,333,373,379,144,224,93,83,229,213,121,231,260,183,181,345,156,189,169,260,288,264,260,264,236,404,368,292,412,265,409,468,437,273,322,282,291,179,129,314,219,266,330,268,156,278,206,169,246,327,206,418,293,277,282,543,299,208,152,199,227,283,325,281,191,270,214,192,240,328,239,377,444,261,166,102
total_OTU00002,0,0,0,1576,914,19,5,21,338,237,482,898,427,691,463,424,331,566,482,301,69,177,135,880,873,735,779,108,61,94,608,168,160,114,99,476,501,733,402,184,524,684,1331,731,487,401,1053,548,6,317,215,452,201,169,339,339,219,439,250,555,322,487,336,626,552,269,404,221,519,341,173,143,368,774,89,359,551,697,234,447,642,509,522,299,780,310,520,2,163,182,335,527,299,442,324,215,311,101,165,300,242,329,136,114,117,127,136,135,188,118,189,358,91,56,235,363,288,193,226,38,381,129,368,158,187,246,245,289,196,133,248,294,155,67,118,94,158,305,31,167,332,115,137,67,125,189,153,13,297,288,158,124,108,122,38,81,114,252,125,131,96,76,165,140,98,122,82,71,139,133,176,197,79,90,104,128,160,220,220,397,281
total_OTU00003,0,1,2,0,0,0,0,11,45,5,9,15,15,42,116,108,153,43,71,5,97,157,147,127,113,122,167,172,171,177,148,347,170,152,198,284,175,102,124,126,88,151,39,151,216,269,86,155,215,139,145,108,167,146,183,140,177,100,97,209,158,119,117,87,159,161,132,189,58,143,131,206,140,142,131,116,132,203,132,89,199,163,39,116,145,74,187,115,266,168,127,178,238,95,195,182,186,178,211,99,81,231,217,251,154,140,145,133,111,94,94,43,79,110,85,104,140,216,148,151,257,185,240,205,175,235,125,151,177,142,188,177,156,219,164,221,207,154,179,211,200,209,175,133,158,141,168,227,209,126,173,161,110,204,187,152,103,233,223,150,194,105,182,94,142,134,186,200,127,112,99,134,103,161,23,31,158,130,126,161,108
total_OTU00004,0,0,1,0,0,0,0,0,0,1,17,296,183,587,601,221,323,600,640,439,561,927,407,49,122,129,39,268,136,330,193,137,171,515,335,387,361,371,19,8,81,80,406,10,72,49,237,144,0,28,23,61,144,209,193,605,134,149,39,24,54,183,107,269,117,102,319,272,316,46,36,43,395,123,27,220,131,52,107,58,63,153,72,61,400,19,137,0,42,173,79,60,99,51,145,135,135,93,19,153,292,77,103,94,77,118,110,107,101,169,191,192,33,261,132,77,17,78,51,114,188,279,83,32,285,88,68,65,247,331,119,120,157,235,119,133,228,103,21,135,162,176,201,395,96,79,121,7,117,267,39,35,262,144,36,196,141,98,47,78,68,52,115,87,55,184,117,102,26,137,72,68,43,120,46,114,58,55,69,139,27
total_OTU00005,0,1,9,129,1181,20,1809,37,222,313,665,176,158,305,725,839,540,316,120,49,788,31,3,23,73,78,30,0,27,22,12,15,94,8,12,6,29,10,7,1,7,34,88,23,18,16,342,29,16,10,3,1,3,17,15,20,17,5,173,12,29,74,5,124,32,38,43,15,9,26,60,6,19,2,7,14,327,70,13,7,10,17,13,28,35,16,105,192,297,40,77,44,37,553,118,5,25,30,31,350,240,273,167,78,942,207,504,241,36,147,15,37,61,177,25,35,51,120,23,132,144,300,171,108,414,83,702,202,171,206,460,135,333,203,423,476,475,264,416,192,114,196,317,295,245,99,605,44,116,292,57,215,283,392,578,323,605,230,164,238,109,385,104,347,135,394,275,361,122,162,192,188,134,973,479,815,235,282,715,383,162
total_OTU00006,0,0,0,0,0,0,0,0,0,14,65,61,29,40,94,139,182,58,89,61,49,69,116,76,49,69,92,7,76,123,7,5,29,2,3,3,3,13,71,67,153,123,1,62,40,17,9,121,50,182,77,176,95,91,115,42,113,56,189,178,58,66,78,73,288,128,146,41,103,42,94,84,29,42,109,34,44,24,70,45,105,16,48,51,55,43,70,23,28,101,93,36,85,36,42,56,94,39,50,45,29,70,83,108,43,40,81,93,52,42,50,45,111,65,113,60,47,70,83,73,63,30,130,30,96,102,63,27,61,54,73,42,34,68,61,113,38,60,51,43,90,69,104,27,102,108,23,75,74,29,67,82,23,24,63,40,39,33,41,24,35,42,38,79,57,35,42,28,38,36,56,69,33,46,53,35,29,94,91,88,72
total_OTU00007,198,349,853,299,186,4,21,5,25,212,218,379,180,155,114,72,139,318,273,169,267,379,277,176,350,370,151,159,126,177,292,213,193,363,185,280,349,401,138,90,280,322,354,454,138,136,322,188,8,60,32,61,82,165,155,224,38,131,61,44,114,231,98,82,61,57,126,106,351,76,114,192,190,91,121,102,140,177,74,50,69,80,101,96,211,79,147,4,10,78,93,70,108,69,124,80,148,98,54,58,98,89,25,17,105,77,81,113,42,93,70,86,17,85,50,81,55,250,33,44,167,80,77,27,71,33,50,85,86,92,69,35,74,56,92,108,149,103,3,23,61,52,120,109,64,40,149,2,43,141,25,40,171,47,42,106,158,70,31,160,41,20,32,34,44,151,58,60,48,76,27,55,64,65,42,27,17,37,48,53,15
total_OTU00008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,11,13,0,0,5,4,6,3,48,8,35,20,18,29,0,6,18,9,10,7,64,88,14,4,5,7,21,192,19,39,300,242,160,63,34,63,11,425,615,24,33,4,59,368,29,8,16,54,71,9,167,57,68,47,200,76,29,29,475,793,122,26,122,85,19,336,15,110,239,21,23,16,15,11,18,38,44,177,23,19,100,3,30,23,0,0,5,82,0,32,13,16,61,11,26,189,9,3,0,0,0,0,0,0,0,0,1,4,1,1,0,1,2,0,2,4,1,1,54,21,34,43,62,6,11,10,36,46,28,15,13,398,79,23,133,12,21,110,13,62,11,344,154,696,407,145,62,76,15,145,11,354,175,72,46,115,231,99,31,13,1
total_OTU00009,0,0,2,0,0,1,0,0,13,20,11,3,3,7,35,51,89,80,61,13,64,41,80,120,52,81,97,80,69,34,64,30,63,85,88,49,75,12,78,45,51,38,1,35,106,49,9,65,36,57,18,80,49,48,52,16,33,60,25,64,39,72,40,52,46,28,47,34,34,31,53,67,52,21,54,74,53,83,26,37,64,33,53,16,16,47,51,50,59,89,41,56,77,13,57,41,83,62,65,57,50,75,108,86,79,23,77,70,44,33,40,63,34,64,63,45,55,45,24,33,81,39,51,59,84,108,58,74,77,37,58,57,63,51,66,54,84,63,58,91,79,69,88,40,38,35,65,61,80,57,49,61,61,71,70,43,83,108,48,64,93,68,51,65,38,62,35,43,56,37,54,81,54,46,27,50,72,66,43,77,35
total_OTU00010,0,0,0,1,22,0,0,4,20,60,69,93,121,368,60,48,35,20,28,32,4,6,0,138,55,116,89,1,5,4,44,8,1,11,0,4,14,19,15,12,42,34,109,5,87,61,60,77,2,65,138,98,105,80,237,143,76,97,126,120,131,61,143,303,182,222,175,144,229,106,60,48,145,323,46,144,222,304,93,170,227,193,217,81,238,176,133,0,37,108,82,273,194,236,109,114,109,65,23,226,296,57,38,39,44,58,102,78,110,84,194,171,23,111,121,108,136,100,96,22,100,46,157,55,160,131,43,106,77,129,70,79,101,49,42,68,67,62,19,53,142,111,42,54,73,50,58,10,210,111,57,18,155,99,11,92,53,121,57,62,78,118,117,76,58,94,49,26,12,51,124,119,61,39,64,79,77,78,87,190,113
