otu,MouseAllLife-6-000,MouseAllLife-6-001,MouseAllLife-6-003,MouseAllLife-6-006,MouseAllLife-6-008,MouseAllLife-6-009,MouseAllLife-6-010,MouseAllLife-6-013,MouseAllLife-6-014,MouseAllLife-6-015,MouseAllLife-6-017,MouseAllLife-6-020,MouseAllLife-6-021,MouseAllLife-6-022,MouseAllLife-6-023,MouseAllLife-6-024,MouseAllLife-6-027,MouseAllLife-6-028,MouseAllLife-6-029,MouseAllLife-6-030,MouseAllLife-6-031,MouseAllLife-6-034,MouseAllLife-6-035,MouseAllLife-6-036,MouseAllLife-6-038,MouseAllLife-6-041,MouseAllLife-6-042,MouseAllLife-6-043,MouseAllLife-6-044,MouseAllLife-6-049,MouseAllLife-6-051,MouseAllLife-6-052,MouseAllLife-6-056,MouseAllLife-6-057,MouseAllLife-6-058,MouseAllLife-6-059,MouseAllLife-6-063,MouseAllLife-6-069,MouseAllLife-6-070,MouseAllLife-6-072,MouseAllLife-6-073,MouseAllLife-6-077,MouseAllLife-6-079,MouseAllLife-6-083,MouseAllLife-6-086,MouseAllLife-6-090,MouseAllLife-6-097,MouseAllLife-6-104,MouseAllLife-6-111,MouseAllLife-6-125,MouseAllLife-6-133,MouseAllLife-6-139,MouseAllLife-6-147,MouseAllLife-6-153,MouseAllLife-6-161,MouseAllLife-6-167,MouseAllLife-6-175,MouseAllLife-6-181,MouseAllLife-6-188,MouseAllLife-6-195,MouseAllLife-6-203,MouseAllLife-6-210,MouseAllLife-6-216,MouseAllLife-6-223,MouseAllLife-6-231,MouseAllLife-6-238,MouseAllLife-6-244,MouseAllLife-6-252,MouseAllLife-6-259,MouseAllLife-6-267,MouseAllLife-6-274,MouseAllLife-6-279,MouseAllLife-6-287,MouseAllLife-6-294,MouseAllLife-6-303,MouseAllLife-6-308,MouseAllLife-6-315,MouseAllLife-6-322,MouseAllLife-6-329,MouseAllLife-6-338,MouseAllLife-6-346,MouseAllLife-6-352,MouseAllLife-6-356,MouseAllLife-6-363,MouseAllLife-6-371,MouseAllLife-6-377,MouseAllLife-6-386,MouseAllLife-6-393,MouseAllLife-6-398,MouseAllLife-6-407,MouseAllLife-6-414,MouseAllLife-6-422,MouseAllLife-6-429,MouseAllLife-6-436,MouseAllLife-6-441,MouseAllLife-6-450,MouseAllLife-6-457,MouseAllLife-6-462,MouseAllLife-6-469,MouseAllLife-6-476,MouseAllLife-6-483,MouseAllLife-6-489,MouseAllLife-6-496,MouseAllLife-6-503,MouseAllLife-6-511,MouseAllLife-6-520,MouseAllLife-6-524
total_OTU00001,0,0,0,0,0,51,0,2,0,0,0,0,0,42,285,112,194,500,211,254,246,0,0,2,4,2,5,17,51,181,219,495,281,190,285,334,307,396,396,240,184,336,206,174,283,176,275,256,334,97,420,124,468,72,382,458,384,307,197,627,631,787,128,491,460,626,633,620,225,14,624,563,622,69,130,524,397,305,305,592,479,281,398,93,145,140,126,210,156,379,530,46,96,36,124,149,185,19,390,323,344,316,235,386,152,626,393
total_OTU00002,1,0,18,1005,1182,45,686,3,69,2,16,123,1,501,79,143,183,404,676,428,562,171,72,512,824,381,331,283,401,158,453,153,520,69,641,135,54,139,641,220,294,824,536,802,680,264,614,244,646,581,457,935,367,680,162,438,130,482,256,579,590,345,904,428,483,440,214,118,119,231,515,403,388,1098,994,582,426,378,430,535,595,356,606,479,664,528,935,360,326,611,428,287,319,724,459,292,365,47,354,349,235,401,354,343,299,137,75
total_OTU00003,1,0,0,0,0,5,0,0,0,0,3,8,19,25,147,79,78,165,112,179,186,15,14,33,153,121,158,97,78,97,162,246,127,170,116,219,283,249,261,157,131,107,207,142,182,143,150,193,227,49,116,77,203,103,202,222,216,260,172,158,144,178,149,259,90,230,319,145,186,3,176,179,201,103,74,167,140,177,132,202,199,185,161,51,114,153,164,226,148,185,197,197,223,73,101,194,112,11,193,157,239,145,89,180,188,227,139
total_OTU00004,0,0,0,0,0,2,0,0,0,0,0,104,13,313,442,455,531,355,244,364,187,155,466,475,462,509,430,468,576,77,304,243,203,47,319,255,154,120,134,12,32,184,33,104,112,46,158,28,26,331,145,127,106,119,112,38,68,68,85,137,229,210,167,222,52,153,9,55,117,135,123,174,208,179,99,87,125,99,166,94,156,37,151,451,238,100,11,79,137,63,138,206,28,134,29,11,266,33,97,145,58,133,351,278,135,78,16
total_OTU00005,0,0,0,1,259,38,1030,21,2372,127,844,552,111,67,271,16,13,23,43,30,9,325,117,29,37,346,267,331,247,0,6,52,4,20,21,38,85,29,36,13,1,3,20,25,37,80,57,66,23,11,15,11,37,6,12,10,55,122,219,51,13,21,37,34,25,14,25,18,17,32,45,12,12,41,21,27,42,7,13,35,11,33,74,50,27,15,21,59,6,42,77,28,49,20,50,148,41,5,31,13,12,6,11,16,14,8,6
total_OTU00006,0,0,0,0,0,0,0,0,0,0,0,3,40,164,100,88,162,102,168,139,100,56,60,51,42,54,80,140,94,69,83,99,159,17,38,5,21,30,12,15,14,35,12,35,34,48,33,105,105,26,62,78,88,79,65,80,55,170,50,33,6,41,48,132,153,76,104,74,16,1,106,28,47,28,109,87,103,52,32,101,153,67,87,41,98,59,101,48,37,138,94,83,19,30,69,30,85,6,27,36,51,112,63,129,172,54,89
total_OTU00007,0,0,328,275,427,29,259,0,10,3,4,9,5,175,388,208,338,264,369,308,212,83,165,34,19,17,27,139,169,103,224,148,189,72,358,139,167,142,384,65,227,151,140,94,142,199,261,48,81,251,111,131,72,185,90,51,159,145,135,225,232,120,86,139,26,100,30,15,43,551,155,57,89,175,228,218,231,141,177,140,133,48,182,378,83,109,121,79,89,48,88,201,102,107,170,93,80,249,143,83,66,88,194,157,80,145,39
total_OTU00008,2,0,0,0,0,5,0,0,0,0,0,0,0,232,17,42,3,34,0,1,4,0,0,0,0,0,0,0,0,1,0,19,33,2,28,33,3,11,24,1,1,133,188,3,6,2,19,107,19,79,25,22,176,124,36,50,7,38,7,86,7,5,1,2,9,0,5,278,10,16,33,10,94,21,128,89,191,0,10,44,33,189,68,31,73,55,20,17,22,29,17,14,4,78,155,0,12,8,27,33,0,3,16,3,0,39,0
total_OTU00009,0,1,0,0,0,11,0,0,0,1,1,0,0,18,86,39,57,124,82,92,108,0,0,2,63,48,65,41,34,53,84,156,113,48,75,48,72,89,104,66,48,85,62,40,68,14,46,46,82,28,78,45,111,24,98,100,93,49,58,47,88,41,17,64,137,102,128,61,30,2,41,55,49,12,42,112,86,42,39,62,57,98,68,41,50,43,18,45,31,104,125,28,44,20,18,21,91,4,112,53,54,80,61,46,36,76,75
total_OTU00010,0,0,0,0,0,53,3,0,43,8,9,8,1,27,9,6,5,20,47,156,145,188,263,426,312,74,86,13,13,3,1,1,25,6,4,5,0,2,8,16,5,101,177,277,133,75,169,20,190,126,157,328,30,133,9,91,5,110,112,263,114,138,492,139,266,109,18,36,132,1404,156,277,115,251,144,107,74,50,90,57,64,1,165,19,48,157,202,123,137,101,178,66,111,359,55,72,100,1414,121,123,128,151,178,100,77,6,14
