otu,MouseAllLife-7-001,MouseAllLife-7-002,MouseAllLife-7-006,MouseAllLife-7-008,MouseAllLife-7-009,MouseAllLife-7-010,MouseAllLife-7-013,MouseAllLife-7-014,MouseAllLife-7-015,MouseAllLife-7-017,MouseAllLife-7-020,MouseAllLife-7-021,MouseAllLife-7-022,MouseAllLife-7-023,MouseAllLife-7-024,MouseAllLife-7-027,MouseAllLife-7-028,MouseAllLife-7-029,MouseAllLife-7-030,MouseAllLife-7-031,MouseAllLife-7-034,MouseAllLife-7-035,MouseAllLife-7-036,MouseAllLife-7-038,MouseAllLife-7-041,MouseAllLife-7-042,MouseAllLife-7-043,MouseAllLife-7-044,MouseAllLife-7-049,MouseAllLife-7-051,MouseAllLife-7-052,MouseAllLife-7-056,MouseAllLife-7-057,MouseAllLife-7-058,MouseAllLife-7-059,MouseAllLife-7-063,MouseAllLife-7-069,MouseAllLife-7-070,MouseAllLife-7-072,MouseAllLife-7-073,MouseAllLife-7-077,MouseAllLife-7-079,MouseAllLife-7-083,MouseAllLife-7-086,MouseAllLife-7-090,MouseAllLife-7-097,MouseAllLife-7-104,MouseAllLife-7-111,MouseAllLife-7-125,MouseAllLife-7-133,MouseAllLife-7-139,MouseAllLife-7-147,MouseAllLife-7-153,MouseAllLife-7-161,MouseAllLife-7-167,MouseAllLife-7-175,MouseAllLife-7-181,MouseAllLife-7-188,MouseAllLife-7-195,MouseAllLife-7-203,MouseAllLife-7-210,MouseAllLife-7-216,MouseAllLife-7-223,MouseAllLife-7-231,MouseAllLife-7-238,MouseAllLife-7-244,MouseAllLife-7-252,MouseAllLife-7-259,MouseAllLife-7-267,MouseAllLife-7-279,MouseAllLife-7-287,MouseAllLife-7-294,MouseAllLife-7-303,MouseAllLife-7-308,MouseAllLife-7-315,MouseAllLife-7-322,MouseAllLife-7-329,MouseAllLife-7-338,MouseAllLife-7-346,MouseAllLife-7-352,MouseAllLife-7-356,MouseAllLife-7-363,MouseAllLife-7-371,MouseAllLife-7-377,MouseAllLife-7-386,MouseAllLife-7-393,MouseAllLife-7-398,MouseAllLife-7-407,MouseAllLife-7-414,MouseAllLife-7-422,MouseAllLife-7-429,MouseAllLife-7-436,MouseAllLife-7-441,MouseAllLife-7-450,MouseAllLife-7-457,MouseAllLife-7-462,MouseAllLife-7-469,MouseAllLife-7-476,MouseAllLife-7-483,MouseAllLife-7-489,MouseAllLife-7-496,MouseAllLife-7-503,MouseAllLife-7-511-1,MouseAllLife-7-511-2,MouseAllLife-7-518,MouseAllLife-7-520,MouseAllLife-7-524,MouseAllLife-7-531,MouseAllLife-7-541,MouseAllLife-7-546,MouseAllLife-7-555,MouseAllLife-7-559,MouseAllLife-7-566,MouseAllLife-7-573,MouseAllLife-7-576,MouseAllLife-7-580,MouseAllLife-7-587,MouseAllLife-7-594,MouseAllLife-7-598,MouseAllLife-7-603,MouseAllLife-7-608,MouseAllLife-7-615,MouseAllLife-7-619,MouseAllLife-7-624,MouseAllLife-7-629,MouseAllLife-7-633,MouseAllLife-7-638,MouseAllLife-7-640,MouseAllLife-7-643,MouseAllLife-7-646,MouseAllLife-7-650,MouseAllLife-7-652,MouseAllLife-7-654,MouseAllLife-7-657,MouseAllLife-7-660,MouseAllLife-7-666,MouseAllLife-7-671,MouseAllLife-7-674,MouseAllLife-7-679,MouseAllLife-7-682,MouseAllLife-7-686,MouseAllLife-7-689,MouseAllLife-7-692,MouseAllLife-7-695,MouseAllLife-7-699,MouseAllLife-7-702,MouseAllLife-7-705,MouseAllLife-7-708,MouseAllLife-7-710,MouseAllLife-7-714,MouseAllLife-7-717,MouseAllLife-7-721,MouseAllLife-7-724,MouseAllLife-7-730,MouseAllLife-7-735,MouseAllLife-7-738,MouseAllLife-7-742,MouseAllLife-7-744,MouseAllLife-7-749,MouseAllLife-7-752,MouseAllLife-7-756,MouseAllLife-7-759,MouseAllLife-7-765,MouseAllLife-7-770,MouseAllLife-7-773,MouseAllLife-7-777,MouseAllLife-7-780,MouseAllLife-7-784,MouseAllLife-7-787,MouseAllLife-7-791,MouseAllLife-7-795,MouseAllLife-7-799,MouseAllLife-7-801,MouseAllLife-7-807,MouseAllLife-7-812,MouseAllLife-7-818,MouseAllLife-7-822,MouseAllLife-7-827,MouseAllLife-7-832,MouseAllLife-7-839,MouseAllLife-7-842,MouseAllLife-7-848,MouseAllLife-7-850,MouseAllLife-7-854,MouseAllLife-7-856,MouseAllLife-7-862,MouseAllLife-7-869,MouseAllLife-7-874,MouseAllLife-7-877,MouseAllLife-7-880,MouseAllLife-7-886,MouseAllLife-7-892,MouseAllLife-7-898,MouseAllLife-7-904,MouseAllLife-7-910,MouseAllLife-7-917,MouseAllLife-7-920,MouseAllLife-7-926,MouseAllLife-7-932,MouseAllLife-7-938
total_OTU00001,0,0,0,0,0,0,1,29,1,13,2,7,3,6,0,0,13,69,172,138,120,466,334,343,448,290,189,313,716,178,497,188,504,452,124,551,382,366,460,486,399,33,95,431,474,606,553,478,509,480,495,537,412,173,387,213,306,377,129,195,272,300,292,322,105,41,57,133,91,174,110,405,225,143,319,182,107,465,582,706,607,431,351,415,192,626,400,348,641,466,363,253,311,369,202,317,439,545,298,270,240,335,299,336,393,637,695,692,626,444,267,104,463,578,441,500,490,327,376,288,245,508,533,164,369,342,249,234,323,243,449,239,439,184,182,178,90,173,244,229,130,256,300,185,189,123,251,397,317,132,335,159,161,304,249,122,189,212,257,219,307,100,353,169,251,163,30,94,234,246,115,226,215,111,266,291,200,155,133,130,53,107,89,309,232,259,84,127,550,509,701,428,385,174,398,352,245,282,481,427
total_OTU00002,0,0,1,165,25,6,0,22,0,3,536,65,468,469,146,409,834,221,85,437,218,34,125,39,538,692,509,688,66,502,177,829,141,341,174,296,441,260,415,657,418,296,29,420,327,551,102,533,337,166,257,130,413,319,134,38,218,22,550,287,493,348,234,354,250,515,531,317,461,167,467,132,585,328,414,384,15,751,380,208,171,371,39,248,508,217,643,624,273,22,305,219,182,143,507,263,211,321,350,398,453,256,351,290,40,78,10,48,90,56,272,221,180,293,246,346,163,209,311,135,215,308,383,121,149,316,188,330,209,211,335,469,306,512,399,389,183,419,217,230,258,239,321,293,97,422,270,204,263,573,188,291,321,344,316,284,122,434,228,372,111,315,240,275,478,238,458,420,507,220,243,231,369,260,303,257,459,453,234,272,276,546,443,667,564,697,616,650,387,485,252,555,267,136,364,507,103,179,135,347
total_OTU00003,0,0,1,0,0,0,1,7,7,4,19,33,48,53,37,25,51,144,86,64,19,77,131,92,147,132,84,108,221,121,161,41,242,163,98,207,271,287,185,191,208,78,20,141,143,151,235,142,179,147,177,239,118,59,202,111,200,202,41,171,181,137,154,181,132,119,93,176,157,182,130,133,201,115,147,156,199,127,175,151,101,179,177,149,99,167,114,109,143,137,147,102,157,124,121,171,131,181,115,169,160,104,171,172,159,182,191,278,181,219,242,129,141,201,156,94,160,191,170,189,188,188,179,252,148,161,252,179,177,129,167,151,202,122,113,137,132,125,136,192,122,119,146,81,80,103,123,183,148,89,86,99,80,84,127,106,108,137,196,122,137,70,174,155,133,127,39,86,133,137,98,112,122,207,144,171,145,186,204,137,122,87,94,164,174,182,168,192,199,169,143,91,165,141,173,167,184,193,217,182
total_OTU00004,0,0,0,0,0,1,0,0,0,0,6,2,69,251,420,234,484,30,98,866,40,5,281,133,129,206,182,187,247,448,358,554,192,281,185,404,287,92,208,178,75,55,6,115,40,209,202,195,221,78,181,84,113,343,63,33,115,26,113,155,100,106,110,187,66,207,138,304,127,76,639,21,54,28,108,340,1,90,138,109,78,260,30,213,244,65,88,330,0,6,77,307,134,172,150,171,115,97,110,255,194,131,114,79,53,95,50,53,264,79,148,84,36,98,208,387,182,230,120,73,56,36,38,23,186,187,67,33,63,57,154,106,59,68,136,66,197,102,179,343,223,236,203,234,81,175,194,170,55,115,41,135,150,193,139,128,144,216,186,214,210,237,163,152,186,150,171,309,208,245,134,40,86,219,48,123,127,70,86,59,60,431,145,121,111,326,139,173,68,173,145,246,169,92,362,364,218,297,181,111
total_OTU00005,0,0,0,1670,2279,2227,60,33,1089,127,68,652,259,332,525,524,33,884,1199,374,46,1353,253,465,213,30,16,77,7,5,78,8,143,6,5,48,11,284,48,7,31,113,8,19,28,32,41,50,16,13,210,14,6,40,126,30,393,307,12,17,76,159,405,9,21,244,23,30,11,260,19,30,8,13,49,24,336,9,27,146,8,51,163,69,105,22,224,20,26,25,249,53,32,73,11,13,157,10,66,51,16,22,130,103,4,10,16,26,26,306,18,30,41,43,75,20,27,91,80,87,15,34,24,45,64,160,225,12,82,59,50,34,81,25,138,35,72,88,290,54,144,142,62,85,143,77,57,54,43,76,39,172,193,49,99,431,105,92,41,92,64,67,47,29,72,42,69,135,65,41,62,2,18,21,14,2,44,27,19,47,2,20,12,6,17,36,38,47,28,53,6,153,38,758,121,93,25,34,32,74
total_OTU00006,0,0,0,0,0,0,1,3,0,0,0,1,0,4,1,0,0,0,0,0,3,27,176,158,77,26,110,57,2,3,2,33,77,56,120,5,1,2,33,1,2,14,56,3,95,80,65,59,66,127,97,109,108,94,76,49,149,157,49,65,87,97,67,117,115,45,47,53,74,34,44,26,26,85,124,42,50,67,139,89,122,107,89,121,126,94,57,26,134,166,76,52,143,14,96,82,26,9,220,102,30,6,139,146,19,47,36,28,39,83,85,156,0,8,5,2,3,6,12,34,9,4,39,91,22,10,57,24,8,44,87,16,30,41,100,124,67,47,33,27,5,5,63,95,158,98,58,90,126,49,67,74,53,119,69,56,59,32,68,93,58,67,86,80,49,97,50,49,59,83,101,116,54,76,203,71,107,118,141,68,58,41,76,46,88,100,120,87,79,4,0,0,40,0,48,13,15,92,158,195
total_OTU00007,0,0,0,216,60,35,1,4,6,6,262,46,379,418,343,165,370,28,26,381,32,16,269,352,229,322,182,275,91,311,226,405,218,299,270,243,360,252,281,415,287,174,10,360,159,237,142,325,119,135,172,147,165,192,96,91,193,22,277,250,225,255,151,110,110,253,286,153,226,131,325,215,124,32,431,284,36,209,215,223,131,221,40,122,591,162,246,458,50,6,706,588,466,287,186,253,166,114,175,230,218,226,233,223,104,120,58,166,182,339,97,119,109,93,137,155,109,187,166,44,81,51,75,37,60,132,76,77,76,51,100,150,115,69,75,67,71,89,79,121,114,100,127,170,31,155,140,121,81,124,70,85,141,68,114,129,62,174,87,52,91,146,45,65,110,73,126,82,102,50,34,19,28,78,32,35,31,16,13,27,50,43,68,61,62,94,92,78,45,68,33,88,53,40,96,97,66,70,9,29
total_OTU00008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,900,4,23,13,32,19,49,7,22,69,9,29,17,206,134,11,19,21,47,25,146,565,179,215,184,1,186,53,29,57,75,149,32,167,12,7,13,19,102,68,75,60,80,52,648,5,9,14,47,2,16,74,10,10,33,1,6,4,16,5,94,69,17,230,9,43,19,1,42,373,58,432,44,18,22,87,16,186,38,16,9,1,0,1,14,31,1,2,211,5,16,112,15,42,56,26,29,0,0,4,4,21,15,90,42,0,2,7,19,39,58,49,143,77,29,121,10,3,0,0,4,0,0,37,62,41,70,7,32,0,0,9,20,5,2,1,2,3,4,7,1,1,0,0,0,1,0,1,1,0,0,36,114,5,53,3,5,141,45,303,34,101,48,46,116,47,22,14,5,1,0,0,1,130,0,0,0,1,282,2
total_OTU00009,0,0,1,1,0,0,2,10,0,0,12,2,7,14,12,21,50,95,153,101,34,74,84,76,130,71,60,98,104,36,86,45,101,92,35,106,94,104,119,109,115,29,14,69,113,71,75,73,67,70,80,93,66,59,80,38,62,70,46,96,59,93,72,47,47,20,29,53,43,19,35,72,104,66,93,66,58,91,84,124,58,100,44,49,32,98,73,58,114,72,30,49,63,67,55,57,64,72,45,83,71,83,51,53,82,85,28,114,104,85,79,67,47,57,56,70,60,54,69,54,63,83,58,68,85,64,94,99,74,59,77,53,93,54,80,78,44,65,79,61,38,73,90,70,66,65,40,97,57,53,66,56,63,39,71,48,44,70,44,53,80,57,50,46,83,62,48,84,55,92,55,49,49,71,41,23,37,59,55,70,47,66,60,52,55,64,22,48,58,93,73,36,53,113,43,64,65,26,91,49
total_OTU00010,0,0,0,2,0,0,0,1,1,1,40,2,69,28,32,9,62,40,4,47,18,0,4,1,29,19,9,70,2,2,12,50,5,2,4,5,22,30,41,33,26,7,4,26,18,33,63,33,40,18,13,13,38,20,25,3,9,2,11,128,38,49,83,98,29,298,301,102,134,64,134,55,77,73,20,206,1,174,11,44,37,100,12,15,106,87,88,91,8,2,54,76,63,182,133,102,147,70,163,87,110,98,64,49,32,9,1,15,69,23,30,39,43,114,100,155,87,85,108,50,79,99,101,39,77,74,25,72,99,69,123,181,127,99,125,127,75,231,112,119,193,107,109,65,27,134,121,133,73,204,82,180,170,114,106,171,53,128,126,194,135,195,114,170,205,109,244,173,206,163,128,104,87,191,94,104,139,128,103,93,112,89,167,102,159,156,263,194,148,216,106,301,134,65,242,255,154,178,77,132
