otu,MouseAllLife-F-0000,MouseAllLife-F-001,MouseAllLife-F-003,MouseAllLife-F-006,MouseAllLife-F-008,MouseAllLife-F-009,MouseAllLife-F-010,MouseAllLife-F-015,MouseAllLife-F-017,MouseAllLife-F-020,MouseAllLife-F-021,MouseAllLife-F-022,MouseAllLife-F-023,MouseAllLife-F-024,MouseAllLife-F-027,MouseAllLife-F-028,MouseAllLife-F-029,MouseAllLife-F-030,MouseAllLife-F-031,MouseAllLife-F-034,MouseAllLife-F-035,MouseAllLife-F-036,MouseAllLife-F-038,MouseAllLife-F-041,MouseAllLife-F-042,MouseAllLife-F-043,MouseAllLife-F-044,MouseAllLife-F-049,MouseAllLife-F-051,MouseAllLife-F-052,MouseAllLife-F-056,MouseAllLife-F-057,MouseAllLife-F-058,MouseAllLife-F-059,MouseAllLife-F-063,MouseAllLife-F-069,MouseAllLife-F-070,MouseAllLife-F-072,MouseAllLife-F-073,MouseAllLife-F-077,MouseAllLife-F-079,MouseAllLife-F-083,MouseAllLife-F-086,MouseAllLife-F-090,MouseAllLife-F-097,MouseAllLife-F-104,MouseAllLife-F-111,MouseAllLife-F-125,MouseAllLife-F-133,MouseAllLife-F-139,MouseAllLife-F-147,MouseAllLife-F-153,MouseAllLife-F-161,MouseAllLife-F-167,MouseAllLife-F-175,MouseAllLife-F-181,MouseAllLife-F-188,MouseAllLife-F-195,MouseAllLife-F-203,MouseAllLife-F-210,MouseAllLife-F-216,MouseAllLife-F-223,MouseAllLife-F-231,MouseAllLife-F-238,MouseAllLife-F-244,MouseAllLife-F-252,MouseAllLife-F-259,MouseAllLife-F-267,MouseAllLife-F-274,MouseAllLife-F-279,MouseAllLife-F-287,MouseAllLife-F-294,MouseAllLife-F-303,MouseAllLife-F-308,MouseAllLife-F-315,MouseAllLife-F-322,MouseAllLife-F-329,MouseAllLife-F-338,MouseAllLife-F-346,MouseAllLife-F-352,MouseAllLife-F-356,MouseAllLife-F-363,MouseAllLife-F-371,MouseAllLife-F-377,MouseAllLife-F-386,MouseAllLife-F-393,MouseAllLife-F-398,MouseAllLife-F-407,MouseAllLife-F-414,MouseAllLife-F-422,MouseAllLife-F-429,MouseAllLife-F-436,MouseAllLife-F-441,MouseAllLife-F-450,MouseAllLife-F-457,MouseAllLife-F-462,MouseAllLife-F-469,MouseAllLife-F-476,MouseAllLife-F-483,MouseAllLife-F-489,MouseAllLife-F-496,MouseAllLife-F-503,MouseAllLife-F-511-1,MouseAllLife-F-511-2,MouseAllLife-F-518,MouseAllLife-F-520,MouseAllLife-F-524,MouseAllLife-F-531,MouseAllLife-F-541,MouseAllLife-F-546,MouseAllLife-F-555,MouseAllLife-F-559,MouseAllLife-F-566,MouseAllLife-F-573,MouseAllLife-F-576,MouseAllLife-F-580,MouseAllLife-F-587,MouseAllLife-F-594,MouseAllLife-F-598,MouseAllLife-F-608,MouseAllLife-F-615,MouseAllLife-F-619,MouseAllLife-F-624,MouseAllLife-F-629,MouseAllLife-F-633,MouseAllLife-F-638,MouseAllLife-F-640,MouseAllLife-F-643,MouseAllLife-F-646,MouseAllLife-F-650,MouseAllLife-F-652,MouseAllLife-F-654,MouseAllLife-F-657,MouseAllLife-F-660,MouseAllLife-F-666,MouseAllLife-F-671,MouseAllLife-F-674,MouseAllLife-F-679,MouseAllLife-F-682,MouseAllLife-F-686,MouseAllLife-F-689,MouseAllLife-F-692,MouseAllLife-F-695,MouseAllLife-F-699,MouseAllLife-F-702,MouseAllLife-F-705,MouseAllLife-F-708,MouseAllLife-F-710,MouseAllLife-F-714,MouseAllLife-F-717,MouseAllLife-F-721,MouseAllLife-F-724,MouseAllLife-F-730,MouseAllLife-F-735,MouseAllLife-F-738,MouseAllLife-F-742,MouseAllLife-F-744,MouseAllLife-F-749,MouseAllLife-F-752,MouseAllLife-F-756,MouseAllLife-F-759,MouseAllLife-F-765,MouseAllLife-F-770,MouseAllLife-F-773,MouseAllLife-F-777,MouseAllLife-F-780,MouseAllLife-F-784,MouseAllLife-F-787,MouseAllLife-F-791,MouseAllLife-F-795,MouseAllLife-F-799,MouseAllLife-F-801,MouseAllLife-F-807,MouseAllLife-F-812,MouseAllLife-F-818,MouseAllLife-F-822,MouseAllLife-F-827,MouseAllLife-F-832,MouseAllLife-F-839,MouseAllLife-F-842,MouseAllLife-F-848,MouseAllLife-F-850,MouseAllLife-F-854
total_OTU00001,178,577,401,443,351,335,191,341,157,304,404,267,336,479,386,324,276,308,220,123,321,502,394,409,338,499,663,412,858,527,331,583,327,359,495,389,344,612,465,310,163,195,347,411,263,229,239,312,320,601,411,658,621,315,566,144,409,559,155,158,260,448,341,307,312,524,281,417,387,255,450,441,320,415,374,467,12,134,547,496,196,573,197,332,121,427,227,276,57,144,242,296,100,102,69,100,95,157,162,189,172,226,140,127,209,228,371,302,343,183,181,368,118,198,296,327,231,150,249,504,464,530,606,426,434,275,269,69,405,481,498,642,600,437,119,432,593,180,219,650,695,248,444,261,214,777,756,990,649,505,605,521,633,549,456,605,539,817,881,542,592,526,566,360,889,766,960,865,584,807,319,435,745,754,830,442,345,429,496,171,17,8,10
total_OTU00002,848,36,127,294,415,28,361,0,48,45,126,161,24,205,66,127,76,126,246,364,58,474,318,182,135,101,10,2,13,10,0,0,0,1,228,0,22,1,0,1,0,0,52,134,171,48,147,165,161,17,0,0,155,233,20,40,2,89,78,344,712,0,231,244,103,105,240,23,1,147,5,350,4,265,5,369,1,187,58,12,84,0,537,614,738,37,774,196,45,61,518,627,119,255,317,159,400,375,27,495,433,159,22,49,243,579,383,253,334,255,212,336,102,14,39,275,99,213,123,147,113,303,50,54,170,173,216,226,296,146,103,165,76,74,204,118,90,306,113,136,209,314,142,10,189,102,20,270,216,172,55,134,210,445,157,290,284,145,214,302,543,137,245,277,122,237,174,118,82,105,173,365,87,99,201,139,103,475,263,444,4,58,53
total_OTU00003,238,255,170,180,140,117,144,125,101,100,151,153,143,119,160,211,201,153,118,125,148,137,89,214,192,176,216,203,202,109,137,120,53,67,122,184,143,162,157,111,181,107,157,121,248,198,181,236,222,268,301,267,310,205,170,78,229,165,107,139,122,178,103,203,159,201,158,176,158,194,174,212,131,184,129,206,166,160,176,283,55,203,189,130,179,271,116,231,185,225,195,127,215,95,163,192,118,133,164,223,80,192,163,204,134,254,200,202,192,210,273,167,226,262,173,241,94,54,171,297,360,339,281,337,267,232,227,64,271,223,197,145,172,124,50,172,206,209,331,143,173,151,144,141,143,247,169,218,169,192,223,202,226,110,164,213,229,277,127,242,217,182,188,168,253,263,268,282,183,279,241,280,345,271,61,382,421,245,337,492,325,339,220
total_OTU00004,11,5,10,11,80,3,40,0,5,1,3,6,8,168,43,63,77,89,149,104,8,57,109,153,59,40,11,7,89,6,0,0,0,1,0,0,16,0,1,0,0,0,0,272,102,19,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,5,163,18,5,2,7,0,348,2,18,8,0,36,54,0,0,289,12,70,113,34,56,104,159,242,63,279,97,5,57,121,29,1,2,36,33,57,16,58,111,64,86,30,0,9,12,116,634,120,168,22,44,15,74,83,373,187,157,110,73,60,127,297,40,242,135,79,55,14,259,335,119,300,29,162,60,17,65,126,72,54,329,22,177,631,61,180,53,82,123,138,133,421,303,155,235,130,185,470,108,346,308,19,166,196,231,83,149,114,61,0,1,0
total_OTU00005,7,23,51,428,48,42,32,1107,1550,65,110,45,399,190,135,80,216,755,162,15,278,79,162,30,63,108,34,3,7,34,10,73,42,31,56,61,94,106,169,27,156,35,145,373,24,160,10,15,86,225,19,87,100,20,14,2,151,12,14,10,41,41,175,5,12,27,74,477,332,31,38,10,16,29,21,91,329,23,150,171,110,207,16,107,199,250,14,28,39,17,19,111,82,17,62,27,14,18,5,54,53,35,18,33,30,37,16,48,26,48,20,481,438,70,95,66,22,10,18,35,62,43,80,66,63,257,101,82,66,146,162,39,130,509,55,127,15,82,14,71,11,6,21,26,125,71,114,45,40,72,30,216,74,199,51,187,76,41,421,113,77,380,93,149,127,41,25,104,108,138,61,59,84,201,27,23,24,36,40,107,334,193,295
total_OTU00006,1,94,292,126,62,174,354,60,123,146,254,143,98,83,89,106,137,52,63,319,78,151,58,135,71,50,39,78,157,68,139,344,259,107,194,21,32,41,39,18,125,83,153,156,51,72,113,48,112,84,98,13,13,8,82,9,102,39,32,18,102,197,130,40,109,85,170,84,171,28,209,63,51,56,104,118,84,51,73,48,29,11,75,90,62,84,113,100,119,161,76,78,57,114,205,126,165,152,102,61,100,216,186,208,88,153,176,164,142,265,79,149,195,224,153,141,134,66,87,15,4,12,10,25,32,18,26,58,134,132,83,96,77,42,43,55,92,103,80,130,73,142,99,105,142,45,85,35,25,11,103,36,17,0,0,0,0,0,0,0,0,0,0,1,10,27,69,42,11,47,7,4,26,97,180,30,13,5,0,0,0,0,0
total_OTU00007,189,6,26,77,44,1,24,38,46,15,163,111,85,138,34,23,3,33,139,136,91,245,299,134,25,144,7,7,37,5,22,5,0,8,257,0,53,4,11,162,2,0,19,121,171,68,121,126,307,117,3,3,14,34,13,47,3,20,296,168,280,0,453,181,96,5,54,257,10,144,3,384,7,242,7,245,12,279,74,84,175,11,193,295,530,43,501,107,105,111,239,335,265,394,409,135,467,185,16,216,224,72,16,30,218,231,213,169,226,201,17,73,31,1,16,71,86,425,131,105,44,134,39,104,149,225,178,198,121,42,71,109,91,68,218,67,98,172,40,218,180,113,234,28,192,208,35,211,151,135,164,211,138,460,310,283,236,55,261,191,229,148,359,320,75,214,232,294,249,295,304,267,30,89,132,164,80,320,223,272,15,94,49
total_OTU00008,0,0,0,1,0,0,1,0,0,28,4,16,1,85,7,0,0,0,0,154,17,27,24,6,0,4,11,4,16,1,349,22,38,56,25,34,3,225,26,63,2,0,3,18,20,0,0,0,0,0,0,1,14,2,48,33,88,17,1,1,86,2,33,74,11,9,11,1,0,1,40,129,9,50,0,3,0,5,0,5,73,29,37,51,0,1,1,14,8,17,26,50,7,203,3,4,11,115,3,0,4,1,0,0,0,0,1,0,0,0,0,14,125,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,2,6,0,0,0,1,0,0,3,0,2,0,0,3,1,0,1,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
total_OTU00009,91,95,79,81,37,51,47,52,21,82,90,54,98,97,94,85,78,107,90,36,83,127,86,110,100,115,85,88,100,64,62,81,69,108,98,91,46,112,88,123,33,72,112,29,90,69,51,107,79,110,129,65,151,82,120,20,127,144,40,62,131,148,97,87,107,86,89,143,120,61,88,106,101,101,67,89,75,74,129,90,34,128,48,100,15,143,21,47,64,23,49,86,53,45,29,39,76,62,50,67,38,82,68,66,49,49,57,91,108,88,67,97,9,63,32,55,56,12,38,55,143,93,45,64,42,66,62,19,52,63,62,74,75,81,18,53,79,37,76,131,107,38,84,36,58,190,63,86,98,107,73,138,174,86,119,94,116,142,120,129,138,153,130,103,109,213,231,175,100,150,104,142,165,129,146,189,132,151,134,118,42,7,2
total_OTU00010,0,0,5,54,20,0,92,0,10,0,0,3,2,3,2,11,3,3,2,34,9,16,1,0,12,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,128,0,0,97,18,51,2,6,131,13,189,19,19,80,60,2,4,9,0,0,1,8,92,14,5,9,5,46,6,0,0,3,18,1,16,14,98,20,61,16,13,87,138,69,28,6,8,29,12,33,16,17,13,37,33,1,12,79,48,44,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
