otu,MouseAllLife-M-000,MouseAllLife-M-001,MouseAllLife-M-002,MouseAllLife-M-003,MouseAllLife-M-006,MouseAllLife-M-008,MouseAllLife-M-009,MouseAllLife-M-010,MouseAllLife-M-013,MouseAllLife-M-014,MouseAllLife-M-015,MouseAllLife-M-017,MouseAllLife-M-020,MouseAllLife-M-021,MouseAllLife-M-022,MouseAllLife-M-023,MouseAllLife-M-024,MouseAllLife-M-027,MouseAllLife-M-028,MouseAllLife-M-029,MouseAllLife-M-030,MouseAllLife-M-031,MouseAllLife-M-034,MouseAllLife-M-035,MouseAllLife-M-036,MouseAllLife-M-038,MouseAllLife-M-041,MouseAllLife-M-042,MouseAllLife-M-043,MouseAllLife-M-044,MouseAllLife-M-049,MouseAllLife-M-051,MouseAllLife-M-052,MouseAllLife-M-056,MouseAllLife-M-057,MouseAllLife-M-058,MouseAllLife-M-059,MouseAllLife-M-063,MouseAllLife-M-069,MouseAllLife-M-070,MouseAllLife-M-072,MouseAllLife-M-073,MouseAllLife-M-077,MouseAllLife-M-079,MouseAllLife-M-083,MouseAllLife-M-086,MouseAllLife-M-090,MouseAllLife-M-097,MouseAllLife-M-104,MouseAllLife-M-111,MouseAllLife-M-125,MouseAllLife-M-133,MouseAllLife-M-139,MouseAllLife-M-147,MouseAllLife-M-153,MouseAllLife-M-161,MouseAllLife-M-167,MouseAllLife-M-175,MouseAllLife-M-181,MouseAllLife-M-188,MouseAllLife-M-195,MouseAllLife-M-203,MouseAllLife-M-210,MouseAllLife-M-216,MouseAllLife-M-223,MouseAllLife-M-231,MouseAllLife-M-238,MouseAllLife-M-244,MouseAllLife-M-252,MouseAllLife-M-259,MouseAllLife-M-267,MouseAllLife-M-274,MouseAllLife-M-279,MouseAllLife-M-287,MouseAllLife-M-294,MouseAllLife-M-303,MouseAllLife-M-308,MouseAllLife-M-315,MouseAllLife-M-322,MouseAllLife-M-329,MouseAllLife-M-338,MouseAllLife-M-346,MouseAllLife-M-352,MouseAllLife-M-356,MouseAllLife-M-363,MouseAllLife-M-371,MouseAllLife-M-377,MouseAllLife-M-386,MouseAllLife-M-393,MouseAllLife-M-398,MouseAllLife-M-407,MouseAllLife-M-414,MouseAllLife-M-422,MouseAllLife-M-429,MouseAllLife-M-436,MouseAllLife-M-441,MouseAllLife-M-450,MouseAllLife-M-457,MouseAllLife-M-462,MouseAllLife-M-469,MouseAllLife-M-476,MouseAllLife-M-483,MouseAllLife-M-489,MouseAllLife-M-496,MouseAllLife-M-503,MouseAllLife-M-511-1,MouseAllLife-M-511-2,MouseAllLife-M-518,MouseAllLife-M-520,MouseAllLife-M-524,MouseAllLife-M-531,MouseAllLife-M-541,MouseAllLife-M-546,MouseAllLife-M-555,MouseAllLife-M-559,MouseAllLife-M-566,MouseAllLife-M-573,MouseAllLife-M-576,MouseAllLife-M-580,MouseAllLife-M-587,MouseAllLife-M-594,MouseAllLife-M-598,MouseAllLife-M-608,MouseAllLife-M-615,MouseAllLife-M-619,MouseAllLife-M-624,MouseAllLife-M-629,MouseAllLife-M-633,MouseAllLife-M-638,MouseAllLife-M-640,MouseAllLife-M-643,MouseAllLife-M-646,MouseAllLife-M-650,MouseAllLife-M-652,MouseAllLife-M-654,MouseAllLife-M-657,MouseAllLife-M-660,MouseAllLife-M-666,MouseAllLife-M-671,MouseAllLife-M-674,MouseAllLife-M-679,MouseAllLife-M-682,MouseAllLife-M-686,MouseAllLife-M-689,MouseAllLife-M-692,MouseAllLife-M-695,MouseAllLife-M-699,MouseAllLife-M-702
total_OTU00001,21,9,36,69,252,56,48,121,177,167,561,218,609,468,391,579,542,79,223,197,463,203,196,1054,474,866,363,351,480,461,418,451,545,132,401,303,290,195,341,187,167,103,92,80,89,155,170,351,201,410,243,334,237,97,185,312,463,276,246,515,247,234,297,284,192,142,260,366,543,361,381,87,3,183,177,161,206,33,248,196,423,391,622,488,278,331,323,230,347,338,205,352,437,416,428,369,401,353,266,216,323,378,439,323,240,308,312,276,200,402,118,218,101,33,131,162,210,86,259,275,267,340,234,130,112,362,252,288,219,330,265,137,152,231,240,418,198,374,175,245,186,118,124,56,68,34,21,44
total_OTU00002,672,855,938,743,291,351,258,579,148,247,262,104,594,24,4,259,501,177,566,544,856,422,226,108,296,62,201,551,591,371,66,214,16,72,58,187,396,147,185,183,282,399,78,48,112,288,548,225,79,147,201,368,90,116,773,229,394,486,283,358,357,165,651,281,345,537,593,467,171,344,287,317,480,57,407,666,372,634,253,247,495,242,325,526,345,202,74,101,334,390,46,258,205,209,461,208,519,323,383,260,364,61,620,308,217,50,116,179,320,464,69,362,159,232,457,138,461,287,494,304,36,164,203,84,117,274,16,210,251,25,100,11,97,164,81,146,118,55,383,146,259,82,68,228,124,86,23,11
total_OTU00003,99,66,90,100,142,40,35,103,52,75,170,47,178,218,122,118,95,49,131,148,193,171,102,115,105,129,150,132,180,190,95,111,145,96,143,121,218,116,95,109,85,180,111,79,101,115,96,209,151,187,196,226,158,77,84,186,123,104,130,151,185,181,208,125,210,126,185,236,185,192,137,174,212,113,120,68,175,132,154,85,123,132,145,149,117,31,106,23,48,51,217,171,151,122,139,90,93,111,112,152,99,96,90,119,103,117,153,107,141,145,108,115,163,112,106,159,156,133,134,94,138,300,174,183,125,226,133,143,185,183,220,153,180,124,81,162,157,136,155,105,111,168,159,136,158,150,109,106
total_OTU00004,57,136,122,140,19,24,13,68,14,22,34,6,55,9,0,0,0,33,1,2,9,1,17,4,20,22,21,21,42,22,82,131,1,19,77,134,235,91,106,35,107,46,113,3,32,59,8,24,6,45,37,23,2,91,100,24,82,190,148,41,76,3,26,5,57,149,48,69,186,173,226,240,58,13,17,70,24,97,77,288,119,125,5,34,195,191,36,18,0,3,3,12,46,40,229,54,342,143,73,254,57,40,103,100,37,50,102,180,146,133,36,119,10,49,19,6,0,5,33,28,0,1,0,0,0,0,0,35,100,1,15,1,11,87,6,120,89,24,83,28,42,23,10,59,29,23,7,1
total_OTU00005,127,36,108,48,111,646,504,116,105,294,136,22,27,278,773,9,40,55,162,163,121,257,20,24,79,481,281,4,88,221,0,9,4,5,46,124,62,33,31,13,28,17,159,3,3,8,381,5,78,9,3,20,10,11,1,7,0,135,83,13,43,19,51,30,25,4,34,23,70,106,25,8,68,160,9,42,1,21,24,96,64,33,26,63,8,5,19,18,11,3,11,9,30,10,30,24,120,38,302,9,14,11,66,14,27,7,7,143,21,29,3,17,9,15,14,2,47,12,293,49,44,30,118,12,46,485,349,32,117,116,99,83,144,241,196,201,185,71,111,50,99,128,50,31,27,18,57,206
total_OTU00006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,162,27,32,65,9,0,1,6,83,112,59,1,5,13,3,1,4,9,13,43,18,53,9,6,6,29,21,9,42,59,95,36,70,53,47,60,42,69,79,51,10,50,61,51,42,88,33,16,115,186,173,154,153,0,19,10,10,9,27,111,50,54,73,88,131,159,157,122,139,65,139,76,62,97,64,28,66,56,135,3,4,12,39,53,84,43,136,53,45,132,156,276,93,201,93,76,65,150,160,217,210,252,139,273,141,8,59,90,125,80,198,168,85,139,153,199,93,192,172,164,155,242,361,197,185,390
total_OTU00007,554,339,293,260,94,148,154,40,13,32,34,30,87,130,34,113,169,65,189,155,144,165,46,58,82,70,172,205,227,212,36,164,5,57,82,247,356,121,120,107,335,213,205,52,118,221,453,73,67,108,26,136,16,101,176,147,146,352,383,223,166,207,177,57,92,178,115,133,111,104,150,122,64,42,71,155,132,367,105,356,179,179,84,147,187,116,111,15,38,32,46,12,31,38,60,62,67,157,92,119,85,69,210,125,107,75,148,170,251,126,96,164,31,18,25,3,81,46,132,40,10,50,35,9,17,51,18,56,102,19,37,3,6,13,10,6,11,16,34,39,91,18,9,45,45,18,15,5
total_OTU00008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,106,20,85,9,0,15,9,41,4,16,0,8,2,0,0,0,0,0,1,0,0,0,0,0,21,0,34,19,42,44,490,163,155,172,11,0,11,75,56,18,274,1,152,94,59,42,32,190,9,16,134,23,0,20,0,0,0,7,0,12,112,183,11,7,14,1,1,6,114,103,135,25,79,127,47,10,1,83,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
total_OTU00009,102,27,44,23,33,55,33,49,12,17,49,16,92,122,207,117,157,13,26,43,60,49,65,94,46,93,83,128,135,144,85,149,209,81,60,130,121,108,51,18,130,109,122,57,51,45,22,103,56,90,66,74,94,36,31,91,65,101,81,110,99,132,81,77,50,58,86,92,119,78,77,85,78,54,94,72,78,17,71,81,103,65,98,97,61,121,84,11,48,29,54,54,74,46,103,73,49,45,49,92,51,70,89,50,59,72,79,94,40,64,33,75,61,39,42,65,72,15,29,43,30,62,42,64,37,12,38,76,55,39,58,27,51,49,28,97,53,50,38,35,54,48,60,63,66,47,23,20
total_OTU00010,25,109,138,199,135,116,164,376,70,101,99,44,125,89,6,55,132,45,184,128,99,120,61,46,65,41,73,137,126,114,0,2,0,1,43,10,42,0,14,29,44,43,2,13,19,60,66,46,57,50,33,62,36,61,151,56,101,85,57,42,85,10,117,66,128,154,158,87,87,78,119,40,112,18,83,295,174,159,116,131,209,100,59,106,96,104,36,27,183,159,3,305,149,126,372,84,169,188,152,214,137,31,131,124,61,7,12,45,78,90,47,86,41,106,167,44,220,91,147,87,17,137,102,21,63,42,13,61,75,13,28,3,30,90,49,58,76,40,210,112,234,27,59,175,89,88,39,11
