Genus,Mouse 1,Mouse 2,Mouse 3,Mouse 4,Mouse 5,Mouse 6,Mouse 7,Mouse 8
Abiotrophia,,,,,,,,
Acetanaerobacterium,,,,,,,,
Acetivibrio,4.778619341105432,,,,,,,
Achromobacter,,,,,,,,
Acidaminococcus,,,,,,,,
Aciditerrimonas,,,,,,,,
Acidovorax,,,,,,,,
Acinetobacter,,,,,,,,
Actinobacillus,,,,,,,,
Actinomyces,,,,,,,,
Actinomycetospora,,,,,,,,
Adlercreutzia,10.77193633820945,9.74485659349463,11.019725701008191,10.270693935950845,7.730373056595037,9.60346875,10.697487690948115,10.136094674556213
Aegilops,,,,,,,,
Aeribacillus,,,,,,,,
Aeromicrobium,,,,,,,,
Aeromonas,,,,,,,,
Agrococcus,,,,,,,,
Akkermansia,22.851493525237164,,9.911735537190077,9.436049970255787,19.376424275025666,148.4587761932738,9.262728711103895,13.110866666666631
Algoriphagus,,,,,,,,
Alicyclobacillus,,,,,,,,
Alistipes,89.3904255238928,56.08972458802212,58.0407566500135,60.617555225309204,83.58546453018619,75.08767185034931,39.79883101851851,49.768280634769134
Alkaliphilus,,,,,,,,
Alkalitalea,,,,,,,,
Allisonella,,,,,,,,
Allobaculum,369.26536796932345,219.58898570385017,295.83650335524044,119.6608741211465,323.91548832721895,118.94698506133754,219.86270681111984,116.7404094613396
Alloscardovia,,,,,,,,
Amphibacillus,,,,,,,,
Amycolatopsis,,,,,,,,
Anabaena,,,,,,,,
Anaerococcus,,,,,,,,
Anaerofilum,,,,,,,,
Anaerofustis,,,,,,3.3950173010380613,,
Anaerosphaera,,,,,,,,
Anaerosporobacter,,,,,,,,
Anaerostipes,79.6738598500625,19.745513539496937,19.01231555880203,43.9861767485821,23.350350240014997,66.3388969627574,23.03075226532671,66.48062915566832
Anaerotruncus,10.017912097885352,10.650134563629369,4.407990040742416,9.182702702702699,3.6903213957759466,7.669864916045945,4.08023530114366,8.337164622940968
Anaerovorax,,,,,3.2126200274348444,,,
Anoxybacillus,,,,,,,,
Aquabacterium,,,,,,,,
Aquiflexum,,,,,,,,
Arcanobacterium,,,,,,,,
Arenibacter,,,,,,,,
Arthrobacter,,,,,,,,
Asaccharobacter,,,,,,,,
Asticcacaulis,,,,,,,,
