,Mouse 1,Mouse 2,Mouse 3,Mouse 4,Mouse 5,Mouse 6,Mouse 7,Mouse 8
'Candidatus Bacilloplasma' mollicute,1.711814081884861,1.82197734506006,1.7731483169229028,1.6312402778419524,1.3920424579889072,1.4283224780534558,1.7891866107410155,1.2386823145111374
Abiotrophia defectiva,,,,,,2.0,,
Abiotrophia para-adiacens,,,,,,,2.0,
Acetanaerobacterium elongatum,2.0,2.0,,2.0,2.0,,,2.0
Acetivibrio cellulolyticus,1.5789171977841598,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Acetivibrio ethanolgignens,,,2.0,,,,,2.0
Achromobacter xylosoxidans,,,,,,,,
Acidaminococcus intestini,,,2.0,,,,,
Aciditerrimonas ferrireducens,,,,,,,,
Aciditerrimonas sp. CH22-21,,,,,,,,
Acidovorax avenae,,,,,,,,
Acidovorax caeni,,,,,,,,
Acidovorax ebreus,,,,,,,,
Acidovorax temperans,,,,,,,,
Acinetobacter baumannii,,,,,,,,
Acinetobacter junii,,,,,,,,
Acinetobacter sp.,,,,,,,,
Acinetobacter sp. 4076,,,,,,,,
Acinetobacter sp. B43(2011),,,,,,,,
Acinetobacter sp. WC-743,,,,,,,,
Actinobacillus minor,,,,,2.0,,,
Actinobacillus rossii,,,,,2.0,,,
Actinomyces odontolyticus,,,,,,,,
Actinomyces oris,,,,,,,,
Actinomycetospora sp. NEAU-st4,,,,,,,,
Adlercreutzia equolifaciens,1.2573294393113923,0.9738176335323707,0.9110436751704152,0.8316271446862993,0.7064013694049772,0.958709580848066,1.065201074410986,0.81048292746399
Aegilops tauschii,2.0,2.0,,,,2.0,,2.0
Aeribacillus pallidus,,,,,,,,
Aeromicrobium ginsengisoli,,,,,,,,
Aeromicrobium sp. 1_C7_65,,,,,,,,2.0
Aeromonas hydrophila,,,,,,,,
Agrococcus jejuensis,,,,,,,,
Agrococcus versicolor,,,,,,,,
Akkermansia muciniphila,1.7374351049145385,2.0,1.394656972284294,1.7880469045517586,1.1742542497573998,1.8787542207907846,1.784080905057442,1.6949095661105538
Alfalfa witches'-broom phytoplasma,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Algoriphagus antarcticus,2.0,,,,,,,
Algoriphagus aquimarinus,2.0,,,,,,,
Algoriphagus mannitolivorans,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Algoriphagus ornithinivorans,,,,,,,,
Algoriphagus sp. PR1,2.0,,,,,,,
Algoriphagus sp. ZS2-8,2.0,,,,,,,
Algoriphagus sp. ZS3-3,,,,,,,,
Algoriphagus winogradskyi,,,,,,,,
Alicyclobacillus pohliae,,,,,,,,
Alistipes finegoldii,1.7206862709026238,1.6302314386224772,2.0,1.559365208752578,1.2901846502335172,1.7977182053615177,1.262160685006377,1.7034907597535938
Alistipes indistinctus,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Alistipes massiliensis,,,2.0,2.0,2.0,,,2.0
Alistipes onderdonkii,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Alistipes putredinis,0.7713139418254762,1.0493517569063018,1.0555753312061924,0.9582410224598509,0.9268083279673759,1.2320928685873214,0.6752844049900892,0.9266472992737601
Alistipes senegalensis,1.0085087879002184,1.2711125626306485,1.244901282663321,1.256813059157294,1.047371965430726,1.1572071937220587,1.0952380479580914,1.0538017005747216
Alistipes shahii,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Alistipes sp. AP11,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Alistipes sp. JC136,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Alistipes sp. RMA 9912,,,,,,,,
Alkaliphilus oremlandii,,,,,,,,
Alkaliphilus transvaalensis,,,,2.0,,,,
Alkalitalea saponilacus,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Allisonella histaminiformans,,,,,,,,
Allobaculum sp. GK12,1.4638002445535354,1.7449781016087724,1.1895377695509561,1.4985829709111511,1.4901623531784711,1.2938030337071291,1.5087843610841156,1.263322782600996
Allobaculum stercoricanis,,,,,,,,
Alloscardovia sp. M8,,,,,,,,
Amphibacillus indicireducens,,,,,,,,
Amphibacillus sp. J1,,,,,,,,
Amphibacillus sp. YIM-kkny6,,,,,,,,
Amycolatopsis sp. HBUM 171278,,,,,,2.0,,
Anabaena oscillarioides,,,,,,,,
Anaerococcus prevotii,,,,,,,,
Anaerofilum pentosovorans,,,,,,,,
Anaerofustis stercorihominis,2.0,2.0,2.0,2.0,2.0,1.410901382037588,2.0,2.0
Anaerosphaera aminiphila,,,,,,,,
Anaerosporobacter mobilis,,,,,,,,
Anaerostipes butyraticus,,,,,,,,
Anaerostipes caccae,1.5761215265109993,1.8331050207844557,1.8157760035145065,1.886131720737507,1.6363742729671569,1.6314470851562795,1.879100831061514,1.8594306822865236
Anaerostipes hadrus,1.911479152512633,2.0,2.0,1.9543940797434718,1.9485960554380357,1.6616533786579297,1.9630479427678102,1.9041176157247113
Anaerostipes sp. 3_2_56FAA,2.0,2.0,2.0,2.0,1.756986582645945,1.6164383561643836,2.0,1.5468978816569756
Anaerostipes sp. 5_1_63FAA,,2.0,,,2.0,,2.0,
Anaerostipes sp. 992a,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Anaerotruncus colihominis,1.4010728042556373,1.6244178910508644,1.5492291786027097,1.5643983988697903,1.4580417840328865,1.7392392145243853,1.5098321904524932,1.7601102904341486
Anaerovorax odorimutans,2.0,2.0,2.0,2.0,1.3774551665243386,2.0,2.0,2.0
Anoxybacillus flavithermus,,,,,,,,
Aquabacterium parvum,,,,,,,,
Aquiflexum balticum,,,,2.0,,,,
Arcanobacterium haemolyticum,,,,,,,,
Arenibacter troitsensis,,,,,,,2.0,
Arthrobacter sp. CCBAU 10838,,,,,,,,
Arthrobacter sp. R-36550,,,,,,,,
Arthrobacter sp. R-II-1,,,,,,,,
Asaccharobacter celatus,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Asticcacaulis biprosthecium,,,,,,,,
Atopobium parvulum,1.7047758162344575,2.0,1.5742836674105891,1.269311064718163,1.6288772989294538,1.8796275773468771,1.6717726373966706,1.5854561885136478
Atopobium sp. ICM58,,,,,,,,
Atopobium vaginae,,,2.0,2.0,2.0,2.0,2.0,2.0
Atopostipes suicloacalis,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Auraticoccus monumenti,,,,,,,,
Aureibacter tunicatorum,1.4606743899535166,1.0290551981036233,0.47159790412265207,0.9349136469637153,0.35806123519404537,0.6571456185933333,0.7136627795290552,0.7569009923509747
Azospirillum sp. CC-LY736,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Bacillus acidiceler,,,,,,,,
Bacillus coagulans,,,,,,,,
Bacillus halodurans,2.0,2.0,2.0,2.0,2.0,,2.0,2.0
Bacillus mannanilyticus,,,,,,,,
Bacillus shackletonii,,,,,,,,
Bacillus sp. BGSC W9A7,,,,,,,,
Bacillus sp. BT1B_CT2,,,,,,,,
Bacillus sp. HYC-10,,,,,,,,
Bacillus sp. Na101-4,,,,,,,,
Bacillus sp. PL-26,,,,,,,,
Bacillus sp. TAT105,,,,,,,,
Bacillus subtilis,,,,,,,,
Bacillus thuringiensis,,,,,,,,
Bacteroidales DA064,,,,,2.0,,2.0,2.0
Bacteroidales MCE3 262,2.0,,,,2.0,,2.0,
Bacteroidales nbw731d05c1,,,,,,,,
Bacteroides acidifaciens,0.9026829805362392,0.9418530031943079,0.6078745577007685,0.7865307375404147,0.8826910461638469,1.4405607975355956,1.1886331192316124,0.9180627752597542
Bacteroides caccae,,,,,,,,
Bacteroides chinchillae,2.0,2.0,2.0,2.0,2.0,,2.0,2.0
Bacteroides clarus,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Bacteroides coprocola,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Bacteroides coprophilus,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Bacteroides dorei,2.0,2.0,2.0,2.0,2.0,,2.0,
Bacteroides eggerthii,,,,,,,,
Bacteroides faecis,,,,,,,,
Bacteroides finegoldii,,,,,,,,
Bacteroides fragilis,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Bacteroides gallinarum,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Bacteroides graminisolvens,2.0,2.0,,2.0,,,,
Bacteroides massiliensis,2.0,2.0,2.0,,2.0,2.0,2.0,
Bacteroides nordii,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Bacteroides ovatus,,,,,,,,
Bacteroides plebeius,2.0,2.0,2.0,2.0,,,2.0,2.0
