,Mouse 1,Mouse 2,Mouse 3,Mouse 4,Mouse 5,Mouse 6,Mouse 7,Mouse 8
Abiotrophia,,,1.2856930795675199,4.09711661292181,,0.8724076375480361,2.466447739553361,
Acetanaerobacterium,5.041587162200436,4.60152808652821,0.8925146413585008,4.3201814220661525,2.848640791161607,0.8936905274894116,1.4548589956137672,3.9934143987888486
Acetivibrio,2.9102047939594082,5.101533393134909,2.2926861022100846,3.3047640979225545,3.119285381444382,2.0684345985670887,5.5,3.1213048163069033
Achromobacter,,,,,1.3880116558686928,,,
Acidaminococcus,,1.2901131126461713,1.234101308568772,,2.6457201188075374,,,
Aciditerrimonas,,,,,4.927729857233792,,,
Acidovorax,,,,,,3.986079627464398,1.29161585247589,3.7237607785167772
Acinetobacter,1.0879829207408214,0.9696530189423691,,,,1.0363811943384822,4.382734553559746,3.0054510826315646
Actinobacillus,,,0.8535061835526432,,1.1284918675557098,,,
Actinomyces,,,,,3.484128458731117,0.8745082564952313,,
Actinomycetospora,,4.775102752003043,,,,,,
Adlercreutzia,5.276586762541232,5.5,2.311396294496604,2.83061942616136,5.5,5.5,5.5,1.4749652832571956
Aegilops,1.1692884957673968,4.177380871358365,1.6232683415957267,,1.0709544708924077,1.0461721278672664,2.9956932561469474,3.235713541693443
Aeribacillus,,,,,1.4364746761511065,,,
Aeromicrobium,,,,,1.9380430313739545,,3.366177560019587,2.089725290036536
Aeromonas,,,,,,,,4.157507192246363
Agrococcus,4.638434565704333,,,2.2378328188487524,,,,
Akkermansia,5.5,2.128346524966001,2.855864995045201,0.6603619188503478,5.5,5.5,4.6343319258888975,1.0862856987585559
Algoriphagus,4.171243421417432,2.868941012537738,4.000150118762247,0.9291608292760443,0.8889692668152018,5.463873802534336,4.163472718738191,2.1102049030533037
Alicyclobacillus,,,,,,,,0.7682465363903548
Alistipes,1.4025046046387515,0.5,4.47330248844076,1.3370754428700546,2.2050766875604255,1.0522182514763498,0.5,2.9953220292184857
Alkaliphilus,,,,4.527885886575313,2.223435743803648,,4.10658393907038,4.824021238857397
Alkalitalea,1.3223289917699808,2.779399013621061,2.0249459798015073,4.156123810362759,4.448901725266187,2.2111508592716977,0.5334817676335044,2.163884934409231
Allisonella,,,,,4.8659963319756825,,,
Allobaculum,1.1275444211675907,1.8687025285778363,1.4139079497052958,3.4368390870119745,5.276905631820529,4.639038257716542,2.737187038348506,3.2018149394938393
Alloscardovia,,,4.15884996750313,,,,,
Amphibacillus,,,0.634586390431993,,1.2522387144383489,2.468654538283921,4.258090983202818,0.653136286649068
Amycolatopsis,,,,,,2.347934482908569,,
Anabaena,,,,,,,,2.7321887457307747
Anaerococcus,,,4.806814856101017,,,3.987361131835997,,
Anaerofilum,,2.269855594354542,,,,,,
Anaerofustis,3.5548664331460698,4.94304878929606,2.4552093250167344,1.0082280803570245,5.154142899009809,5.5,5.450270867623441,3.895488312491129
Anaerosphaera,,,,,,4.665920604406063,,
Anaerosporobacter,5.144320027121935,,,,,,,
Anaerostipes,5.5,2.6457692449916386,1.3030518072187267,2.319979430633047,1.1080016632337228,0.6291177940998575,1.5939082707230403,3.0083918699428653
Anaerotruncus,0.7750892447954397,5.5,0.7745370311058521,1.6387968561876387,5.483618773948693,2.952414019838141,1.9664695470709488,5.355180250056708
Anaerovorax,3.686872755891416,0.7255200821415775,5.143781354497122,5.2559176950108295,3.675479145827749,4.816634367100886,0.9645918753536624,3.000288961585227
Anoxybacillus,3.5856593235287386,,,,,,,
Aquabacterium,,,4.457860886825957,,,,,
Aquiflexum,,,,1.6832370454283103,,,,
Arcanobacterium,,,,,,,1.5990107681060899,
Arenibacter,,,,,2.685711953002916,,0.9770720651808302,1.8409998412376913
Arthrobacter,,3.598613942092617,0.7150552559380698,,,0.9861861141341599,,0.5259823358863032
Asaccharobacter,2.69482573708484,2.694694775101428,3.4608461342015957,2.554324563559372,4.864895876939262,2.9586610507812257,3.797898941446317,0.6992057013967381
Asticcacaulis,,,,,4.042411133051471,,,
Atopobium,2.285036621381503,2.0300356544590104,4.5041865933774545,2.6891362121249673,5.5,5.5,4.971695279614252,0.5
Atopostipes,3.028682239338742,3.7661453832460072,0.821340996064547,2.3927596627775882,4.944270834255201,1.0269004482133453,5.2845536653043785,0.9477503428607439
Auraticoccus,4.606090445725306,,3.0576375261459106,,,1.2737488463789324,3.243656577376667,
Aureibacter,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
Azospirillum,5.05802168954109,3.818167022252887,3.9012582024932536,4.668934687346031,3.874045446665641,2.287731335789048,4.026522752352264,2.3165980184713186
Bacillus,1.500370159556604,1.7465424801984646,5.118422900798269,0.8632999524039566,1.793149286138979,0.8298935405969186,2.3306744738848018,2.1066773483056402
Bacteroides,1.0631057457596464,1.7605719177304298,0.885161894961153,0.5,1.632995216944665,1.8766343051880618,1.8398913401340797,1.655426067307331
